#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/apartment_local.txt /home/point_clouds_registration_benchmark//eth/apartment -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 1 -i 40 
id;initial_error;final_error;transformation
13001298760000;0.820981;1.759;0.914872 0.388993 0.108136 -0.723447 -0.382698 0.920845 -0.0747388 -0.979252 -0.128649 0.026993 0.991323 0.247148 0 0 0 1 
13001298760001;0.68771;1.63442;0.859193 0.502249 0.0976399 0.187364 -0.50968 0.823414 0.249431 -0.884616 0.0448785 -0.264075 0.963458 0.507892 0 0 0 1 
13001298760002;0.636186;1.62616;0.974311 0.16986 -0.147871 0.128847 -0.135413 0.966508 0.218003 -1.67897 0.179948 -0.192379 0.964681 -0.936919 0 0 0 1 
13001298760003;0.411513;1.95486;0.9914 0.103428 0.0801851 0.0951962 -0.121009 0.957803 0.260711 -2.17304 -0.0498367 -0.268172 0.962081 -0.196246 0 0 0 1 
13001298760004;0.857932;1.70417;0.883501 0.414897 -0.217454 0.309986 -0.425802 0.904809 -0.00365442 -0.640361 0.195238 0.0958212 0.976064 0.435411 0 0 0 1 
13001298760005;0.460674;1.60181;0.880337 0.473872 0.0212494 0.234743 -0.470874 0.878423 -0.0815543 -0.752666 -0.0573123 0.0617894 0.996442 0.511375 0 0 0 1 
13001298760006;0.655521;1.75088;0.965548 0.260018 0.0104137 -0.614718 -0.260077 0.965576 0.00481052 -1.00986 -0.00880444 -0.00735316 0.999934 0.302872 0 0 0 1 
13001298760007;0.308888;1.58425;0.882291 0.281487 0.377263 -0.0999228 -0.326644 0.943232 0.0601369 -0.914681 -0.338919 -0.176289 0.924151 1.22267 0 0 0 1 
13001298760008;0.466988;1.77774;0.952808 0.285398 0.103468 -0.250864 -0.282244 0.958321 -0.0442499 -1.48243 -0.111785 0.0129583 0.993648 0.171096 0 0 0 1 
13001298760009;0.423945;1.85053;0.975181 0.200294 0.0943615 -0.304904 -0.168975 0.948661 -0.267376 -1.30849 -0.143071 0.244795 0.958961 0.109004 0 0 0 1 
13001298760010;0.258498;1.80786;0.976808 0.213584 -0.0151123 -0.0291036 -0.213923 0.970473 -0.111441 -1.10751 -0.00913597 0.11209 0.993656 0.24752 0 0 0 1 
13001298760011;0.784351;1.64803;0.941191 0.328899 0.0773678 -0.024051 -0.337284 0.901031 0.272731 -0.923895 0.01999 -0.282787 0.958974 -0.737434 0 0 0 1 
13001298760012;0.622128;1.69095;0.973011 0.229617 -0.0229204 0.0699587 -0.230731 0.969609 -0.0813772 -1.73284 0.00353826 0.0844693 0.99642 0.355422 0 0 0 1 
13001298760013;0.398004;1.66672;0.891321 0.415467 0.181479 0.121196 -0.364446 0.894687 -0.25829 -0.693059 -0.269678 0.16408 0.948869 1.2347 0 0 0 1 
13001298760014;0.755219;1.989;0.936115 0.332406 -0.114867 1.60268 -0.324208 0.942209 0.0844468 -0.642527 0.136299 -0.0418112 0.989785 -0.97702 0 0 0 1 
13001298760015;0.388158;1.66467;0.925102 0.347048 -0.154093 0.414159 -0.346995 0.937445 0.0281175 -0.551753 0.154212 0.0274582 0.987656 -0.196626 0 0 0 1 
13001298760016;0.851768;1.61171;0.95655 0.291475 -0.00735934 0.584966 -0.291321 0.9544 -0.0652103 -0.359745 -0.0119834 0.0645208 0.997844 0.659374 0 0 0 1 
13001298760017;0.399547;1.61807;0.92471 0.380536 -0.0101626 0.281862 -0.379496 0.919428 -0.103128 -0.735545 -0.0299002 0.0992204 0.994616 0.55004 0 0 0 1 
13001298760018;0.820633;1.69833;0.911013 0.343339 -0.228415 0.128128 -0.358687 0.933034 -0.0281135 -0.857203 0.203466 0.107541 0.973158 0.408563 0 0 0 1 
13001298760019;0.329854;1.48952;0.977529 0.19408 -0.082283 0.114856 -0.192726 0.980955 0.0241659 -1.37316 0.0854061 -0.00776485 0.996316 -0.20633 0 0 0 1 
13001298760020;0.847185;1.66189;0.959157 0.281241 0.0303439 -0.292458 -0.279385 0.958658 -0.0540319 -0.696882 -0.0442854 0.0433475 0.998078 1.03247 0 0 0 1 
13001298760021;0.886722;1.68668;0.854184 0.500569 -0.140714 0.458391 -0.440943 0.840753 0.314172 -1.41216 0.275571 -0.206314 0.93888 -1.18352 0 0 0 1 
13001298760022;0.59893;1.76057;0.924871 0.273265 -0.264461 0.403459 -0.206485 0.944855 0.254189 -1.48204 0.319339 -0.180485 0.930294 -1.33262 0 0 0 1 
13001298760023;0.367247;1.68691;0.991913 0.120783 0.0389875 -0.195026 -0.119193 0.992031 -0.04084 -1.73965 -0.0436096 0.0358627 0.998405 -0.0355253 0 0 0 1 
13001298760024;0.0968236;1.61503;0.976355 0.204156 0.0710717 -0.111155 -0.20288 0.978889 -0.0248079 -1.17857 -0.074636 0.00980227 0.997163 0.413968 0 0 0 1 
13001298760025;0.689632;1.69209;0.987198 0.133514 0.08726 -0.417437 -0.0867638 0.908578 -0.408605 -1.07012 -0.133837 0.395803 0.90853 1.05958 0 0 0 1 
13001298760026;0.452516;1.87732;0.994055 0.0888206 0.0629735 0.0634506 -0.100552 0.970742 0.218058 -1.53029 -0.041763 -0.223094 0.973902 0.0766014 0 0 0 1 
