#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/p2at_met_local.txt /home/point_clouds_registration_benchmark//planetary/p2at_met -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 1 -i 40 
id;initial_error;final_error;transformation
27844314100000;0.368279;0.353848;0.999478 -0.000802006 0.0322858 -0.0156419 -0.003729 0.990139 0.140035 -0.00921714 -0.0320798 -0.140083 0.98962 -8.40262 0 0 0 1 
27844314100001;0.325629;0.148506;0.987541 0.0271187 -0.15501 0.727473 0.00190673 0.982905 0.184105 -0.254012 0.157352 -0.182107 0.970607 -7.7288 0 0 0 1 
27844314100002;0.342132;0.27134;0.931114 -0.0313839 0.363374 -1.6932 -0.0730222 0.960078 0.270033 -2.72072 -0.357342 -0.277966 0.891651 -24.5796 0 0 0 1 
27844314100003;0.135271;0.132758;0.995123 -0.00511467 0.0985127 -0.0447971 -0.0119825 0.984993 0.17218 -0.411235 -0.0979149 -0.172521 0.980127 -12.4974 0 0 0 1 
27844314100004;0.89077;0.708173;0.985682 0.0386903 -0.164116 1.38557 0.0045094 0.966921 0.255035 -0.856926 0.168554 -0.252124 0.952902 -12.2256 0 0 0 1 
27844314100005;0.300669;0.275852;0.935652 0.0462262 -0.349883 -0.101729 -0.00112569 0.991771 0.128021 0.0205077 0.352922 -0.11939 0.928005 0.981314 0 0 0 1 
27844314100006;0.461976;0.407393;0.999843 0.0158042 0.00796065 1.01502 -0.0160927 0.999164 0.0375785 -0.183895 -0.0073601 -0.0377007 0.999262 -2.24303 0 0 0 1 
27844314100007;1.17629;0.982734;0.999234 0.0165041 0.0354713 1.12618 -0.0197493 0.995454 0.0931784 -0.173257 -0.0337722 -0.0938076 0.995017 -5.00775 0 0 0 1 
27844314100008;0.519074;0.431282;0.999931 0.0101626 0.00593256 0.611521 -0.0103691 0.999302 0.0358848 -0.124721 -0.00556374 -0.0359438 0.999338 -1.6238 0 0 0 1 
27844314100009;0.482706;0.476434;0.99301 -0.0153893 0.117023 -0.733492 0.0208882 0.998727 -0.0459094 0.278994 -0.116168 0.0480329 0.992067 0.00624612 0 0 0 1 
27844314100010;0.848926;0.0826372;0.999011 0.0270231 -0.0353173 1.61145 -0.0205298 0.98475 0.172762 -0.848054 0.0394473 -0.171866 0.98433 -11.3005 0 0 0 1 
27844314100011;0.370547;0.313087;0.981835 -0.00228366 -0.189721 -1.35554 -0.00896103 0.998254 -0.0583908 -0.547307 0.189523 0.0590302 0.9801 8.3203 0 0 0 1 
27844314100012;1.02719;0.394294;0.991834 0.00541825 -0.12742 -0.503945 -0.0105532 0.999158 -0.0396587 -0.358559 0.127098 0.0406796 0.991056 7.56197 0 0 0 1 
27844314100013;0.818365;0.75451;0.998942 0.0213194 -0.0407451 1.16809 -0.0170952 0.994704 0.101347 -0.353193 0.04269 -0.100544 0.994016 -5.77021 0 0 0 1 
27844314100014;0.722224;0.291837;0.998373 0.00130484 -0.057007 0.0340263 -0.000968477 0.999982 0.00592767 -0.019805 0.0570137 -0.00586281 0.998356 -0.827332 0 0 0 1 
