#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/plain_local.txt /home/point_clouds_registration_benchmark//eth/plain -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 1 -i 40 
id;initial_error;final_error;transformation
4215528470000;0.567788;0.343208;0.965078 -0.0306506 0.260163 0.484286 0.0142348 0.9978 0.0647495 -0.107154 -0.261575 -0.0587849 0.963391 1.92206 0 0 0 1 
4215528470001;0.547226;0.377235;0.991634 0.0914725 -0.0910757 -0.415261 -0.046165 0.910221 0.411541 0.470021 0.120544 -0.403894 0.906829 1.01765 0 0 0 1 
4215528470002;0.032832;0.0290324;0.999973 0.00661866 0.00330665 -0.0170654 -0.0066346 0.999966 0.00483149 -0.0132262 -0.00327456 -0.00485329 0.999983 0.0383639 0 0 0 1 
4215528470003;0.731607;0.177731;0.99613 -0.0387317 0.0788955 0.0364361 0.0371576 0.999082 0.0213226 -0.805151 -0.0796489 -0.0183085 0.996655 0.368177 0 0 0 1 
4215528470004;0.518474;0.0928191;0.960971 0.0175995 -0.27609 0.223123 0.04397 0.975572 0.215233 -0.253521 0.273133 -0.218972 0.936723 -0.29226 0 0 0 1 
4215528470005;0.0948906;0.0888885;0.999495 0.0235236 0.0213629 -0.0622308 -0.0215662 0.995918 -0.0876431 0.158007 -0.0233374 0.0871382 0.995923 -0.296586 0 0 0 1 
4215528470006;0.93827;0.586373;0.998978 -0.0245519 -0.0379546 -0.0654603 0.0104204 0.942105 -0.335156 -0.0801981 0.0439859 0.334418 0.941398 -1.50574 0 0 0 1 
4215528470007;0.649378;0.733616;0.994157 -0.0253921 -0.104912 0.103511 -0.0129014 0.937018 -0.349042 0.259979 0.107168 0.348356 0.931216 -2.07773 0 0 0 1 
4215528470008;0.524363;0.424894;0.961607 0.0495456 -0.26992 -0.0613104 -0.0856993 0.988594 -0.123846 0.475234 0.260706 0.142223 0.954885 -2.38597 0 0 0 1 
4215528470009;0.400063;0.236731;0.957708 -0.17692 0.226923 1.02028 0.181328 0.983422 0.00144352 -1.05758 -0.223416 0.039765 0.973912 1.33006 0 0 0 1 
4215528470010;0.581956;0.184428;0.985346 -0.147878 -0.0850062 0.882912 0.121021 0.957305 -0.26253 -0.842899 0.120199 0.248395 0.961172 -2.09338 0 0 0 1 
4215528470011;0.358216;0.200801;0.984018 -0.114106 0.136703 0.670473 0.141666 0.966778 -0.212771 -0.846664 -0.107883 0.228736 0.967492 -0.185031 0 0 0 1 
4215528470012;0.581653;0.565638;0.977692 0.17567 -0.115143 -0.465327 -0.135142 0.945764 0.29541 0.73819 0.160793 -0.273259 0.948407 -0.158914 0 0 0 1 
4215528470013;0.612837;0.0903803;0.98335 -0.0546304 0.173314 0.195693 0.0530294 0.998497 0.0138582 -0.323701 -0.173811 -0.00443668 0.984769 0.512214 0 0 0 1 
4215528470014;0.871128;0.169562;0.982864 -0.184187 0.00726239 1.43548 0.184095 0.982838 0.0117929 -1.25475 -0.00930986 -0.0102539 0.999904 0.739374 0 0 0 1 
4215528470015;0.0605696;0.0285123;0.999956 -0.000929534 0.00938291 0.0676541 0.00105936 0.999904 -0.0138406 -0.0388882 -0.00936914 0.0138499 0.99986 -0.0173267 0 0 0 1 
4215528470016;0.462589;0.227868;0.974734 -0.00492087 0.223315 0.122745 0.0511168 0.978141 -0.201563 -0.367747 -0.217441 0.207885 0.953679 0.720552 0 0 0 1 
4215528470017;0.763704;0.335401;0.989871 0.0850142 0.113697 -0.328629 -0.125557 0.898023 0.421653 0.960806 -0.0662561 -0.431657 0.899601 3.02358 0 0 0 1 
4215528470018;0.320962;0.278216;0.963755 -0.266705 -0.00674283 1.49309 0.264594 0.952278 0.152176 -1.81453 -0.0341651 -0.148445 0.98833 0.798623 0 0 0 1 
4215528470019;0.470754;0.212722;0.902425 0.167354 -0.397015 -0.249359 -0.107762 0.979863 0.168096 0.515703 0.417152 -0.108911 0.902287 -2.10216 0 0 0 1 
4215528470020;0.901423;0.366588;0.950548 -0.273734 0.146727 1.17726 0.281263 0.959067 -0.0328818 -1.76419 -0.13172 0.0725245 0.98863 0.0280919 0 0 0 1 
4215528470021;0.310289;0.208791;0.998019 -0.0446719 -0.0442997 0.296828 0.0489937 0.993595 0.101827 -0.389049 0.0394672 -0.103795 0.993815 0.451083 0 0 0 1 
4215528470022;0.501427;0.0719143;0.975238 0.119088 -0.186359 -0.164509 -0.132285 0.989393 -0.0600172 0.673683 0.177235 0.0831836 0.980647 -1.90153 0 0 0 1 
4215528470023;0.509895;0.464445;0.993457 0.0702092 0.0900773 -0.21126 -0.054747 0.984956 -0.163906 0.324789 -0.10023 0.157902 0.982355 -0.454274 0 0 0 1 
4215528470024;0.756959;0.0957331;0.989393 -0.14317 0.0245787 1.02116 0.142012 0.988899 0.0437069 -1.0372 -0.0305633 -0.0397529 0.998742 0.966447 0 0 0 1 
4215528470025;0.187466;0.155603;0.990629 0.126443 -0.051634 -0.489012 -0.12109 0.98797 0.096188 0.719535 0.0631751 -0.0890342 0.994023 -0.030725 0 0 0 1 
4215528470026;0.0729172;0.072911;0.999505 -0.030797 -0.00636879 0.201302 0.0307626 0.999512 -0.0054292 -0.182485 0.00653289 0.0052306 0.999965 -0.115813 0 0 0 1 
