#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_summer_local.txt /home/point_clouds_registration_benchmark//eth/wood_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 1 -i 40 
id;initial_error;final_error;transformation
2318808360000;0.0774618;0.0243543;0.998208 0.041882 0.0427399 -0.470828 -0.0419625 0.999119 0.000988328 0.477763 -0.0426609 -0.00278003 0.999086 0.33715 0 0 0 1 
2318808360001;0.306883;0.0387366;0.997999 0.0612551 -0.0156779 -0.0898327 -0.0614236 0.998057 -0.0105026 0.538278 0.0150041 0.0114446 0.999822 -0.37809 0 0 0 1 
2318808360002;0.495258;0.0370757;0.915702 -0.388292 -0.103532 4.79421 0.387296 0.921455 -0.0303824 -1.76779 0.107197 -0.0122761 0.994162 -0.124929 0 0 0 1 
2318808360003;0.524546;0.0406531;0.911132 -0.408411 -0.0551295 4.43071 0.411959 0.898915 0.149133 -2.63659 -0.0113509 -0.158591 0.987279 1.2929 0 0 0 1 
2318808360004;0.20511;0.0302943;0.99745 -0.0676493 0.0227343 0.644362 0.0674736 0.997686 0.0084097 -0.515913 -0.0232505 -0.0068543 0.999706 -0.146172 0 0 0 1 
2318808360005;0.440296;0.0419365;0.984937 0.0605265 -0.161976 -0.0567006 -0.0135781 0.960916 0.276507 0.145895 0.172381 -0.270142 0.947263 0.852394 0 0 0 1 
2318808360006;0.169359;0.0305075;0.995689 -0.0895282 0.0242346 1.06056 0.0899964 0.995761 -0.0189669 -0.422516 -0.0224338 0.0210662 0.999526 0.0862281 0 0 0 1 
2318808360007;0.299345;0.0372932;0.929288 -0.364623 0.0589308 4.22658 0.36324 0.931108 0.033079 -2.22438 -0.0669324 -0.00933391 0.997714 0.532273 0 0 0 1 
2318808360008;0.34518;0.0219622;0.930864 0.264486 0.25207 -2.37602 -0.297663 0.949051 0.103439 2.86292 -0.211869 -0.171319 0.962165 3.84056 0 0 0 1 
2318808360009;0.553788;0.0429362;0.888572 0.438509 0.134719 -3.67455 -0.432043 0.898682 -0.0755586 3.78694 -0.154203 0.00893494 0.987999 1.39439 0 0 0 1 
2318808360010;0.296129;0.0371975;0.992275 -0.124057 -0.000407266 1.20688 0.123961 0.991368 0.0426959 -1.1817 -0.00489296 -0.0424165 0.999088 0.0244243 0 0 0 1 
2318808360011;0.267088;0.0312744;0.973402 -0.190813 0.126803 2.13118 0.176993 0.977747 0.112624 -1.21824 -0.145471 -0.0871853 0.985513 2.39209 0 0 0 1 
2318808360012;0.117207;0.0362192;0.99673 -0.00533961 -0.0806278 0.0766672 0.00934195 0.998738 0.0493443 -0.161178 0.0802626 -0.0499362 0.995522 -0.260314 0 0 0 1 
2318808360013;0.297157;0.0277128;0.997011 -0.0528997 0.0563119 0.0113355 0.0545848 0.998093 -0.0288172 -0.604776 -0.0546801 0.0318049 0.997997 -0.0244243 0 0 0 1 
2318808360014;0.320442;0.0246598;0.999996 0.00121584 0.00255965 0.0227549 -0.00123163 0.99998 0.0061767 0.0572668 -0.00255209 -0.00617983 0.999978 -0.568528 0 0 0 1 
2318808360015;0.329054;0.0167081;0.963708 0.234703 -0.127204 -2.03884 -0.24742 0.964196 -0.0954432 2.42016 0.100249 0.123452 0.987274 -2.51029 0 0 0 1 
2318808360016;0.335073;0.0445858;0.999427 0.0336095 0.00412282 -0.275622 -0.0336411 0.999403 0.00785366 0.00944342 -0.00385641 -0.00798786 0.999961 -0.46882 0 0 0 1 
2318808360017;0.483715;0.0236809;0.973106 0.224997 -0.0494017 -2.50335 -0.225131 0.974324 0.00290391 1.7878 0.0487866 0.00829603 0.998775 0.235148 0 0 0 1 
2318808360018;0.313611;0.0333699;0.907628 -0.406228 -0.10579 4.98233 0.397706 0.912793 -0.0929494 -2.05103 0.134323 0.0422902 0.990035 -1.46121 0 0 0 1 
2318808360019;0.502137;0.0243828;0.947423 0.315984 -0.0504404 -2.44918 -0.319759 0.928994 -0.186345 2.9259 -0.0120232 0.192676 0.981189 -2.32297 0 0 0 1 
2318808360020;0.421809;0.0239336;0.967024 0.0222443 0.253712 -0.527922 -0.00133398 0.996607 -0.0822934 0.285322 -0.254682 0.0792413 0.963773 0.52321 0 0 0 1 
2318808360021;0.393879;0.037797;0.908123 -0.299625 -0.292468 4.34343 0.205784 0.927713 -0.311449 -0.797267 0.364644 0.222649 0.904136 -5.03918 0 0 0 1 
2318808360022;0.404256;0.0357112;0.995414 0.0335631 -0.0895845 -0.310367 -0.0396243 0.996982 -0.0667609 1.13498 0.0870734 0.0700045 0.993739 -1.74316 0 0 0 1 
2318808360023;0.175152;0.0312309;0.978323 -0.195389 0.0686044 2.02153 0.198377 0.979318 -0.0397812 -1.26177 -0.0594127 0.0525284 0.99685 -0.0655036 0 0 0 1 
2318808360024;0.438639;0.0371563;0.993245 0.00677576 -0.115841 -0.740114 -0.0190518 0.994269 -0.105197 0.410931 0.114465 0.106694 0.987681 -2.06392 0 0 0 1 
2318808360025;0.493149;0.0309544;0.985174 -0.17129 -0.00960477 1.71006 0.171008 0.984953 -0.024967 -0.64405 0.0137369 0.0229544 0.999642 0.380926 0 0 0 1 
2318808360026;0.26214;0.0255264;0.980436 0.00878343 -0.196642 -0.0748204 0.00445615 0.997757 0.0667846 -0.108296 0.196788 -0.0663543 0.978198 -0.526253 0 0 0 1 
2318808360027;0.301824;0.0256873;0.972008 0.234844 -0.00694331 -2.20943 -0.228286 0.937052 -0.264233 2.93745 -0.0555474 0.258422 0.964434 -2.18112 0 0 0 1 
2318808360028;0.111442;0.030033;0.99914 -0.0289844 -0.0296487 0.312002 0.0326688 0.99065 0.132462 -0.346264 0.0255321 -0.133317 0.990745 1.15035 0 0 0 1 
2318808360029;0.556383;0.0267237;0.994271 -0.0624834 -0.0867224 0.1739 0.090176 0.925951 0.366721 -0.418912 0.0573867 -0.37244 0.92628 4.18582 0 0 0 1 
2318808360031;0.47988;0.0390447;0.904406 0.373861 -0.205615 -2.56863 -0.360094 0.927303 0.102187 3.74509 0.228871 -0.018378 0.973283 -2.01952 0 0 0 1 
2318808360032;0.536016;0.0374397;0.927793 0.0372629 -0.371229 0.871335 -0.144114 0.953568 -0.264459 2.6604 0.344138 0.298862 0.890084 -6.13243 0 0 0 1 
2318808360033;0.38485;0.0349349;0.990496 0.135692 0.0224694 -1.18355 -0.135514 0.990732 -0.00928156 1.08131 -0.0235206 0.00614843 0.999704 -0.570053 0 0 0 1 
2318808360034;0.495664;0.042408;0.878474 0.47337 0.064844 -4.26434 -0.474638 0.880168 0.00481131 5.48736 -0.054796 -0.035004 0.997884 0.350197 0 0 0 1 
2318808360035;0.329409;0.0432116;0.993799 0.0928856 -0.0611158 -0.617543 -0.0932906 0.995632 -0.00380104 0.9539 0.0604958 0.00947901 0.998123 -1.16523 0 0 0 1 
2318808360036;0.430313;0.0342998;0.902814 0.233426 -0.361163 -0.980231 -0.222355 0.972262 0.0725603 1.86724 0.368082 0.0147978 0.929675 -3.20532 0 0 0 1 
2318808360037;0.120765;0.039116;0.992445 0.000276219 -0.122689 0.23847 -0.0147151 0.993047 -0.116797 0.362337 0.121803 0.11772 0.985549 -2.25909 0 0 0 1 
2318808360038;0.516165;0.0462819;0.976274 -0.195197 0.0937435 2.0016 0.192585 0.980611 0.0362348 -2.08776 -0.0989988 -0.0173215 0.994937 1.65112 0 0 0 1 
2318808360039;0.413132;0.0489969;0.975638 -0.132589 0.174787 1.18784 0.12621 0.990881 0.0471712 -0.634514 -0.179447 -0.0239621 0.983476 2.16347 0 0 0 1 
2318808360040;0.306491;0.0520116;0.988942 0.107955 -0.101678 -0.629401 -0.0909533 0.983061 0.15912 0.68257 0.117134 -0.148112 0.982009 0.223379 0 0 0 1 
2318808360041;0.475776;0.0562039;0.872484 -0.488178 -0.0213089 6.5594 0.487073 0.872347 -0.0420686 -2.6868 0.0391257 0.0263252 0.998887 -0.166499 0 0 0 1 
2318808360042;0.392346;0.0398933;0.996131 0.0379727 0.0792496 -0.460807 -0.0377902 0.999278 -0.00380197 0.316368 -0.0793368 0.000792409 0.996848 1.38449 0 0 0 1 
2318808360043;0.212163;0.0403857;0.990279 0.0587217 -0.126091 -0.331751 -0.0266094 0.969751 0.242641 0.166577 0.136525 -0.236927 0.961887 1.50379 0 0 0 1 
2318808360044;0.216595;0.0481825;0.987895 0.110363 -0.10901 -1.18461 -0.103114 0.992199 0.0700558 0.601443 0.115892 -0.0579673 0.991569 -0.233224 0 0 0 1 
2318808360045;0.469606;0.0381388;0.924021 0.228521 -0.306536 -1.67356 -0.314833 0.909675 -0.270873 3.92347 0.216947 0.346799 0.912504 -5.03698 0 0 0 1 
2318808360046;0.276896;0.0283068;0.999797 0.0106347 0.017114 0.11856 -0.0105194 0.999921 -0.00681628 -0.383337 -0.0171851 0.00663487 0.99983 -0.119456 0 0 0 1 
2318808360047;0.219223;0.0453412;0.95982 -0.141885 -0.242105 2.18356 0.136874 0.989879 -0.0374803 -0.87959 0.244972 0.00283648 0.969526 -2.10781 0 0 0 1 
2318808360048;0.2746;0.0386012;0.952348 -0.0305009 0.303486 0.279411 0.00990123 0.997555 0.0691857 -0.0915847 -0.304854 -0.062884 0.950321 3.18423 0 0 0 1 
2318808360049;0.475244;0.0642153;0.912432 -0.304733 -0.273142 4.74948 0.32641 0.944519 0.0366126 -2.28949 0.24683 -0.122563 0.961277 -1.21513 0 0 0 1 
2318808360050;0.266943;0.0531839;0.951884 -0.305408 -0.0253406 3.85 0.305675 0.952108 0.00735713 -2.14396 0.02188 -0.0147491 0.999652 -0.238135 0 0 0 1 
2318808360051;0.316495;0.0467374;0.979357 -0.0608997 0.192745 0.667517 0.0327194 0.988722 0.146146 -0.475441 -0.199471 -0.136822 0.970305 3.63544 0 0 0 1 
2318808360052;0.442125;0.0384648;0.912446 0.380751 0.149903 -3.57356 -0.37549 0.924677 -0.0630939 3.52491 -0.162634 0.00128287 0.986686 1.62179 0 0 0 1 
2318808360053;0.502153;0.0369549;0.999197 -0.0400551 4.65587e-05 1.18588 0.0397186 0.990952 0.128204 -0.534638 -0.00518134 -0.128099 0.991748 2.09912 0 0 0 1 
2318808360054;0.189299;0.0550964;0.96449 -0.261123 -0.0396727 3.26157 0.25738 0.962931 -0.0807481 -1.71499 0.0592873 0.0676698 0.995945 -1.28617 0 0 0 1 
2318808360055;0.56348;0.0450272;0.948999 0.128338 -0.287976 0.0514411 -0.161988 0.982098 -0.0961396 2.24924 0.270482 0.137885 0.9528 -3.7088 0 0 0 1 
2318808360056;0.0419399;0.0321299;0.998747 0.0406539 -0.029172 -0.352817 -0.0405711 0.999171 0.00342752 0.301903 0.0292872 -0.00223969 0.999569 -0.230436 0 0 0 1 
2318808360057;0.467263;0.0389789;0.996752 -0.07834 -0.0186769 1.10418 0.0777995 0.996573 -0.0280951 -1.35331 0.0208139 0.0265508 0.999431 -0.981132 0 0 0 1 
2318808360058;0.291617;0.0424489;0.99999 0.000223924 -0.00444682 0.0633223 0.000401097 0.990143 0.140057 0.397667 0.00443436 -0.140058 0.990133 1.70934 0 0 0 1 
2318808360059;0.25976;0.0452284;0.972949 0.014543 -0.230563 0.605349 -0.0312354 0.997133 -0.0689144 0.35142 0.2289 0.0742519 0.970614 -2.42956 0 0 0 1 
2318808360060;0.11731;0.026545;0.993373 0.0892767 0.0723831 -1.01032 -0.0856263 0.994966 -0.0520626 0.837421 -0.0766667 0.0455197 0.996017 0.127309 0 0 0 1 
2318808360062;0.468711;0.0471478;0.915873 0.395109 -0.0711656 -0.957279 -0.356936 0.882532 0.306161 2.04779 0.183773 -0.255003 0.949316 0.229654 0 0 0 1 
2318808360063;0.468392;0.0413125;0.993901 -0.10973 0.0109511 -0.386171 0.107886 0.988122 0.109433 -1.10448 -0.0228291 -0.107584 0.993934 -0.0847972 0 0 0 1 
2318808360064;0.317402;0.0412605;0.943822 0.330453 0.00020628 -0.4664 -0.330444 0.943802 -0.00667728 2.01473 -0.00240122 0.00623401 0.999978 -0.404285 0 0 0 1 
2318808360065;0.263432;0.0455112;0.977623 -0.198499 0.06965 0.744422 0.190601 0.975925 0.106024 -1.45308 -0.0890189 -0.090376 0.991921 1.00055 0 0 0 1 
2318808360066;0.238324;0.0475906;0.999733 -0.0223145 -0.00602463 -0.31245 0.0224122 0.99961 0.0166659 -0.349069 0.00565038 -0.0167965 0.999843 0.100615 0 0 0 1 
2318808360067;0.429905;0.034332;0.99243 0.101747 -0.0687816 0.79413 -0.0975153 0.993281 0.062314 0.579984 0.0746597 -0.055135 0.995684 -0.550932 0 0 0 1 
