#;prob_registration_l1 -r ../../../../build/tester /home/point_clouds_registration_benchmark/apartment_local.txt /home/point_clouds_registration_benchmark/apartment -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -i 40 
id;initial_error;final_error;transformation
13001298760000;0.820981;1.8856;0.979293 -0.115809 0.166051 -0.73718 0.0583193 0.946829 0.316406 -2.98402 -0.193864 -0.30017 0.933978 0.525885 0 0 0 1 
13001298760001;0.68771;1.80874;0.874975 0.474978 0.0938834 0.153938 -0.479501 0.823235 0.303912 -1.17721 0.0670635 -0.310933 0.948063 0.434299 0 0 0 1 
13001298760002;0.636186;1.68912;0.972099 0.164571 -0.167151 0.194511 -0.123864 0.965273 0.230014 -1.8051 0.1992 -0.202892 0.958725 -1.05851 0 0 0 1 
13001298760003;0.411513;1.79325;0.996563 -0.038888 0.0731425 0.0279908 0.0232506 0.978777 0.203603 -2.34428 -0.079508 -0.201203 0.976317 -0.121945 0 0 0 1 
13001298760004;0.857932;1.74102;0.876532 0.421945 -0.231635 0.368006 -0.451355 0.887698 -0.0909466 -0.647223 0.167247 0.184267 0.968542 0.57278 0 0 0 1 
13001298760005;0.460674;1.79499;0.898125 0.43749 0.044437 0.321684 -0.437518 0.899158 -0.00961559 -1.09471 -0.0441626 -0.010806 0.998966 0.513224 0 0 0 1 
13001298760006;0.655521;1.74665;0.961386 0.274728 0.0161517 -0.655929 -0.274412 0.961418 -0.0193379 -0.940469 -0.0208412 0.014159 0.999683 0.408197 0 0 0 1 
13001298760007;0.308888;1.76424;0.887875 0.261135 0.378795 -0.113238 -0.30649 0.949743 0.0636593 -1.18458 -0.343134 -0.172618 0.923289 1.21794 0 0 0 1 
13001298760008;0.466988;1.76951;0.955323 0.283164 0.0847086 -0.270416 -0.277584 0.958007 -0.071902 -1.4662 -0.101511 0.0451759 0.993808 0.103879 0 0 0 1 
13001298760009;0.423945;1.78202;0.966303 0.243235 0.0842335 -0.358863 -0.203894 0.923013 -0.326303 -1.05899 -0.157117 0.298133 0.941505 0.221896 0 0 0 1 
13001298760010;0.258498;1.75344;0.968625 0.248434 -0.00683775 0.060268 -0.247898 0.96384 -0.0977672 -0.948959 -0.0176982 0.0963948 0.995186 0.307426 0 0 0 1 
13001298760011;0.784351;1.76677;0.959551 0.273645 0.0661875 -0.0215848 -0.281299 0.922226 0.265273 -1.21449 0.0115508 -0.273161 0.961899 -0.657525 0 0 0 1 
13001298760012;0.622128;1.81013;0.978981 0.202533 -0.0240189 0.195642 -0.203545 0.977665 -0.0523495 -1.96604 0.01288 0.0561381 0.99834 0.301123 0 0 0 1 
13001298760013;0.398004;1.78088;0.898452 0.402344 0.175794 0.126988 -0.356268 0.902043 -0.243706 -0.851564 -0.256627 0.156328 0.953784 1.19082 0 0 0 1 
13001298760014;0.755219;1.27597;0.978724 0.171506 -0.112625 0.75543 -0.158572 0.980598 0.115249 -0.621041 0.130206 -0.0949376 0.986931 -1.06198 0 0 0 1 
13001298760015;0.388158;1.71337;0.9182 0.361194 -0.162631 0.504262 -0.370281 0.928484 -0.0284664 -0.520026 0.140718 0.0863569 0.986276 -0.109485 0 0 0 1 
13001298760016;0.851768;1.69403;0.957523 0.287155 0.0262931 0.571931 -0.28581 0.957206 -0.0454864 -0.463126 -0.0382295 0.0360394 0.998619 0.736939 0 0 0 1 
13001298760017;0.399547;1.71038;0.933717 0.357749 -0.0137029 0.324916 -0.357623 0.930238 -0.0822373 -0.909382 -0.0166734 0.0816868 0.996519 0.491997 0 0 0 1 
13001298760018;0.820633;1.70961;0.918401 0.336268 -0.208478 0.255742 -0.353924 0.933772 -0.052985 -0.89524 0.176854 0.122447 0.976591 0.536905 0 0 0 1 
13001298760019;0.329854;1.30872;0.960456 0.270577 -0.0656663 0.282426 -0.270185 0.962692 0.0149406 -0.91993 0.0672591 0.00339226 0.99773 -0.1386 0 0 0 1 
13001298760020;0.847185;1.74399;0.965299 0.259188 0.0319216 -0.361286 -0.258376 0.965655 -0.0274397 -0.855701 -0.0379373 0.0182398 0.999114 1.01259 0 0 0 1 
