#;prob_registration_l1 -r ../../../../build/tester /home/point_clouds_registration_benchmark/box_met_local.txt /home/point_clouds_registration_benchmark/box_met -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -i 40 
id;initial_error;final_error;transformation
7680147070000;1.79635;3.88641;0.876305 0.181511 0.446256 -9.08691 -0.123365 0.979968 -0.156344 -2.79034 -0.465694 0.0819531 0.881143 -32.738 0 0 0 1 
7680147070001;0.811107;3.56699;0.983916 0.147693 0.100484 -5.11224 -0.122262 0.966893 -0.223986 -2.41748 -0.130238 0.208098 0.969398 -12.9789 0 0 0 1 
7680147070002;1.49386;3.99389;0.964938 -0.0240535 -0.261375 -4.29863 -0.0475252 0.963323 -0.264104 2.07188 0.258141 0.267266 0.928403 7.68574 0 0 0 1 
7680147070003;0.946768;3.80461;0.987727 0.155909 -0.00938164 -6.01028 -0.15481 0.969256 -0.191248 -5.08026 -0.0207241 0.190353 0.981497 -4.54884 0 0 0 1 
7680147070004;1.43077;4.98746;0.997928 -0.0613497 -0.019363 -1.90659 0.0581952 0.989162 -0.134801 7.15937 0.0274232 0.133394 0.990684 -1.96372 0 0 0 1 
7680147070005;0.312811;3.95728;0.986333 0.154578 0.0570354 -5.74548 -0.155714 0.987672 0.0160267 -3.68197 -0.0538549 -0.0246889 0.998244 -4.07835 0 0 0 1 
7680147070006;1.56238;4.34468;0.999959 -0.00149791 -0.00889524 -1.63845 0.00166834 0.999815 0.0191838 5.15144 0.00886485 -0.0191979 0.999776 -2.29773 0 0 0 1 
7680147070007;1.77223;4.10804;0.958796 0.176938 0.222268 -6.59473 -0.225334 0.950109 0.21568 -5.97497 -0.173017 -0.256877 0.950831 -9.4015 0 0 0 1 
7680147070008;0.368314;4.11953;0.984501 0.148701 0.0929876 -5.42814 -0.150068 0.988645 0.00784756 -3.14642 -0.0907647 -0.0216804 0.995636 -6.14759 0 0 0 1 
7680147070009;2.02654;4.12575;0.999691 -0.00963334 0.0229197 -2.68252 0.0114116 0.996828 -0.0787652 5.32976 -0.0220882 0.0790024 0.99663 -6.80784 0 0 0 1 
7680147070010;1.67484;4.10001;0.991779 0.00488145 -0.127868 -3.19264 -0.00664229 0.999889 -0.0133481 4.60653 0.127788 0.0140877 0.991701 8.2333 0 0 0 1 
7680147070011;1.58383;4.23088;0.967467 0.00830128 0.252862 -3.24836 0.079193 0.939299 -0.333834 7.94846 -0.240284 0.342998 0.908083 -19.9456 0 0 0 1 
7680147070012;1.55669;3.73163;0.995769 0.00909395 0.0914391 -3.23914 0.00966229 0.979212 -0.202608 4.9343 -0.0913808 0.202634 0.974981 -8.3406 0 0 0 1 
7680147070013;1.90796;4.20087;0.996906 0.0782133 0.00779048 -3.61229 -0.0782724 0.978815 0.189193 1.84966 0.00717195 -0.189217 0.981909 -0.197713 0 0 0 1 
7680147070014;1.7784;3.66868;0.992481 0.120656 -0.0205898 -4.76277 -0.12197 0.988988 -0.0838241 -1.90522 0.0102492 0.0857051 0.996268 -4.38556 0 0 0 1 
7680147070015;0.363704;4.11271;0.99666 -0.039399 -0.0715235 -2.78095 0.062938 0.928703 0.365444 12.5174 0.052026 -0.368725 0.928082 8.02601 0 0 0 1 
7680147070016;0.265959;3.80489;0.99721 0.0709876 0.0230854 -3.65325 -0.0719993 0.996324 0.0464268 1.25071 -0.0197048 -0.0479594 0.998655 -1.76388 0 0 0 1 
7680147070017;0.994504;4.18793;0.998304 -0.0577038 -0.00769972 -2.25046 0.0577864 0.998269 0.0109633 8.63813 0.00705377 -0.0113897 0.99991 -1.80172 0 0 0 1 
7680147070018;1.14391;3.87283;0.920014 0.113479 -0.375096 -12.5945 -0.113992 0.993262 0.0209018 -1.03467 0.374941 0.0235279 0.92675 20.3419 0 0 0 1 
7680147070019;1.59901;3.3743;0.999611 0.0194627 0.0199909 -1.16103 -0.0195324 0.999804 0.00329891 5.01401 -0.0199228 -0.0036881 0.999795 -1.85682 0 0 0 1 
7680147070020;1.99055;3.95045;0.973306 0.0638573 0.220447 -5.78843 -0.0866149 0.991687 0.095154 1.23708 -0.212538 -0.111708 0.970747 -10.4633 0 0 0 1 
7680147070021;1.30849;3.68533;0.964931 -0.0541627 -0.256856 -5.00889 0.10414 0.977173 0.185168 13.1868 0.240963 -0.205424 0.948545 15.1141 0 0 0 1 
7680147070022;0.490232;4.14949;0.997754 -0.0355548 0.0567658 -1.76342 0.0329888 0.998419 0.0455175 7.51097 -0.0582944 -0.0435426 0.997349 -3.37756 0 0 0 1 
7680147070023;1.93092;2.94753;0.991537 0.117059 0.0561332 -3.96327 -0.107907 0.983536 -0.14496 -0.517527 -0.0721778 0.137676 0.987844 -6.85809 0 0 0 1 
7680147070024;2.01577;4.68302;0.983213 0.111152 -0.144696 -5.00259 -0.0824226 0.978071 0.191269 1.42636 0.162783 -0.176131 0.970814 9.94816 0 0 0 1 
7680147070025;1.53658;4.59771;0.959106 -0.055085 -0.277635 -5.07817 0.0176119 0.990593 -0.1357 5.22135 0.282499 0.125261 0.951054 10.8302 0 0 0 1 
7680147070026;1.23157;3.97807;0.985457 0.160389 0.0561183 -5.62293 -0.16449 0.983268 0.0782737 -3.03863 -0.0426251 -0.0863663 0.995351 -0.717063 0 0 0 1 
7680147070027;1.05263;3.85501;0.93731 0.0625799 0.342832 -6.22401 -0.116782 0.983269 0.139801 -0.770144 -0.328347 -0.171073 0.928936 -17.8325 0 0 0 1 
7680147070028;0.137424;3.9882;0.9987 0.0479913 0.0171636 -3.0773 -0.0481782 0.998782 0.0106461 2.39259 -0.0166318 -0.0114591 0.999796 -1.83493 0 0 0 1 
7680147070029;1.81513;2.98234;0.998023 0.012276 -0.0616452 -3.60631 -0.0138908 0.99957 -0.0258348 5.25787 0.0613015 0.02664 0.997764 2.69594 0 0 0 1 
7680147070031;0.429088;2.54175;0.973956 -0.0461335 -0.221994 -5.48263 0.0459318 0.998926 -0.00607404 2.48914 0.222036 -0.00428074 0.975029 0.974742 0 0 0 1 
7680147070032;0.91489;2.64019;0.995164 -0.0178893 0.0965827 -3.61808 0.00930431 0.996022 0.0886167 3.52744 -0.0977839 -0.0872895 0.991372 -0.133841 0 0 0 1 
7680147070033;0.415478;2.26966;0.97569 -0.0192771 0.218307 -3.37719 0.083755 0.953309 -0.290151 2.10325 -0.202521 0.301381 0.931748 -9.8833 0 0 0 1 
7680147070034;0.600344;2.62737;0.985175 -0.0706053 -0.156347 -4.61268 0.0417349 0.982639 -0.180773 1.91391 0.166397 0.171568 0.971018 -2.34885 0 0 0 1 
7680147070035;0.44843;2.47812;0.997151 -0.0376311 0.0653745 -3.86159 0.0235556 0.978676 0.204057 3.33595 -0.0716593 -0.201936 0.976774 2.37544 0 0 0 1 
7680147070036;0.879785;1.99278;0.999127 -0.0414688 -0.00514411 -4.79158 0.0412551 0.998487 -0.0363549 2.6148 0.00664392 0.036111 0.999326 -1.65065 0 0 0 1 
7680147070037;0.82527;2.60101;0.999548 -0.0171608 0.0246729 -4.56074 0.016657 0.999651 0.0204841 2.70805 -0.0250158 -0.0200639 0.999486 1.21625 0 0 0 1 
7680147070038;0.802274;2.22611;0.979247 -0.034251 0.199757 -3.54849 -0.0247025 0.958098 0.285374 4.68862 -0.201161 -0.284386 0.937368 3.92666 0 0 0 1 
7680147070039;1.33952;2.08373;0.999773 0.017392 0.0122792 -6.52326 -0.0176493 0.99962 0.0211647 1.99065 -0.0119065 -0.0213767 0.999701 0.730476 0 0 0 1 
