#;prob_registration_l1 -r ../../../../build/tester /home/point_clouds_registration_benchmark/gazebo_summer_local.txt /home/point_clouds_registration_benchmark/gazebo_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -i 40 
id;initial_error;final_error;transformation
36535719080000;0.0805842;0.167434;0.998452 -0.0222947 0.050956 -0.403809 0.0171027 0.994826 0.100148 -0.0906309 -0.0529251 -0.0991213 0.993667 0.00814517 0 0 0 1 
36535719080001;0.11249;0.160576;0.984784 0.00456565 0.173724 -0.545866 0.00610338 0.998129 -0.0608299 0.0455285 -0.173677 0.0609646 0.982914 0.181207 0 0 0 1 
36535719080002;0.259114;0.180566;0.990484 0.0178058 0.136469 -0.216452 -0.0432373 0.981648 0.185733 -0.453635 -0.130657 -0.189866 0.973077 0.0688141 0 0 0 1 
36535719080003;0.441289;0.722935;0.975191 -0.0631997 0.212152 -1.35357 0.079884 0.994272 -0.0710076 -0.616608 -0.206449 0.0861936 0.974653 -0.209243 0 0 0 1 
36535719080004;0.424931;0.762879;0.945938 -0.043172 0.321463 -1.70778 0.0723508 0.994216 -0.0793782 -0.579912 -0.316176 0.0983449 0.943589 -0.183442 0 0 0 1 
36535719080005;0.508351;0.217322;0.982624 -0.117518 0.143663 0.00807225 0.163055 0.916348 -0.365677 0.761367 -0.0886712 0.382748 0.919587 -0.414444 0 0 0 1 
36535719080006;0.482532;0.443012;0.983624 0.074008 -0.164339 -1.11677 -0.0983131 0.984525 -0.145068 0.532697 0.15106 0.158849 0.975678 -1.49161 0 0 0 1 
36535719080007;0.407429;0.399643;0.968562 -0.247397 0.0261409 -1.00622 0.246042 0.937089 -0.247643 -0.665428 0.0367698 0.24629 0.968499 -1.2221 0 0 0 1 
36535719080008;0.494873;0.49162;0.987463 0.0336419 0.154226 -1.43843 0.0176762 0.947314 -0.319817 0.447191 -0.156859 0.318534 0.934843 -0.718738 0 0 0 1 
36535719080009;0.260051;0.160079;0.984954 -0.0969048 0.143091 -0.486167 0.0900256 0.994485 0.0538075 -0.77887 -0.147516 -0.0401161 0.988246 -0.326696 0 0 0 1 
36535719080010;0.367096;0.274567;0.977665 -0.14576 0.151411 -0.0606419 0.151877 0.987956 -0.0295888 -0.186583 -0.145274 0.0519237 0.988028 0.680066 0 0 0 1 
36535719080011;0.379627;0.345809;0.970223 -0.170639 0.171902 -0.734982 0.161184 0.984604 0.0676375 0.220333 -0.180797 -0.0379155 0.982789 -0.297359 0 0 0 1 
36535719080012;0.1676;0.156219;0.998942 0.0246328 0.0388231 -0.60259 -0.0252999 0.999539 0.016787 0.204641 -0.0383917 -0.0177515 0.999105 -0.540548 0 0 0 1 
36535719080013;0.445602;0.614182;0.961404 -0.137363 0.2384 -0.721437 0.134321 0.990512 0.0290396 -0.649475 -0.240127 0.00410342 0.970733 0.235999 0 0 0 1 
36535719080014;0.45281;0.541138;0.995307 0.0958374 -0.0134131 -1.62619 -0.0961932 0.99494 -0.0290206 0.363096 0.010564 0.0301747 0.999489 -0.129507 0 0 0 1 
36535719080015;0.366192;0.51293;0.997387 0.0603845 0.0396598 -1.65479 -0.0611275 0.997971 0.0177967 0.187897 -0.0385047 -0.0201745 0.999055 0.0518859 0 0 0 1 
36535719080016;0.0775968;0.15338;0.991501 -0.00976153 0.12973 -0.525627 0.00326426 0.998734 0.0502016 0.0119723 -0.130056 -0.0493515 0.990278 0.126869 0 0 0 1 
