#;prob_registration_l1 -r ../../../../build/tester /home/point_clouds_registration_benchmark/hauptgebaude_local.txt /home/point_clouds_registration_benchmark/hauptgebaude -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -i 40 
id;initial_error;final_error;transformation
3394309160000;0.248226;0.039595;0.999305 -0.00770994 0.0364808 0.494849 0.00611692 0.999031 0.0435792 -0.0914746 -0.0367815 -0.0433258 0.998384 0.0294678 0 0 0 1 
3394309160001;0.28369;0.032076;0.993483 0.110838 -0.0265718 -0.436773 -0.108993 0.992045 0.0629785 0.802842 0.0333408 -0.0596719 0.997661 -0.588085 0 0 0 1 
3394309160002;0.278932;0.0327723;0.976927 -0.0118849 0.213243 -0.145804 0.00902951 0.999856 0.0143595 -0.134206 -0.213383 -0.0121027 0.976894 0.786252 0 0 0 1 
3394309160003;0.0682056;0.0262166;0.995084 -0.095253 0.0271039 0.0122629 0.095604 0.995348 -0.0119603 -0.630976 -0.0258386 0.0144928 0.999561 0.230226 0 0 0 1 
3394309160004;0.286924;0.033785;0.999204 0.0353134 -0.0185465 0.520771 -0.0350883 0.999308 0.012325 0.697445 0.0189689 -0.0116644 0.999752 -0.240546 0 0 0 1 
3394309160005;0.492031;0.0388085;0.90799 0.380731 0.174925 -0.301076 -0.40603 0.902592 0.143066 2.54662 -0.103416 -0.200927 0.974132 0.365538 0 0 0 1 
3394309160006;0.393899;0.0383316;0.988311 0.019936 0.15114 -0.289572 -0.021608 0.999722 0.00942793 0.508628 -0.15091 -0.0125836 0.988467 1.95277 0 0 0 1 
3394309160007;0.411602;0.0269444;0.883912 -0.34019 0.32089 0.351767 0.345483 0.937475 0.0422032 -2.11202 -0.315184 0.0735582 0.946176 1.46706 0 0 0 1 
3394309160008;0.42721;0.0293667;0.953382 -0.299074 -0.0402212 0.482768 0.299906 0.953828 0.0164063 -1.9228 0.0334574 -0.0277041 0.999056 0.731895 0 0 0 1 
3394309160009;0.395375;0.03121;0.977321 -0.204499 -0.0549938 0.420402 0.199369 0.976091 -0.0865987 -1.50521 0.0713882 0.0736707 0.994724 0.474722 0 0 0 1 
3394309160010;0.216746;0.0268937;0.991806 -0.0105172 -0.12732 -0.123707 -0.0113466 0.985415 -0.169787 0.442156 0.127249 0.169841 0.977221 -0.536883 0 0 0 1 
3394309160011;0.228138;0.553402;0.949407 -0.223712 -0.220408 1.89325 0.246221 0.965888 0.0802272 -1.71946 0.194942 -0.130437 0.972103 -1.0379 0 0 0 1 
3394309160012;0.324315;0.623633;0.942047 -0.333904 -0.0324773 1.36476 0.33473 0.929057 0.157512 -2.35592 -0.0224206 -0.159255 0.986983 -0.0761423 0 0 0 1 
