#;prob_registration_l1 -r ../../../../build/tester /home/point_clouds_registration_benchmark/pioneer_slam_local.txt /home/point_clouds_registration_benchmark/pioneer_slam -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -i 40 
id;initial_error;final_error;transformation
1807261650000;0.252801;0.10423;0.994402 0.0568286 0.0890788 -0.279426 -0.0538728 0.997926 -0.0352441 0.355113 -0.0908969 0.0302479 0.995401 0.207874 0 0 0 1 
1807261650001;0.370505;0.126098;0.970694 0.126057 0.204601 -0.101837 -0.16635 0.966895 0.1935 0.520677 -0.173436 -0.221865 0.959529 0.861651 0 0 0 1 
1807261650002;0.611698;0.13522;0.999972 0.00734491 -0.00110613 0.227551 -0.0073668 0.999746 -0.0212959 -0.648598 0.000949435 0.0213035 0.999773 0.573114 0 0 0 1 
1807261650003;0.65444;0.137775;0.950524 0.305985 -0.0536331 0.426743 -0.301294 0.950106 0.08075 1.18192 0.0756655 -0.0605954 0.99529 -0.999763 0 0 0 1 
1807261650004;0.70178;0.162072;0.90547 0.385896 0.176661 0.100621 -0.359743 0.918709 -0.162967 1.53076 -0.225189 0.0840091 0.970687 1.379 0 0 0 1 
1807261650005;0.564667;0.127086;0.988998 -0.147768 0.00692914 0.0580871 0.147793 0.989013 -0.00328569 -0.216873 -0.00636748 0.00427362 0.999971 0.751874 0 0 0 1 
1807261650006;0.456118;0.0387581;0.994747 -0.0778812 -0.0664305 -0.401974 0.0667336 0.985489 -0.156073 -0.0130755 0.0776216 0.15082 0.985509 -0.717805 0 0 0 1 
1807261650007;0.0911852;0.0691045;0.997186 0.0142239 0.0735998 -0.164508 -0.0154457 0.999752 0.016058 0.0322788 -0.0733531 -0.0171496 0.997159 0.295903 0 0 0 1 
1807261650008;0.628711;0.176078;0.957062 -0.037939 0.28739 0.691495 0.000581472 0.991648 0.128973 -0.181377 -0.289882 -0.123268 0.949091 0.748785 0 0 0 1 
1807261650009;0.268333;0.12119;0.973366 -0.228866 -0.0133838 -0.106647 0.22889 0.973452 0.000243825 -0.808553 0.0129727 -0.00330075 0.99991 -0.144257 0 0 0 1 
1807261650010;0.71038;0.161565;0.937994 0.346422 0.0126185 0.150495 -0.346541 0.937992 0.00896021 1.16727 -0.00873203 -0.0127775 0.99988 -0.862653 0 0 0 1 
1807261650011;0.818748;0.158513;0.901069 0.43366 -0.0037457 0.101493 -0.433642 0.901073 0.00478689 1.69772 0.00545103 -0.00268902 0.999982 -0.892718 0 0 0 1 
1807261650012;0.646177;0.0547602;0.99998 -0.00153399 0.00620686 0.151929 0.00185429 0.998649 -0.0519319 -0.60203 -0.00611881 0.0519423 0.998631 -0.706599 0 0 0 1 
1807261650013;0.5425;0.0583605;0.989072 0.0296992 -0.14441 -0.119547 -0.035814 0.99856 -0.0399294 -0.167385 0.143016 0.0446649 0.988712 -1.20496 0 0 0 1 
1807261650014;0.402811;0.140115;0.946946 0.193529 -0.256593 0.285597 -0.161681 0.976849 0.140089 0.47585 0.277764 -0.0911705 0.956313 -1.38301 0 0 0 1 
1807261650015;0.62098;0.102811;0.889775 -0.41451 0.191003 0.253467 0.410991 0.909688 0.0596097 -1.21875 -0.198462 0.0254613 0.979778 1.2793 0 0 0 1 
1807261650016;0.314215;0.152707;0.990571 0.127809 -0.0493451 -0.129485 -0.125553 0.991002 0.046394 0.60404 0.0548306 -0.0397611 0.997704 -0.00394035 0 0 0 1 
1807261650017;0.544853;0.16954;0.950214 0.105817 -0.29308 0.177633 -0.201955 0.925418 -0.320648 0.824031 0.237291 0.363873 0.900716 -1.09837 0 0 0 1 
1807261650018;0.870541;0.145672;0.880898 0.458024 0.119305 0.162279 -0.451004 0.888749 -0.0819755 2.06826 -0.143579 0.0184048 0.989468 1.20003 0 0 0 1 
1807261650019;0.408282;0.137422;0.966149 0.257962 -0.00340889 -0.284782 -0.257942 0.966146 0.00535286 0.75051 0.00467432 -0.00429237 0.99998 0.308022 0 0 0 1 
1807261650020;0.378251;0.16058;0.966267 0.0096553 -0.257363 0.0262367 -0.100172 0.934701 -0.341028 0.311418 0.237264 0.355305 0.904137 -0.897141 0 0 0 1 
1807261650021;0.0584465;0.101945;0.998841 0.0423994 -0.0227846 -0.0506869 -0.0422092 0.99907 0.00876326 0.0150581 0.023135 -0.00779138 0.999702 -0.0464802 0 0 0 1 
1807261650022;0.492617;0.100183;0.971815 -0.166799 -0.166595 0.106184 0.15254 0.983712 -0.0950918 -0.530678 0.179743 0.0669992 0.981429 -1.18673 0 0 0 1 
1807261650023;0.436303;0.150489;0.935755 0.351197 0.0319978 0.0863385 -0.352106 0.935499 0.0293821 1.33724 -0.019615 -0.038761 0.999056 0.158003 0 0 0 1 
1807261650024;0.611538;0.157591;0.995944 -0.0139443 0.0888893 0.129185 0.0204418 0.997151 -0.0726108 0.348261 -0.0876235 0.0741334 0.993391 -0.393139 0 0 0 1 
1807261650025;0.222007;0.0936161;0.983587 -0.163938 -0.0753783 -0.208668 0.152297 0.978309 -0.140414 -0.696515 0.0967624 0.126629 0.987219 -0.149581 0 0 0 1 
1807261650026;0.125003;0.0763361;0.997584 -0.0244014 -0.0650387 -0.231365 0.0171007 0.993725 -0.110534 -0.0766203 0.0673278 0.109155 0.991742 -0.113559 0 0 0 1 
