#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark/gazebo_summer_local.txt /home/point_clouds_registration_benchmark/gazebo_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 15 -i 40 
id;initial_error;final_error;transformation
36535719080000;0.0805842;0.164661;0.998267 -0.0192783 0.0555917 -0.379336 0.013517 0.994671 0.102209 -0.116323 -0.0572659 -0.10128 0.993208 -0.00513837 0 0 0 1 
36535719080001;0.11249;0.148391;0.985928 -0.0045627 0.167106 -0.496427 0.015181 0.997941 -0.06232 0.0330346 -0.166478 0.0639799 0.983967 0.174425 0 0 0 1 
36535719080002;0.259114;0.188638;0.987645 0.0164268 0.155848 -0.221908 -0.0462176 0.98079 0.189514 -0.462476 -0.149741 -0.194376 0.969431 0.0658039 0 0 0 1 
36535719080003;0.441289;0.916582;0.969321 -0.112438 0.218576 -1.99189 0.128226 0.989965 -0.0593976 -1.23367 -0.209704 0.0856025 0.974011 -0.189963 0 0 0 1 
36535719080004;0.424931;0.728771;0.939759 -0.0418658 0.339264 -1.51628 0.0740445 0.99384 -0.0824611 -0.708091 -0.333721 0.102614 0.93707 -0.162823 0 0 0 1 
36535719080005;0.508351;0.204721;0.982558 -0.114984 0.146146 0.0638895 0.161396 0.917671 -0.363087 0.747042 -0.0923644 0.380341 0.920223 -0.430833 0 0 0 1 
36535719080006;0.482532;0.473905;0.984757 0.0505926 -0.166416 -1.16797 -0.0756572 0.986103 -0.147909 0.527081 0.15662 0.158245 0.974899 -1.53428 0 0 0 1 
36535719080007;0.407429;0.338502;0.959379 -0.280063 0.0340189 -0.76227 0.279727 0.928616 -0.243773 -0.746951 0.0366815 0.243387 0.969235 -1.21066 0 0 0 1 
36535719080008;0.494873;0.49995;0.987068 0.040598 0.155078 -1.46606 0.0109096 0.948143 -0.317655 0.5478 -0.159932 0.315239 0.935439 -0.743331 0 0 0 1 
36535719080009;0.260051;0.177729;0.983847 -0.0973644 0.150214 -0.542087 0.0896695 0.994328 0.0571922 -0.790161 -0.154931 -0.0427988 0.986998 -0.324182 0 0 0 1 
36535719080010;0.367096;0.298801;0.978477 -0.136776 0.154519 -0.136611 0.143525 0.989085 -0.0333476 -0.222235 -0.148271 0.0548072 0.987427 0.678147 0 0 0 1 
36535719080011;0.379627;0.379591;0.970825 -0.151972 0.185479 -0.841342 0.142696 0.987794 0.0624558 0.2404 -0.192706 -0.0341666 0.980661 -0.299236 0 0 0 1 
36535719080012;0.1676;0.167363;0.998787 0.0200369 0.0449717 -0.627429 -0.0209184 0.999596 0.0192183 0.197658 -0.0445685 -0.0201358 0.998803 -0.545637 0 0 0 1 
36535719080013;0.445602;0.648872;0.958911 -0.134426 0.249837 -0.823001 0.131863 0.990899 0.0270502 -0.682938 -0.251199 0.00700541 0.96791 0.209694 0 0 0 1 
36535719080014;0.45281;0.547189;0.994947 0.100394 -0.00137364 -1.6757 -0.10039 0.994509 -0.0295552 0.317854 -0.00160105 0.0295438 0.999562 -0.0839388 0 0 0 1 
36535719080015;0.366192;0.490341;0.998582 0.0448946 0.0286196 -1.52249 -0.0455031 0.998744 0.0209762 0.170419 -0.0276419 -0.0222487 0.99937 0.00693999 0 0 0 1 
36535719080016;0.0775968;0.164263;0.989918 -0.0068007 0.14148 -0.554772 -0.000688049 0.998604 0.0528154 0.0332281 -0.141642 -0.0523802 0.988531 0.135024 0 0 0 1 
36535719080017;0.294515;0.16898;0.952572 0.059993 0.298341 -0.611926 0.0247814 0.961826 -0.272536 0.204618 -0.303303 0.267004 0.914722 0.180695 0 0 0 1 
36535719080018;0.425335;0.522319;0.999552 0.0186929 -0.0233721 -1.14553 -0.0206079 0.996204 -0.0845755 -0.149843 0.0217025 0.0850193 0.996143 -0.718067 0 0 0 1 
36535719080019;0.389784;0.529518;0.994445 0.0426615 -0.0962262 -1.14198 -0.0501505 0.995784 -0.0768003 0.13725 0.0925441 0.0811994 0.992392 -0.675843 0 0 0 1 
36535719080020;0.317608;0.167209;0.986892 0.153768 -0.0489781 -0.57736 -0.150254 0.986251 0.0687995 0.840127 0.0588838 -0.0605386 0.996428 -0.0479463 0 0 0 1 
36535719080021;0.423824;0.611436;0.942295 -0.125902 0.310209 -1.28256 0.233375 0.911377 -0.339011 -0.342042 -0.240035 0.391844 0.888168 -0.0428101 0 0 0 1 
