#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark/devel/registration_pairs/urban05_local.txt /home/point_clouds_registration_benchmark/urban05 -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 15 -i 40 
id;initial_error;final_error;transformation
34562489690000;0.13992;0.623003;1 -1.22811e-07 7.1103e-07 -0.879944 1.22811e-07 1 2.3161e-08 4.16653 -7.1103e-07 -2.3161e-08 1 -0.0462633 0 0 0 1 
34562489690001;0.182436;0.277541;1 -7.95728e-08 4.79796e-07 -0.688164 7.95728e-08 1 4.24559e-08 0.867604 -4.79796e-07 -4.24558e-08 1 -0.313167 0 0 0 1 
34562489690002;0.400034;0.510702;0.999958 1.67676e-06 -0.00912805 16.2367 5.58476e-06 1 0.000795492 -2.35128 0.00912804 -0.00079551 0.999958 -10.8906 0 0 0 1 
34562489690003;0.381518;0.452038;0.999981 8.56236e-07 -0.00616622 6.6024 2.45773e-06 1 0.000537431 -1.22985 0.00616622 -0.000537436 0.999981 -6.7819 0 0 0 1 
34562489690004;0.467995;0.908599;1 -1.78227e-07 4.48272e-07 -1.27655 1.78227e-07 1 4.70554e-08 3.98423 -4.48272e-07 -4.70553e-08 1 -0.292334 0 0 0 1 
34562489690005;0.423309;0.714348;1 -1.58317e-07 7.24327e-07 -1.20526 1.58317e-07 1 7.29488e-08 2.52193 -7.24327e-07 -7.29487e-08 1 -0.520369 0 0 0 1 
34562489690006;0.190415;1.14158;1 -7.79048e-08 1.5025e-06 -1.04326 7.79048e-08 1 -2.7794e-08 -9.55668 -1.5025e-06 2.77941e-08 1 -0.0876288 0 0 0 1 
34562489690007;0.167146;0.309391;1 -1.48899e-08 4.90628e-07 -0.00424434 1.48899e-08 1 7.32002e-09 1.59854 -4.90628e-07 -7.32001e-09 1 0.0185408 0 0 0 1 
34562489690008;0.102809;0.106084;1 -2.76414e-08 6.04613e-08 -0.179768 2.76414e-08 1 7.69254e-09 -0.237888 -6.04613e-08 -7.69253e-09 1 -0.036279 0 0 0 1 
34562489690009;0.0509686;0.113645;1 -2.87112e-06 -3.32851e-05 22.5846 2.87115e-06 1 8.71127e-07 -3.19345 3.32851e-05 -8.71222e-07 1 -16.4216 0 0 0 1 
