#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/gazebo_summer_local.txt /home/point_clouds_registration_benchmark//eth/gazebo_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 20 -i 40 
id;initial_error;final_error;transformation
36535719080000;0.0805842;0.176941;0.99809 -0.0227478 0.0574428 -0.423389 0.01665 0.994387 0.104485 -0.104169 -0.0594972 -0.103329 0.992866 0.00254564 0 0 0 1 
36535719080001;0.11249;0.165986;0.98638 -0.00879562 0.164249 -0.562885 0.018932 0.998004 -0.0602505 0.0028169 -0.163391 0.0625394 0.984577 0.172217 0 0 0 1 
36535719080002;0.259114;0.169524;0.987234 0.0177634 0.158285 -0.157898 -0.0481863 0.980503 0.190505 -0.47033 -0.151815 -0.1957 0.968841 0.0788352 0 0 0 1 
36535719080003;0.441289;0.932063;0.969435 -0.108678 0.219964 -2.0303 0.126377 0.989647 -0.0680203 -1.25489 -0.210294 0.0937398 0.973134 -0.228604 0 0 0 1 
36535719080004;0.424931;0.789267;0.940787 -0.0428378 0.336281 -1.76664 0.0756797 0.993488 -0.0851656 -0.692057 -0.330443 0.105572 0.937903 -0.186867 0 0 0 1 
36535719080005;0.508351;0.225849;0.98227 -0.112916 0.149649 0.00188871 0.16114 0.916488 -0.366174 0.73839 -0.0958046 0.383797 0.918434 -0.446558 0 0 0 1 
36535719080006;0.482532;0.470267;0.986768 0.0495468 -0.154385 -1.17257 -0.0725313 0.986473 -0.147002 0.457696 0.145013 0.156255 0.977014 -1.5144 0 0 0 1 
36535719080007;0.407429;0.437641;0.972383 -0.231137 0.0323484 -1.14619 0.231673 0.939138 -0.253669 -0.657838 0.0282527 0.254158 0.96675 -1.23946 0 0 0 1 
36535719080008;0.494873;0.496112;0.987826 0.0230897 0.153842 -1.43153 0.0273404 0.947763 -0.317802 0.37543 -0.153143 0.318139 0.935593 -0.739464 0 0 0 1 
36535719080009;0.260051;0.176711;0.983659 -0.0968683 0.151762 -0.534945 0.0895652 0.994502 0.0542571 -0.756757 -0.156184 -0.0397779 0.986927 -0.328202 0 0 0 1 
36535719080010;0.367096;0.282038;0.975767 -0.147484 0.161638 -0.0587228 0.154315 0.987551 -0.030483 -0.225138 -0.15513 0.0546874 0.986379 0.6709 0 0 0 1 
36535719080011;0.379627;0.342194;0.969185 -0.170765 0.17754 -0.733813 0.160804 0.98456 0.0691647 0.244807 -0.18661 -0.0384841 0.98168 -0.283223 0 0 0 1 
36535719080012;0.1676;0.166055;0.998721 0.0199907 0.0464373 -0.61547 -0.0209153 0.999591 0.0195109 0.189327 -0.0460282 -0.0204572 0.998731 -0.551927 0 0 0 1 
36535719080013;0.445602;0.641095;0.957359 -0.120596 0.262526 -0.802491 0.120015 0.992603 0.0183093 -0.728836 -0.262793 0.0139784 0.964751 0.177561 0 0 0 1 
36535719080014;0.45281;0.515304;0.994847 0.101298 -0.00415596 -1.52666 -0.101364 0.994623 -0.0212209 0.410006 0.00198397 0.0215329 0.999766 -0.133759 0 0 0 1 
36535719080015;0.366192;0.546067;0.998327 0.0495752 0.0297436 -1.7351 -0.0502216 0.998509 0.0213939 0.22114 -0.0286387 -0.0228519 0.999329 0.0118516 0 0 0 1 
36535719080016;0.0775968;0.15636;0.990215 -0.00755214 0.139345 -0.524682 7.0606e-05 0.998562 0.0536178 -0.029309 -0.139549 -0.0530833 0.988791 0.138231 0 0 0 1 
36535719080017;0.294515;0.163249;0.950803 0.0617497 0.303579 -0.581686 0.0237574 0.962514 -0.270189 0.185714 -0.308883 0.264108 0.913695 0.184389 0 0 0 1 
36535719080018;0.425335;0.515296;0.99953 0.0305186 -0.0029511 -1.15516 -0.0306564 0.996408 -0.0789436 -0.100269 0.000531253 0.078997 0.996875 -0.701921 0 0 0 1 
36535719080019;0.389784;0.515909;0.995844 0.032489 -0.0850806 -1.08556 -0.0381677 0.99709 -0.0659923 0.015369 0.082689 0.0689654 0.994186 -0.657065 0 0 0 1 
36535719080020;0.317608;0.173955;0.983756 0.17656 -0.0324149 -0.596745 -0.173928 0.982177 0.0712529 0.942601 0.0444175 -0.0644576 0.996931 -0.0514464 0 0 0 1 
36535719080021;0.423824;0.646689;0.942977 -0.132968 0.305147 -1.39744 0.238715 0.909034 -0.341575 -0.233711 -0.23197 0.39494 0.888939 -0.0860033 0 0 0 1 
36535719080022;0.154215;0.149076;0.999304 0.00328052 0.0371665 -0.741635 -0.00392363 0.999844 0.0172437 -0.0512516 -0.0371041 -0.0173775 0.99916 -0.375634 0 0 0 1 
36535719080023;0.35143;0.195182;0.980925 -0.00666658 -0.19427 -0.476225 0.0281821 0.99373 0.108198 0.147069 0.192331 -0.11161 0.974963 0.251545 0 0 0 1 
36535719080024;0.34005;0.199104;0.967022 -0.229375 -0.110701 -0.13007 0.17767 0.918955 -0.352071 -0.255584 0.182485 0.320793 0.929404 -1.1387 0 0 0 1 
36535719080025;0.273677;0.190421;0.995826 0.0635874 -0.0654762 -0.586205 -0.0500394 0.980316 0.190988 0.419216 0.0763318 -0.186914 0.979406 -0.0338553 0 0 0 1 
36535719080026;0.254446;0.206444;0.996558 -0.0286668 0.0777837 -0.0211215 0.0277446 0.999532 0.01291 0.406991 -0.0781173 -0.0107074 0.996887 -0.110445 0 0 0 1 
36535719080027;0.274443;0.213599;0.985286 0.133697 0.106471 -0.987016 -0.135503 0.990728 0.00987277 0.184907 -0.104164 -0.0241546 0.994267 0.00867131 0 0 0 1 
36535719080028;0.110223;0.172785;0.988106 -0.0306209 0.150695 -0.615333 0.0392815 0.997723 -0.0548331 -0.19161 -0.148673 0.0601005 0.987058 0.0137907 0 0 0 1 
36535719080029;0.464721;0.818853;0.962395 -0.0814479 0.259158 -1.75997 0.0894239 0.99581 -0.0191175 -0.985799 -0.256515 0.0415735 0.965646 -0.376999 0 0 0 1 
36535719080031;0.562593;1.69837;0.978915 0.130432 0.157201 -2.74754 -0.120529 0.990167 -0.0710034 0.787283 -0.164917 0.050559 0.985011 -0.177746 0 0 0 1 
36535719080032;0.49885;1.28046;0.999437 -0.0123264 -0.0312203 -2.12697 0.0148683 0.996477 0.0825421 0.502112 0.0300928 -0.0829598 0.996098 -0.510189 0 0 0 1 
36535719080033;0.471869;1.78913;0.945288 0.286494 0.156049 -3.10206 -0.321997 0.896208 0.305169 0.968944 -0.0524231 -0.33872 0.939426 0.443312 0 0 0 1 
36535719080034;0.28376;1.68666;0.917947 0.381789 -0.107752 -2.82804 -0.360078 0.915866 0.177576 1.13656 0.166482 -0.124206 0.97819 -1.09595 0 0 0 1 
36535719080035;0.587922;1.7236;0.988118 -0.0734237 0.135025 -3.10065 0.0838557 0.993781 -0.073262 -0.104123 -0.128807 0.0837142 0.98813 -0.794211 0 0 0 1 
36535719080036;0.406933;1.66797;0.967892 0.219422 0.122632 -3.12231 -0.215525 0.975491 -0.0443558 0.728887 -0.129359 0.0165014 0.99146 0.469533 0 0 0 1 
36535719080037;0.0919718;1.68006;0.934949 0.295396 0.196498 -3.0174 -0.288254 0.955367 -0.0646773 0.638671 -0.206833 0.00382872 0.978369 0.112303 0 0 0 1 
36535719080038;0.581548;1.7756;0.979538 0.107918 0.169879 -3.93823 -0.113435 0.993277 0.0230819 0.31289 -0.166246 -0.0418798 0.985195 0.649223 0 0 0 1 
36535719080039;0.434512;1.7346;0.913968 0.372278 0.161468 -3.42209 -0.358436 0.927188 -0.108836 1.41322 -0.190229 0.0415967 0.980858 -0.50157 0 0 0 1 
36535719080040;0.566995;1.77975;0.924893 0.102449 0.366166 -2.44775 -0.13904 0.987448 0.0749245 0.447397 -0.353894 -0.120209 0.927528 0.396012 0 0 0 1 
36535719080041;0.142283;1.7653;0.91529 0.371213 0.156352 -2.95668 -0.366809 0.928535 -0.0572277 1.12346 -0.166422 -0.00497142 0.986042 -0.139539 0 0 0 1 
36535719080042;0.307724;1.65861;0.980405 0.196842 -0.00764566 -3.02341 -0.192035 0.946376 -0.259798 0.430344 -0.0439035 0.256176 0.965633 -0.213527 0 0 0 1 
36535719080043;0.210302;1.71299;0.952715 0.160201 0.258206 -3.11171 -0.195415 0.973729 0.116894 0.666995 -0.232697 -0.161824 0.958992 0.429247 0 0 0 1 
