#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/hauptgebaude_local.txt /home/point_clouds_registration_benchmark//eth/hauptgebaude -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 25 -i 40 
id;initial_error;final_error;transformation
3394309160000;0.248226;0.0435382;0.999282 -0.00752588 0.0371458 0.490291 0.0058759 0.999 0.0443299 -0.094825 -0.0374423 -0.0440798 0.998326 0.043178 0 0 0 1 
3394309160001;0.28369;0.0358073;0.993546 0.109894 -0.0281173 -0.420527 -0.107911 0.992077 0.0643373 0.783577 0.0349648 -0.0608879 0.997532 -0.589124 0 0 0 1 
3394309160002;0.278932;0.0378797;0.977149 -0.0113107 0.212257 -0.16001 0.00822502 0.999847 0.0154147 -0.124621 -0.212398 -0.0133166 0.977092 0.787561 0 0 0 1 
3394309160003;0.0682056;0.0343812;0.995116 -0.0952192 0.0260334 0.0279847 0.0955085 0.995377 -0.0101038 -0.631849 -0.024951 0.0125408 0.99961 0.246242 0 0 0 1 
3394309160004;0.286924;0.0444717;0.999194 0.0356346 -0.01848 0.499701 -0.0353631 0.999265 0.0148144 0.694792 0.0189943 -0.014149 0.999719 -0.223328 0 0 0 1 
3394309160005;0.492031;0.0381804;0.908118 0.381059 0.173541 -0.291317 -0.40609 0.902537 0.143242 2.5506 -0.102043 -0.200554 0.974354 0.361379 0 0 0 1 
3394309160006;0.393899;0.0462131;0.988155 0.0196952 0.152187 -0.295784 -0.0216636 0.999702 0.0112873 0.499676 -0.151919 -0.0144505 0.988287 1.97762 0 0 0 1 
3394309160007;0.411602;0.0401944;0.883189 -0.342163 0.320783 0.352306 0.346491 0.936952 0.0454307 -2.13767 -0.316103 0.0710247 0.946062 1.50364 0 0 0 1 
3394309160008;0.42721;0.0373376;0.95285 -0.30063 -0.041203 0.488039 0.301545 0.953282 0.0180031 -1.94122 0.0338658 -0.0295788 0.998989 0.747615 0 0 0 1 
3394309160009;0.395375;0.0378667;0.976868 -0.206512 -0.0555144 0.431153 0.201494 0.97584 -0.0844726 -1.52719 0.0716177 0.0713328 0.994878 0.48704 0 0 0 1 
3394309160010;0.216746;0.0320581;0.991557 -0.0109421 -0.129211 -0.0972734 -0.0110908 0.985626 -0.168577 0.434626 0.129198 0.168586 0.977183 -0.538818 0 0 0 1 
3394309160011;0.228138;0.535783;0.948658 -0.224058 -0.22326 1.8518 0.24752 0.965324 0.0829705 -1.73239 0.196928 -0.133972 0.971221 -1.03834 0 0 0 1 
3394309160012;0.324315;0.644486;0.942673 -0.331722 -0.0364547 1.42257 0.333217 0.929636 0.1573 -2.34726 -0.0182903 -0.16043 0.986878 -0.113422 0 0 0 1 
3394309160013;0.268523;0.0428631;0.997989 0.0552945 -0.0310058 0.594734 -0.0552553 0.99847 0.00212065 0.0357509 0.0310756 -0.000403149 0.999517 -0.358699 0 0 0 1 
3394309160014;0.217364;0.034666;0.999877 0.0128942 0.0088837 -0.034952 -0.0144805 0.977318 0.211283 -0.376045 -0.00595788 -0.211386 0.977385 0.350132 0 0 0 1 
3394309160015;0.198549;0.0397751;0.972705 0.104335 0.207268 -0.290958 -0.100363 0.99451 -0.0296183 0.685486 -0.20922 0.00800792 0.977836 1.52537 0 0 0 1 
3394309160016;0.362241;0.0399756;0.887716 -0.226954 0.400565 0.490863 0.222001 0.973234 0.0594294 -1.71655 -0.403331 0.0361696 0.914339 3.24238 0 0 0 1 
3394309160017;0.403444;0.0332036;0.923796 -0.277567 0.263739 -0.494098 0.269112 0.960675 0.0684267 -1.31207 -0.272361 0.00776319 0.962164 1.85941 0 0 0 1 
3394309160018;0.415951;0.0406062;0.959888 0.264695 0.0924709 -0.67733 -0.269428 0.962065 0.0428952 1.90616 -0.0776088 -0.0660888 0.994791 0.451856 0 0 0 1 
3394309160019;0.389264;0.0452127;0.968443 0.248993 -0.0110197 -0.00181733 -0.24892 0.968494 0.007591 1.26205 0.0125626 -0.00460844 0.99991 -0.776073 0 0 0 1 
3394309160020;0.355901;0.0361807;0.94338 -0.164099 -0.288281 0.835853 0.0705514 0.948439 -0.309007 -0.0401796 0.324124 0.271172 0.906316 -1.60473 0 0 0 1 
3394309160021;0.307009;0.0311569;0.990874 -0.123062 -0.054999 0.634404 0.132481 0.964364 0.229022 -1.16232 0.0248553 -0.234218 0.971866 -0.23755 0 0 0 1 
3394309160022;0.159878;0.041229;0.979315 -0.0397916 0.198388 -0.296229 0.0542981 0.996191 -0.0682247 -0.298409 -0.194918 0.0775856 0.977746 1.34273 0 0 0 1 
3394309160023;0.179015;0.0368197;0.995238 -0.0472975 0.0852305 -0.182706 0.0488269 0.99868 -0.0159482 -0.377098 -0.0843637 0.0200338 0.996234 0.205681 0 0 0 1 
3394309160024;0.448507;0.56805;0.899004 -0.435978 0.0414087 1.88269 0.434232 0.899676 0.0449986 -2.74379 -0.0568729 -0.022473 0.998128 1.19497 0 0 0 1 
3394309160025;0.259237;0.0369402;0.987602 0.156871 -0.00574151 -0.129562 -0.156428 0.986551 0.0474054 0.999719 0.0131008 -0.0459195 0.998859 -0.548867 0 0 0 1 
3394309160026;0.300277;0.0359013;0.995006 0.0772885 0.0631681 0.308742 -0.0738901 0.995777 -0.0544749 -0.104648 -0.0671117 0.0495353 0.996515 0.811564 0 0 0 1 
3394309160027;0.421694;0.033036;0.95567 -0.226767 -0.18781 0.411757 0.264946 0.940549 0.212533 -2.52262 0.128449 -0.252871 0.958935 -0.287575 0 0 0 1 
3394309160028;0.443835;0.0444812;0.92469 0.10412 0.366207 -0.1561 0.00727984 0.956866 -0.290437 0.77168 -0.380651 0.27123 0.884047 2.38402 0 0 0 1 
3394309160029;0.512116;0.0340271;0.998837 -0.0272729 0.0397674 0.243802 0.0394486 0.936437 -0.348612 0.448733 -0.027732 0.349775 0.936423 -0.60259 0 0 0 1 
3394309160031;0.426851;0.0510518;0.958541 -0.219767 -0.181388 0.252172 0.242142 0.963765 0.11191 -0.805124 0.150221 -0.151192 0.977023 -0.89412 0 0 0 1 
3394309160032;0.353703;0.0519015;0.909139 -0.396451 -0.127643 -0.00320179 0.40021 0.916414 0.00417846 -0.165731 0.115317 -0.0548826 0.991811 -0.149443 0 0 0 1 
3394309160033;0.139215;0.0538414;0.993266 -0.0409121 -0.108394 0.0849189 0.0361478 0.998307 -0.045561 -0.282525 0.110074 0.041336 0.993063 0.170904 0 0 0 1 
3394309160034;0.389775;0.0599099;0.934294 0.354786 -0.0349512 -0.298287 -0.352164 0.933726 0.0643202 0.240547 0.0554547 -0.0477854 0.997317 -0.499082 0 0 0 1 
3394309160035;0.19696;0.0501071;0.979801 0.157068 -0.123771 0.0635218 -0.17096 0.979008 -0.110978 0.350406 0.103742 0.129896 0.986085 -0.0272331 0 0 0 1 
3394309160036;0.370886;0.0518609;0.932506 -0.358151 -0.0464813 -0.248538 0.359287 0.906898 0.220112 -0.553902 -0.0366796 -0.221956 0.974367 0.405268 0 0 0 1 
3394309160037;0.384635;0.0480742;0.910203 -0.263106 0.319854 -0.241346 0.197292 0.95448 0.223707 -0.882626 -0.364152 -0.140514 0.920679 0.129933 0 0 0 1 
3394309160038;0.368064;0.0479462;0.953342 0.301518 -0.0150221 -0.647062 -0.301618 0.949183 -0.0898757 0.547687 -0.0128403 0.0902132 0.99584 0.0160906 0 0 0 1 
3394309160039;0.0746977;0.0511817;0.99949 -0.00932886 0.0305507 -0.128003 0.00898634 0.999895 0.0113298 -0.127855 -0.0306532 -0.0110494 0.999469 -0.0503429 0 0 0 1 
3394309160040;0.279481;0.0531016;0.924735 -0.342773 0.165443 0.139832 0.323755 0.936945 0.131592 -0.654089 -0.200118 -0.068125 0.977401 0.43466 0 0 0 1 
3394309160041;0.389623;0.0513171;0.887926 -0.459521 -0.0206633 0.617552 0.459606 0.884471 0.0804637 -0.736263 -0.0186987 -0.0809428 0.996543 0.0122972 0 0 0 1 
3394309160042;0.283783;0.0500652;0.983623 -0.180202 0.00376125 -0.441777 0.180191 0.983627 0.00303107 -0.196977 -0.00424587 -0.00230369 0.999988 -0.310885 0 0 0 1 
3394309160043;0.314339;0.0500232;0.998963 0.0455183 0.000445907 0.171839 -0.0447477 0.980161 0.193087 -0.150529 0.00835191 -0.192906 0.981182 0.716471 0 0 0 1 
3394309160044;0.531805;0.0554238;0.898267 0.415777 -0.142284 -0.531359 -0.399589 0.907533 0.129274 0.589232 0.182877 -0.0592677 0.981348 0.52243 0 0 0 1 
3394309160045;0.395186;0.380852;0.986235 0.077682 0.145969 -0.359176 -0.0538847 0.985575 -0.160435 -0.18053 -0.156326 0.150361 0.976194 0.265723 0 0 0 1 
3394309160046;0.217132;0.0562789;0.988147 -0.153507 0.00146377 0.215232 0.153469 0.988046 0.0146002 -0.697594 -0.0036875 -0.0142025 0.999892 0.20689 0 0 0 1 
3394309160047;0.371665;0.0506644;0.973355 -0.166369 0.157803 -0.0661929 0.18139 0.979641 -0.0860244 -0.00386489 -0.140278 0.112356 0.983717 -0.534995 0 0 0 1 
3394309160048;0.441321;0.054128;0.897997 0.341123 0.277916 -0.432447 -0.28304 0.931437 -0.228723 0.661181 -0.336884 0.126731 0.932978 0.903438 0 0 0 1 
3394309160049;0.529697;0.0484112;0.963219 -0.264854 -0.0453996 0.0389284 0.260651 0.879793 0.397523 -1.55056 -0.0653432 -0.394735 0.916468 0.284485 0 0 0 1 
3394309160050;0.242722;0.0488941;0.982414 -0.13524 0.128739 -0.0332404 0.135346 0.990766 0.00797174 -0.284277 -0.128628 0.00959269 0.991646 0.735008 0 0 0 1 
3394309160051;0.288745;0.0541451;0.976518 -0.0323701 0.212991 -0.215768 0.00859848 0.993716 0.111602 -0.184815 -0.215265 -0.10715 0.97066 0.931138 0 0 0 1 
3394309160052;0.346607;0.0623392;0.997183 0.0730224 0.0171164 0.0342651 -0.0732857 0.997194 0.0152958 -0.112124 -0.0159515 -0.0165071 0.999736 -0.7304 0 0 0 1 
3394309160053;0.177457;0.0494969;0.99264 -0.0193976 0.119536 -0.338021 0.0188458 0.999806 0.00574455 -0.306436 -0.119625 -0.00344952 0.992813 0.452405 0 0 0 1 
3394309160054;0.393365;0.0503729;0.996679 -0.0511211 -0.0633769 0.673396 0.061771 0.981823 0.179466 -0.785462 0.0530504 -0.182785 0.981721 0.473389 0 0 0 1 
3394309160055;0.395101;0.0573485;0.997411 -0.0701506 0.0158105 0.702473 0.0711351 0.994711 -0.0740883 0.0866895 -0.0105295 0.0750212 0.997126 -0.474353 0 0 0 1 
3394309160056;0.394726;0.0478558;0.987205 0.15881 0.0143592 -0.625111 -0.159096 0.974901 0.155747 0.338233 0.0107354 -0.156039 0.987693 -0.4312 0 0 0 1 
3394309160057;0.649395;0.0558716;0.93434 0.349119 0.0715913 -1.02077 -0.315106 0.903124 -0.291678 1.24823 -0.166486 0.249967 0.953834 0.567317 0 0 0 1 
3394309160058;0.444142;0.0562672;0.977123 0.212362 0.0115275 -0.377824 -0.211594 0.976186 -0.0478369 0.547397 -0.0214117 0.0443034 0.998789 0.922788 0 0 0 1 
3394309160059;0.406193;0.0535145;0.988451 -0.0173713 0.150541 0.493326 0.0719425 0.928115 -0.365276 -0.00797243 -0.133374 0.371888 0.918646 0.553278 0 0 0 1 
3394309160060;0.43448;0.0569384;0.911777 0.410197 -0.0200476 0.0492401 -0.408014 0.899203 -0.15798 0.711734 -0.0467761 0.152222 0.987239 -0.394118 0 0 0 1 
3394309160062;0.235158;0.0331239;0.95021 -0.268359 0.158384 0.469597 0.282602 0.956289 -0.0751483 -6.15064 -0.131294 0.116166 0.984514 2.96047 0 0 0 1 
3394309160063;0.42419;0.0683228;0.978145 0.207624 -0.0111712 0.636531 -0.207267 0.977914 0.0269215 4.33272 0.016514 -0.0240177 0.999575 0.656764 0 0 0 1 
3394309160064;0.439802;0.565468;0.900318 0.397053 0.178258 0.414222 -0.402358 0.915456 -0.0069257 8.84282 -0.165937 -0.065488 0.983959 3.50431 0 0 0 1 
3394309160065;0.350677;0.0615448;0.988105 0.0764021 0.13346 0.188089 -0.0796287 0.996643 0.0190007 1.23485 -0.131561 -0.0294019 0.990872 2.23554 0 0 0 1 
3394309160066;0.242534;0.0527553;0.999372 0.00769311 -0.0345962 -0.236229 -0.0147582 0.977831 -0.208877 0.17822 0.0322223 0.209256 0.97733 -0.132512 0 0 0 1 
3394309160067;0.392633;0.0616669;0.88153 0.182436 0.435457 1.76595 -0.118138 0.97822 -0.170671 2.99761 -0.457109 0.0990078 0.883883 10.2355 0 0 0 1 
3394309160068;0.328762;0.0631193;0.99011 0.139307 0.0166005 0.116674 -0.140292 0.982777 0.120277 3.59531 0.00044093 -0.121417 0.992602 -0.43395 0 0 0 1 
3394309160069;0.0998438;0.0557159;0.999867 0.0129466 -0.00988374 0.167773 -0.0128984 0.999905 0.00492777 0.354741 0.00994659 -0.00479963 0.999939 -0.246698 0 0 0 1 
3394309160070;0.429464;0.066528;0.919185 0.283647 0.273211 1.2949 -0.344641 0.915061 0.20949 7.47109 -0.190583 -0.28672 0.938866 4.26134 0 0 0 1 
3394309160071;0.0989399;0.0475879;0.998703 0.0497685 -0.0107265 0.0117883 -0.0496552 0.99871 0.0105813 1.11063 0.0112392 -0.010035 0.999886 -0.402104 0 0 0 1 
3394309160072;0.334886;0.0351315;0.9362 -0.350694 -0.0233262 1.10407 0.347422 0.913338 0.212393 -7.97789 -0.0531803 -0.206947 0.976906 0.792278 0 0 0 1 
3394309160073;0.372916;0.0408117;0.988695 -0.149934 0.00136854 0.824289 0.149923 0.988677 0.00633509 -3.28855 -0.00230289 -0.0060583 0.999979 0.448075 0 0 0 1 
3394309160074;0.236373;0.0342845;0.982556 -0.181635 -0.0398979 0.302577 0.184128 0.980279 0.0717689 -4.09157 0.0260753 -0.0778633 0.996623 -1.02915 0 0 0 1 
3394309160075;0.259352;0.0545593;0.979888 0.0700075 -0.186864 0.641647 -0.116692 0.960663 -0.252011 2.87844 0.161871 0.268748 0.949512 -3.22781 0 0 0 1 
3394309160076;0.21267;0.0711464;0.975792 0.16668 0.141592 0.299513 -0.154009 0.983371 -0.0962439 3.70955 -0.155279 0.0721076 0.985235 3.64018 0 0 0 1 
3394309160077;0.259302;0.0593885;0.990305 0.132338 -0.0422279 0.139147 -0.137276 0.978844 -0.151721 3.15984 0.021256 0.156047 0.987521 0.324827 0 0 0 1 
3394309160078;0.466153;0.0350958;0.88232 -0.424948 0.202312 1.71 0.445089 0.893112 -0.065171 -9.35977 -0.152993 0.147548 0.97715 4.26902 0 0 0 1 
3394309160079;0.423773;0.0412255;0.96523 -0.168754 0.199634 -0.310226 0.191847 0.976058 -0.102498 -3.96258 -0.177557 0.137234 0.974495 3.40122 0 0 0 1 
3394309160080;0.255153;0.0532894;0.992538 0.00406368 0.121865 0.0297245 0.0134347 0.989715 -0.142423 -0.0377936 -0.12119 0.142997 0.982275 2.36999 0 0 0 1 
3394309160081;0.296072;0.0389693;0.997004 -0.0707064 0.0313671 0.28354 0.0706811 0.997497 0.00191482 -0.85722 -0.031424 0.000307987 0.999506 0.623373 0 0 0 1 
3394309160082;0.355531;0.0316717;0.904839 -0.417688 -0.0824785 1.85767 0.412909 0.908143 -0.0691611 -8.8979 0.10379 0.0285236 0.99419 -2.21891 0 0 0 1 
3394309160083;0.180325;0.0384476;0.996977 -0.0764561 -0.0138382 -0.0713097 0.0776842 0.977463 0.196295 -2.01993 -0.00148165 -0.196777 0.980447 -0.00810896 0 0 0 1 
3394309160084;0.188147;0.0338452;0.997768 -0.0320023 -0.0585999 -0.131511 0.0312739 0.999422 -0.0133056 -0.424614 0.0589919 0.0114432 0.998193 -1.57968 0 0 0 1 
3394309160085;0.149775;0.057276;0.997443 0.00485721 0.0713017 -0.18721 -0.0170024 0.98517 0.170736 0.122954 -0.069415 -0.171512 0.982734 1.38787 0 0 0 1 
3394309160086;0.360181;0.0462781;0.976579 0.0254619 -0.213647 1.23844 -0.0419279 0.996458 -0.0728965 1.15822 0.211034 0.080147 0.974187 -3.6789 0 0 0 1 
3394309160087;0.069233;0.0346798;0.99623 -0.0842062 -0.0208566 0.0195565 0.0846099 0.996227 0.0192929 -1.81855 0.0191533 -0.0209848 0.999596 -0.375496 0 0 0 1 
3394309160088;0.334175;0.0370913;0.956723 -0.249228 0.150224 -0.254017 0.225265 0.961093 0.159859 -5.05997 -0.184221 -0.119101 0.975642 3.66187 0 0 0 1 
3394309160089;0.384231;0.0390419;0.966504 -0.222937 0.127159 0.0726118 0.210356 0.971951 0.105176 -4.98045 -0.14704 -0.0749041 0.98629 2.39028 0 0 0 1 
3394309160090;0.357505;0.0290357;0.946783 -0.300299 0.115857 0.738349 0.316001 0.935649 -0.157176 -6.28873 -0.061202 0.185423 0.980751 1.93753 0 0 0 1 
3394309160091;0.460987;0.073311;0.973383 0.222925 0.0531977 0.228649 -0.22526 0.973357 0.0428357 3.99615 -0.0422312 -0.0536788 0.997665 0.502933 0 0 0 1 
3394309160093;0.186714;0.0639663;0.980489 -0.0842276 -0.177617 0.468173 0.0889383 0.995861 0.0187145 -1.47124 0.175305 -0.0341463 0.983922 -3.44107 0 0 0 1 
3394309160094;0.310812;0.0863818;0.984985 -0.13819 0.103481 0.267943 0.138362 0.990366 0.00555598 -1.80456 -0.103252 0.00884523 0.994616 1.98462 0 0 0 1 
3394309160095;0.222858;0.0726278;0.998299 -0.0421717 -0.0402551 0.16809 0.0414463 0.998966 -0.018686 -0.758306 0.0410015 0.0169858 0.999015 -0.177979 0 0 0 1 
3394309160096;0.38163;0.0627951;0.995137 -0.0816633 -0.0550821 0.233994 0.0872593 0.990281 0.108298 -1.80404 0.0457028 -0.112577 0.992591 -0.00628534 0 0 0 1 
3394309160097;0.257713;0.0715384;0.999815 1.57134e-05 -0.0192524 -0.158821 0.00018674 0.999945 0.0105139 0.0879645 0.0192515 -0.0105155 0.999759 0.371065 0 0 0 1 
3394309160098;0.436886;0.898795;0.887816 0.446863 0.109983 -0.277769 -0.412704 0.878857 -0.239344 8.03858 -0.203613 0.167103 0.964686 3.81539 0 0 0 1 
