#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 25 -i 40 
id;initial_error;final_error;transformation
1807261650000;0.252801;0.113865;0.99416 0.0612134 0.0888701 -0.305557 -0.0579874 0.997577 -0.0384413 0.384558 -0.0910079 0.0330635 0.995301 0.20681 0 0 0 1 
1807261650001;0.370505;0.119496;0.968359 0.14186 0.205322 -0.113043 -0.181514 0.964987 0.189347 0.630868 -0.171272 -0.220625 0.960203 0.854451 0 0 0 1 
1807261650002;0.611698;0.127028;0.999994 0.00340164 -0.00103321 0.248594 -0.00342497 0.999718 -0.0234923 -0.676816 0.000953011 0.0234957 0.999723 0.57363 0 0 0 1 
1807261650003;0.65444;0.13525;0.94702 0.316513 -0.0545195 0.416798 -0.31163 0.946617 0.0824838 1.24899 0.0777162 -0.0611239 0.9951 -1.00707 0 0 0 1 
1807261650004;0.70178;0.146197;0.902651 0.393788 0.173644 0.106198 -0.368269 0.915523 -0.161849 1.60125 -0.222709 0.0821456 0.971418 1.37249 0 0 0 1 
1807261650005;0.564667;0.110337;0.986505 -0.16371 0.00259451 0.104315 0.163729 0.986442 -0.0111734 -0.327763 -0.000730137 0.0114474 0.999934 0.731277 0 0 0 1 
1807261650006;0.456118;0.0696243;0.994811 -0.0746275 -0.0691458 -0.448407 0.0635946 0.98665 -0.149924 -0.00811664 0.0794112 0.144749 0.986277 -0.726949 0 0 0 1 
1807261650007;0.0911852;0.0950549;0.997509 0.0163718 0.0686059 -0.199341 -0.0175892 0.999698 0.0171773 0.0191635 -0.0683039 -0.0183412 0.997496 0.274012 0 0 0 1 
1807261650008;0.628711;0.153487;0.957063 -0.04679 0.286079 0.744654 0.0091862 0.991287 0.131399 -0.23402 -0.289735 -0.123129 0.949154 0.750339 0 0 0 1 
1807261650009;0.268333;0.0874363;0.970322 -0.241453 -0.0132278 -0.0703727 0.241449 0.970412 -0.00193595 -0.893679 0.0133038 -0.00131535 0.999911 -0.14217 0 0 0 1 
1807261650010;0.71038;0.133455;0.932509 0.361058 0.00792656 0.172007 -0.361115 0.932491 0.00747745 1.28887 -0.00469165 -0.00983519 0.999941 -0.878042 0 0 0 1 
1807261650011;0.818748;0.14757;0.896477 0.442893 -0.0132522 0.128397 -0.442847 0.896575 0.0063324 1.75593 0.0146862 0.000191863 0.999892 -0.932306 0 0 0 1 
1807261650012;0.646177;0.0678249;0.999987 0.00299757 0.00411392 0.129765 -0.00280248 0.998908 -0.0466358 -0.605524 -0.00424922 0.0466236 0.998903 -0.709328 0 0 0 1 
1807261650013;0.5425;0.0773125;0.98816 0.0386399 -0.148483 -0.14025 -0.0444015 0.998376 -0.0356853 -0.11766 0.146863 0.0418557 0.988271 -1.22032 0 0 0 1 
1807261650014;0.402811;0.139699;0.943464 0.205364 -0.260195 0.282509 -0.172062 0.974338 0.145121 0.53838 0.283321 -0.0921467 0.954588 -1.40343 0 0 0 1 
1807261650015;0.62098;0.0889573;0.889606 -0.416019 0.188492 0.274685 0.412916 0.908961 0.0573642 -1.23691 -0.195196 0.0267997 0.980398 1.26683 0 0 0 1 
1807261650016;0.314215;0.129644;0.988699 0.141097 -0.0506519 -0.10586 -0.138552 0.989058 0.0506741 0.685926 0.0572476 -0.0430835 0.99743 -0.0135663 0 0 0 1 
1807261650017;0.544853;0.16068;0.947997 0.111618 -0.298064 0.16744 -0.210131 0.922871 -0.322729 0.892513 0.239052 0.368579 0.898334 -1.10387 0 0 0 1 
1807261650018;0.870541;0.14564;0.878381 0.463845 0.115304 0.164467 -0.45709 0.885724 -0.0810052 2.09961 -0.139702 0.018449 0.990022 1.18267 0 0 0 1 
1807261650019;0.408282;0.133898;0.964513 0.263928 -0.00748043 -0.2946 -0.263914 0.964542 0.00287435 0.796909 0.00797381 -0.000798154 0.999968 0.296546 0 0 0 1 
1807261650020;0.378251;0.140647;0.964136 0.0184054 -0.264771 0.033876 -0.110849 0.934344 -0.338694 0.393321 0.241153 0.355897 0.902875 -0.908875 0 0 0 1 
1807261650021;0.0584465;0.112808;0.998562 0.047229 -0.0253777 -0.0696774 -0.0469997 0.998849 0.00955638 0.0324375 0.0257999 -0.00834989 0.999632 -0.0622763 0 0 0 1 
1807261650022;0.492617;0.0884706;0.97112 -0.1695 -0.167913 0.126384 0.155472 0.983402 -0.0935311 -0.542849 0.18098 0.0647242 0.981355 -1.19261 0 0 0 1 
1807261650023;0.436303;0.147683;0.93395 0.356259 0.0285844 0.0756068 -0.357016 0.933673 0.0281936 1.38029 -0.0166442 -0.0365365 0.999194 0.149391 0 0 0 1 
1807261650024;0.611538;0.12469;0.995558 -0.0193219 0.092145 0.179603 0.0264204 0.996723 -0.0764501 0.334958 -0.0903659 0.078545 0.992806 -0.375629 0 0 0 1 
1807261650025;0.222007;0.0765206;0.983743 -0.160719 -0.0801144 -0.185361 0.147946 0.9782 -0.145728 -0.661984 0.101789 0.131506 0.986076 -0.171505 0 0 0 1 
1807261650026;0.125003;0.0953977;0.997437 -0.0229483 -0.0677727 -0.257429 0.0154866 0.993961 -0.10864 -0.0817666 0.0698565 0.107312 0.991768 -0.129634 0 0 0 1 
1807261650027;0.446617;0.0857403;0.896789 -0.439961 0.0469459 0.13539 0.434346 0.895602 0.096131 -1.6495 -0.0843387 -0.0658184 0.994261 0.354161 0 0 0 1 
1807261650028;0.18577;0.147292;0.977118 0.201936 -0.0668023 0.0708388 -0.203564 0.978887 -0.018472 0.440356 0.0616618 0.0316479 0.997595 -0.208672 0 0 0 1 
1807261650029;0.503137;0.160118;0.985389 0.0979944 -0.139306 0.128323 -0.126831 0.968088 -0.216149 0.906462 0.113679 0.230659 0.966371 -0.276216 0 0 0 1 
1807261650031;0.869936;0.891369;0.995247 0.0969495 0.00912865 0.378323 -0.0970869 0.980652 0.169987 0.162191 0.00752813 -0.170065 0.985404 -0.821618 0 0 0 1 
1807261650032;0.361529;0.577022;0.940619 0.222169 -0.256667 0.710063 -0.27337 0.944009 -0.184706 0.770911 0.20126 0.243903 0.948686 0.478442 0 0 0 1 
1807261650033;0.495733;0.395089;0.990128 0.123077 0.0670652 0.21365 -0.121873 0.992307 -0.0217628 0.215347 -0.0692278 0.0133745 0.997511 0.062743 0 0 0 1 
1807261650034;1.09057;1.01504;0.996551 0.0745282 -0.0364975 0.740845 -0.0783461 0.989951 -0.117724 0.883234 0.027357 0.120177 0.992375 0.871365 0 0 0 1 
1807261650035;0.885672;0.967852;0.989903 0.0565685 -0.129971 0.354086 -0.0464273 0.995731 0.0797751 0.395596 0.133929 -0.0729354 0.988303 0.0546251 0 0 0 1 
1807261650036;0.893017;0.506108;0.987679 0.0290257 0.153778 0.0336983 -0.0326166 0.99925 0.0208797 0.400338 -0.153056 -0.0256382 0.987885 0.870005 0 0 0 1 
1807261650037;0.513994;0.769459;0.999719 0.0221881 0.0083314 0.254514 -0.0223016 0.999656 0.0137773 0.649117 -0.00802285 -0.0139592 0.99987 -0.339586 0 0 0 1 
1807261650038;0.984234;0.613369;0.921079 0.0358884 0.387719 -0.2266 0.00710592 0.994028 -0.108891 0.567764 -0.389312 0.103052 0.915323 -0.0895143 0 0 0 1 
