#;prob_registration_l1 -r ../../../build/tester /home/point_clouds_registration_benchmark/gazebo_summer_local.txt /home/point_clouds_registration_benchmark/gazebo_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 5 -i 40 
id;initial_error;final_error;transformation
36535719080000;0.0805842;0.156769;0.998767 -0.0143689 0.0475188 -0.379553 0.0094764 0.994777 0.101626 -0.0800984 -0.0487309 -0.101051 0.993687 0.00677964 0 0 0 1 
36535719080001;0.11249;0.154092;0.986542 -0.00109084 0.163503 -0.534494 0.011414 0.997998 -0.0622115 0.0879765 -0.163107 0.0632405 0.984579 0.18458 0 0 0 1 
36535719080002;0.259114;0.178827;0.989784 0.0105765 0.142183 -0.180178 -0.0374711 0.981485 0.187839 -0.40218 -0.137564 -0.191248 0.971854 0.0635455 0 0 0 1 
36535719080003;0.441289;0.72741;0.976853 -0.0642735 0.204028 -1.38554 0.0793292 0.994629 -0.0664845 -0.562402 -0.198659 0.081131 0.976705 -0.186446 0 0 0 1 
36535719080004;0.424931;0.723004;0.946396 -0.0453363 0.319811 -1.60878 0.0738469 0.994247 -0.0775865 -0.368318 -0.314453 0.0970446 0.944299 -0.157473 0 0 0 1 
36535719080005;0.508351;0.279392;0.984877 -0.096896 0.143629 -0.182459 0.144257 0.917743 -0.370051 0.746224 -0.0959582 0.385174 0.917841 -0.439592 0 0 0 1 
36535719080006;0.482532;0.471448;0.983092 0.0673716 -0.170266 -1.18992 -0.0923491 0.985358 -0.14332 0.533751 0.158117 0.156621 0.97492 -1.51647 0 0 0 1 
36535719080007;0.407429;0.386115;0.968913 -0.246692 0.018721 -0.962269 0.24333 0.93656 -0.252281 -0.560674 0.0447026 0.248994 0.967473 -1.24458 0 0 0 1 
36535719080008;0.494873;0.535702;0.988418 0.038125 0.146888 -1.58642 0.0122869 0.944645 -0.327864 0.581888 -0.151257 0.325872 0.933236 -0.715476 0 0 0 1 
36535719080009;0.260051;0.16028;0.9859 -0.091086 0.140373 -0.502887 0.0842752 0.994993 0.0537351 -0.772575 -0.144565 -0.0411475 0.988639 -0.327953 0 0 0 1 
36535719080010;0.367096;0.287596;0.978009 -0.138428 0.156002 -0.105477 0.144517 0.989097 -0.0283336 -0.190624 -0.150378 0.0502554 0.98735 0.690819 0 0 0 1 
36535719080011;0.379627;0.358148;0.971311 -0.164342 0.171893 -0.782898 0.154808 0.985631 0.0675659 0.247854 -0.180527 -0.039017 0.982796 -0.30074 0 0 0 1 
36535719080012;0.1676;0.14639;0.999208 0.0220913 0.0330924 -0.535574 -0.0225901 0.999636 0.0147749 0.28692 -0.032754 -0.0155107 0.999343 -0.57223 0 0 0 1 
36535719080013;0.445602;0.606122;0.959236 -0.124137 0.253883 -0.702997 0.122629 0.992213 0.021824 -0.524079 -0.254615 0.010199 0.966989 0.255384 0 0 0 1 
36535719080014;0.45281;0.5186;0.994674 0.100703 -0.0219798 -1.53869 -0.101374 0.994335 -0.0319548 0.425458 0.0186374 0.0340128 0.999248 -0.143737 0 0 0 1 
36535719080015;0.366192;0.499429;0.99851 0.0478138 0.0263053 -1.57796 -0.0484083 0.998575 0.022447 0.119102 -0.0251945 -0.0236869 0.999402 0.0458408 0 0 0 1 
36535719080016;0.0775968;0.142309;0.991604 -0.00836419 0.129037 -0.481539 0.0019395 0.998756 0.0498348 0.0490307 -0.129294 -0.0491662 0.990387 0.122915 0 0 0 1 
36535719080017;0.294515;0.172252;0.95406 0.0564593 0.294246 -0.630584 0.0263901 0.962432 -0.270236 0.220138 -0.29845 0.265587 0.916729 0.18653 0 0 0 1 
36535719080018;0.425335;0.528584;0.999798 0.0185962 -0.00762583 -1.1818 -0.019168 0.99633 -0.0834177 -0.143912 0.00604659 0.083547 0.996485 -0.681655 0 0 0 1 
36535719080019;0.389784;0.528628;0.995037 0.0320462 -0.0942016 -1.12594 -0.0395886 0.996063 -0.0793201 0.0618061 0.0912887 0.0826557 0.992388 -0.663578 0 0 0 1 
36535719080020;0.317608;0.182547;0.98759 0.152106 -0.0391055 -0.628988 -0.149209 0.986423 0.0686017 0.869169 0.0490093 -0.0619155 0.996877 -0.0387536 0 0 0 1 
36535719080021;0.423824;0.631503;0.945165 -0.142772 0.293734 -1.36073 0.241893 0.910312 -0.335888 -0.214837 -0.219434 0.388522 0.89493 -0.0570295 0 0 0 1 
36535719080022;0.154215;0.131273;0.999538 0.007956 0.0293308 -0.680298 -0.00850563 0.99979 0.0186622 -0.0143138 -0.0291762 -0.0189031 0.999396 -0.383546 0 0 0 1 
36535719080023;0.35143;0.174854;0.977957 -0.00104651 -0.208805 -0.456423 0.0235887 0.99414 0.105497 0.220161 0.207471 -0.108097 0.97225 0.272164 0 0 0 1 
36535719080024;0.34005;0.174384;0.963927 -0.233443 -0.127864 -0.053342 0.175558 0.918697 -0.353802 -0.185988 0.200061 0.318592 0.926539 -1.12622 0 0 0 1 
36535719080025;0.273677;0.192974;0.995497 0.0565897 -0.0760417 -0.608199 -0.0414317 0.981316 0.187887 0.405242 0.0852534 -0.18389 0.979243 -0.0238752 0 0 0 1 
36535719080026;0.254446;0.202199;0.997352 -0.0231731 0.0689418 -0.0293738 0.0223998 0.999677 0.011968 0.438394 -0.0691969 -0.010392 0.997549 -0.102655 0 0 0 1 
36535719080027;0.274443;0.23308;0.988737 0.122274 0.0863067 -1.04535 -0.122991 0.992403 0.0030252 0.174149 -0.0852812 -0.0136061 0.996264 -0.02356 0 0 0 1 
36535719080028;0.110223;0.152989;0.990488 -0.0286605 0.134579 -0.567153 0.0366382 0.997691 -0.0571811 -0.139675 -0.13263 0.0615679 0.989252 0.00658846 0 0 0 1 
36535719080029;0.464721;0.732371;0.967519 -0.0554317 0.246645 -1.50184 0.0637303 0.997634 -0.0257851 -0.618137 -0.244633 0.0406663 0.968763 -0.355474 0 0 0 1 
36535719080031;0.562593;1.69441;0.978479 0.127954 0.161882 -2.70205 -0.116863 0.990212 -0.076313 0.65769 -0.170062 0.0557528 0.983855 -0.208593 0 0 0 1 
36535719080032;0.49885;1.66296;0.995165 -0.0772153 -0.0606958 -2.56103 0.0806868 0.995109 0.0569902 1.03057 0.0559984 -0.061612 0.996528 -0.511411 0 0 0 1 
36535719080033;0.471869;1.66585;0.959758 0.25382 0.120164 -2.94006 -0.279362 0.906583 0.316329 1.15406 -0.0286477 -0.337169 0.941008 0.469436 0 0 0 1 
