#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark/gazebo_winter_local.txt /home/point_clouds_registration_benchmark/gazebo_winter -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 5 -i 40 
id;initial_error;final_error;transformation
38591597440000;0.538033;0.0330735;0.993853 -0.0933229 -0.0595633 -0.383214 0.0949322 0.995175 0.02478 -0.404907 0.0569634 -0.0302822 0.997917 0.5534 0 0 0 1 
38591597440001;0.518725;0.0464173;0.950388 0.255729 0.177102 0.0607492 -0.270516 0.960539 0.0646939 1.13803 -0.153569 -0.109393 0.982064 -0.0374604 0 0 0 1 
38591597440002;0.466312;0.0331411;0.985559 -0.125109 0.114114 0.0726292 0.129901 0.99089 -0.0355409 -0.260454 -0.108628 0.0498511 0.992832 -0.208542 0 0 0 1 
38591597440003;0.369171;0.0615363;0.978094 0.208126 -0.00392112 -0.162434 -0.20813 0.978101 -0.00066192 0.855167 0.00369748 0.00146352 0.999992 0.394005 0 0 0 1 
38591597440004;0.566929;0.0600268;0.873319 0.419527 -0.247612 1.11243 -0.404367 0.90774 0.111787 1.72365 0.271665 0.00250069 0.962389 -1.64343 0 0 0 1 
38591597440005;0.214626;0.0271079;0.995086 -0.0757302 -0.0637909 0.0245552 0.0752115 0.997112 -0.0104963 -0.258352 0.0644015 0.00564691 0.997908 -0.595641 0 0 0 1 
38591597440006;0.296525;0.0160141;0.96133 -0.212659 -0.17499 0.17232 0.234241 0.965536 0.113455 -0.996495 0.144832 -0.150058 0.978012 -0.348701 0 0 0 1 
38591597440007;0.55939;0.0578366;0.988824 0.148926 -0.00698824 0.120135 -0.148205 0.986972 0.0626277 0.259792 0.0162241 -0.0608921 0.998012 -0.862155 0 0 0 1 
38591597440008;0.573696;0.0240889;0.911915 0.0122048 0.410199 0.325443 -0.113027 0.968368 0.222458 0.468296 -0.394508 -0.249226 0.884449 2.45849 0 0 0 1 
38591597440009;0.226381;0.0210441;0.99977 -0.0154102 0.0149144 0.0849707 0.0148841 0.999285 0.0347626 0.129641 -0.0154394 -0.0345327 0.999284 -0.239014 0 0 0 1 
38591597440010;0.405479;0.0448521;0.937407 -0.104051 0.332329 0.0810263 0.217774 0.919845 -0.326281 -0.714497 -0.271741 0.378231 0.884928 1.68345 0 0 0 1 
38591597440011;0.432428;0.0193348;0.934486 -0.338926 -0.10893 0.389941 0.355997 0.888182 0.290514 -1.75153 -0.00171343 -0.31026 0.95065 -0.26856 0 0 0 1 
38591597440012;0.493861;0.0474115;0.995856 0.00496037 -0.0908093 0.356968 -0.0102528 0.998269 -0.0579068 -0.195207 0.0903649 0.0585979 0.994183 0.348253 0 0 0 1 
38591597440013;0.489902;0.0642677;0.894468 0.409933 0.178555 0.264886 -0.412665 0.910584 -0.0233164 1.55311 -0.172148 -0.0528277 0.983654 0.387967 0 0 0 1 
38591597440014;0.265078;0.03628;0.952971 -0.0498374 0.298935 -0.0595916 0.082726 0.991704 -0.0983878 -0.223396 -0.291552 0.11849 0.949188 1.44252 0 0 0 1 
38591597440015;0.50504;0.0277159;0.943484 -0.323437 0.0722897 0.388766 0.29748 0.922631 0.245472 -1.66339 -0.146092 -0.210094 0.966705 0.177735 0 0 0 1 
38591597440016;0.306367;0.0457795;0.960371 0.124445 -0.249401 0.304327 -0.077367 0.978652 0.190407 0.0658812 0.267772 -0.163566 0.949497 -1.33895 0 0 0 1 
38591597440017;0.306001;0.0422826;0.992418 -0.122599 0.00872865 -0.212564 0.122909 0.989729 -0.0730013 -0.849518 0.000310864 0.0735206 0.997294 0.113039 0 0 0 1 
38591597440018;0.310987;0.0376301;0.974878 0.221947 -0.0187897 0.469183 -0.222245 0.974866 -0.0155952 1.05799 0.0148561 0.0193793 0.999702 -0.280304 0 0 0 1 
38591597440019;0.565481;0.0305049;0.987565 -0.150153 0.0465757 -0.560046 0.135183 0.962309 0.235979 -0.26227 -0.0802531 -0.226749 0.970641 -0.144346 0 0 0 1 
38591597440020;0.471158;0.0260662;0.949245 -0.313837 -0.0209832 -0.0217048 0.303845 0.93218 -0.196772 -1.28416 0.0813144 0.180409 0.980225 0.273896 0 0 0 1 
38591597440021;0.264772;0.0457708;0.958953 0.224051 0.173812 0.121532 -0.232523 0.972136 0.0297472 1.10904 -0.162304 -0.0689415 0.984329 0.55493 0 0 0 1 
38591597440022;0.382739;0.0547939;0.994415 -0.0223503 -0.103149 -0.294564 0.0284077 0.997934 0.0576342 -0.394674 0.101648 -0.0602425 0.992995 -0.067522 0 0 0 1 
38591597440023;0.504596;0.0324452;0.937471 0.345128 -0.0451033 0.279837 -0.347087 0.936657 -0.0469477 1.93357 0.0260433 0.0596669 0.997879 -0.606798 0 0 0 1 
38591597440024;0.223621;0.0243207;0.997734 -0.0461982 0.0489192 -0.00561542 0.0571547 0.965552 -0.253857 0.0922034 -0.0355062 0.256078 0.966004 0.323997 0 0 0 1 
