#;prob_registration_l1 -r ../../../build/tester /home/point_clouds_registration_benchmark/long_office_household_local.txt /home/point_clouds_registration_benchmark/long_office_household -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 5 -i 40 
id;initial_error;final_error;transformation
26456013410000;0.652746;0.599697;0.639449 0.621579 -0.452486 0.520725 -0.518005 0.783217 0.343864 -0.538763 0.568134 0.0145061 0.822808 0.153846 0 0 0 1 
26456013410001;1.0574;0.662585;0.85115 0.467587 -0.23855 0.0814865 -0.342061 0.838773 0.42362 0.142913 0.398169 -0.278966 0.873865 1.37238 0 0 0 1 
26456013410002;0.577722;0.625422;0.859865 0.456351 -0.228857 0.340091 -0.317984 0.829454 0.459231 0.017795 0.399397 -0.322104 0.85833 0.967966 0 0 0 1 
26456013410003;1.10585;0.548008;0.976406 -0.121178 -0.178738 0.52221 0.167289 0.947861 0.271244 -0.0195645 0.13655 -0.294745 0.945769 -0.638201 0 0 0 1 
26456013410004;0.510854;0.594883;0.908754 0.406937 0.0925656 0.244413 -0.396943 0.774346 0.492771 -0.479637 0.128849 -0.484551 0.865221 0.0383722 0 0 0 1 
26456013410005;0.315858;0.596476;0.944344 0.240065 -0.22491 0.479799 -0.167553 0.939378 0.299158 0.0160915 0.283092 -0.244824 0.927319 0.11771 0 0 0 1 
26456013410006;0.127418;0.667931;0.852615 0.459664 -0.248511 0.453103 -0.337899 0.847768 0.408796 -0.40794 0.398588 -0.264574 0.878139 0.617082 0 0 0 1 
26456013410007;0.936325;0.631276;0.94488 -0.00644117 -0.327353 0.0332074 0.0918669 0.96486 0.246182 0.366672 0.314264 -0.262686 0.912269 0.854891 0 0 0 1 
26456013410008;0.859142;0.646664;0.90425 0.32144 -0.281083 0.30561 -0.21127 0.908845 0.359674 0.0617153 0.371074 -0.265851 0.889734 1.17608 0 0 0 1 
26456013410009;0.404949;0.592114;0.813742 0.430398 -0.390618 0.0518426 -0.28102 0.879625 0.38378 -0.220494 0.508775 -0.202527 0.836738 0.745544 0 0 0 1 
26456013410010;0.333714;0.606675;0.882106 0.311497 -0.353353 0.379531 -0.241053 0.942982 0.229519 -0.282818 0.4047 -0.117283 0.906897 0.188692 0 0 0 1 
26456013410011;0.463956;0.541378;0.957303 0.237458 -0.164876 0.477931 -0.196235 0.952582 0.232551 -0.196429 0.212279 -0.190267 0.958507 -0.107813 0 0 0 1 
