#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark/wood_summer_local.txt /home/point_clouds_registration_benchmark/wood_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 5 -i 40 
id;initial_error;final_error;transformation
2318808360000;0.0774618;0.0273968;0.998213 0.0386069 0.045621 -0.448446 -0.0388613 0.999234 0.00470182 0.452491 -0.0454045 -0.00646631 0.998948 0.40143 0 0 0 1 
2318808360001;0.306883;0.0527051;0.997765 0.0660473 -0.0101382 -0.168927 -0.066123 0.997785 -0.00732895 0.560475 0.00963168 0.00798294 0.999922 -0.314338 0 0 0 1 
2318808360002;0.495258;0.0507243;0.917989 -0.383239 -0.102097 4.70264 0.382766 0.923508 -0.0249652 -1.78392 0.103855 -0.0161615 0.994461 -0.0653627 0 0 0 1 
2318808360003;0.524546;0.0458719;0.911554 -0.407967 -0.051306 4.40858 0.410894 0.899138 0.150724 -2.64445 -0.0153595 -0.158475 0.987244 1.31456 0 0 0 1 
2318808360004;0.20511;0.0352576;0.997549 -0.06599 0.0232869 0.617377 0.0657025 0.997756 0.0129018 -0.537415 -0.024086 -0.0113402 0.999646 -0.114093 0 0 0 1 
2318808360005;0.440296;0.0462579;0.984751 0.0656066 -0.161122 -0.111225 -0.0172463 0.958418 0.284848 0.16865 0.17311 -0.277725 0.944935 0.916181 0 0 0 1 
2318808360006;0.169359;0.0369267;0.995799 -0.0888138 0.0222994 1.03927 0.0890352 0.995987 -0.00914126 -0.457737 -0.021398 0.0110883 0.99971 0.169824 0 0 0 1 
2318808360007;0.299345;0.0379045;0.928107 -0.367603 0.0590473 4.2573 0.365898 0.929884 0.0378634 -2.26397 -0.0688259 -0.013536 0.997537 0.59322 0 0 0 1 
2318808360008;0.34518;0.034028;0.928969 0.270204 0.252994 -2.43021 -0.303543 0.947245 0.1029 2.94002 -0.211843 -0.172385 0.96198 3.82243 0 0 0 1 
2318808360009;0.553788;0.393774;0.998077 0.0473823 0.0399658 -0.447489 -0.047683 0.998841 0.00660467 -0.106052 -0.0396065 -0.00849766 0.999179 0.625765 0 0 0 1 
2318808360010;0.296129;0.0455364;0.992087 -0.125497 0.00374612 1.17504 0.125174 0.990971 0.0480314 -1.2434 -0.00974009 -0.0471824 0.998839 0.0906723 0 0 0 1 
2318808360011;0.267088;0.0365832;0.973341 -0.195743 0.119552 2.17959 0.181521 0.976017 0.120168 -1.26988 -0.140207 -0.0952637 0.985529 2.40487 0 0 0 1 
2318808360012;0.117207;0.0404535;0.997032 -0.00379436 -0.0768965 0.0325693 0.00804989 0.998448 0.0551069 -0.204766 0.0765681 -0.0555623 0.995515 -0.190635 0 0 0 1 
2318808360013;0.297157;0.0442503;0.996297 -0.0546962 0.0663381 -0.0147619 0.0566168 0.998019 -0.0274243 -0.634433 -0.0647067 0.0310786 0.99742 0.0355036 0 0 0 1 
2318808360014;0.320442;0.0359351;0.999954 0.00454585 0.00844003 -0.0498115 -0.00457954 0.999982 0.00397651 0.075672 -0.0084218 -0.00401498 0.999956 -0.554039 0 0 0 1 
2318808360015;0.329054;0.0356498;0.963753 0.23621 -0.124034 -2.09071 -0.248293 0.964208 -0.0930243 2.41398 0.0976211 0.120449 0.987908 -2.4828 0 0 0 1 
2318808360016;0.335073;0.042535;0.999451 0.0326313 0.00567559 -0.300506 -0.0326906 0.999408 0.0107003 -0.0531068 -0.00532307 -0.01088 0.999927 -0.44035 0 0 0 1 
2318808360017;0.483715;0.0326095;0.973187 0.224336 -0.0507938 -2.51846 -0.224188 0.974507 0.00865742 1.76501 0.0514411 0.00296207 0.998672 0.251228 0 0 0 1 
2318808360018;0.313611;0.0478585;0.908617 -0.407168 -0.0928969 4.92833 0.399247 0.912129 -0.0928602 -2.09636 0.122544 0.0472855 0.991336 -1.43135 0 0 0 1 
2318808360019;0.502137;0.0345644;0.947076 0.317041 -0.0503247 -2.494 -0.320801 0.9291 -0.184011 2.90788 -0.0115823 0.190417 0.981635 -2.30751 0 0 0 1 
2318808360020;0.421809;0.0400283;0.965194 0.0229556 0.260525 -0.596627 -0.00271492 0.996966 -0.0777872 0.266267 -0.261521 0.0743725 0.962328 0.62474 0 0 0 1 
2318808360021;0.393879;0.0392519;0.911402 -0.295935 -0.285954 4.23733 0.204262 0.928556 -0.309936 -0.850563 0.357245 0.224066 0.906736 -5.00783 0 0 0 1 
2318808360022;0.404256;0.0339571;0.995193 0.0337201 -0.0919424 -0.297675 -0.0391949 0.997523 -0.0584047 1.09909 0.0897453 0.0617276 0.99405 -1.68764 0 0 0 1 
2318808360023;0.175152;0.0383405;0.97838 -0.194726 0.0696768 1.99548 0.197481 0.97968 -0.0350552 -1.29077 -0.0614348 0.0480571 0.996953 -0.0231804 0 0 0 1 
2318808360024;0.438639;0.0319184;0.993286 0.0107754 -0.115183 -0.818001 -0.0223661 0.994755 -0.0998156 0.374731 0.113503 0.101722 0.988317 -2.03842 0 0 0 1 
2318808360025;0.493149;0.0546047;0.984645 -0.174552 -0.00257525 1.69661 0.17445 0.984403 -0.0227565 -0.69516 0.00650728 0.0219578 0.999738 0.442365 0 0 0 1 
2318808360026;0.26214;0.0419254;0.981529 0.0130309 -0.19087 -0.153142 0.000713558 0.997421 0.0717643 -0.0764958 0.191313 -0.0705749 0.978989 -0.4645 0 0 0 1 
2318808360027;0.301824;0.0347577;0.971295 0.237777 -0.00685395 -2.25971 -0.231127 0.936529 -0.263617 2.94729 -0.0562632 0.257634 0.964603 -2.17577 0 0 0 1 
2318808360028;0.111442;0.0389037;0.998966 -0.0344299 -0.0296791 0.350532 0.0381746 0.989895 0.136566 -0.390224 0.0246772 -0.137558 0.990186 1.19834 0 0 0 1 
2318808360029;0.556383;0.0426629;0.99506 -0.060058 -0.0790464 0.0905193 0.0851799 0.925472 0.369114 -0.406981 0.050987 -0.374024 0.926016 4.25341 0 0 0 1 
2318808360031;0.47988;0.0486056;0.904903 0.370855 -0.20885 -2.52375 -0.357364 0.928549 0.100442 3.70604 0.231176 -0.0162552 0.972776 -2.07315 0 0 0 1 
2318808360032;0.536016;0.05493;0.924721 0.0318782 -0.379308 0.976698 -0.14016 0.95499 -0.261438 2.58032 0.353901 0.294921 0.887567 -6.17562 0 0 0 1 
2318808360033;0.38485;0.0481417;0.99082 0.133777 0.0194738 -1.15075 -0.133653 0.990999 -0.00757437 1.03697 -0.0203118 0.00490212 0.999782 -0.60158 0 0 0 1 
2318808360034;0.495664;0.0476278;0.877132 0.476334 0.061197 -4.27761 -0.477427 0.878663 0.00375323 5.50639 -0.0519838 -0.0325092 0.998119 0.290977 0 0 0 1 
2318808360035;0.329409;0.0410685;0.993966 0.0934338 -0.0574564 -0.639198 -0.0938182 0.995581 -0.00402513 0.95672 0.0568264 0.0093913 0.99834 -1.13638 0 0 0 1 
2318808360036;0.430313;0.0558742;0.901605 0.230573 -0.365984 -0.905501 -0.219035 0.972954 0.0733719 1.80696 0.373004 0.0140111 0.927724 -3.25766 0 0 0 1 
2318808360037;0.120765;0.0462406;0.992563 0.00164828 -0.121723 0.22632 -0.0159221 0.993076 -0.116386 0.362811 0.120688 0.117459 0.985717 -2.26393 0 0 0 1 
2318808360038;0.516165;0.0537995;0.976573 -0.193952 0.0932043 1.9943 0.191817 0.980927 0.0314351 -2.07803 -0.0975235 -0.0128205 0.995151 1.56107 0 0 0 1 
2318808360039;0.413132;0.0451152;0.973998 -0.135474 0.181589 1.21402 0.129391 0.990572 0.0449909 -0.663191 -0.185972 -0.0203251 0.982345 2.18 0 0 0 1 
2318808360040;0.306491;0.0379496;0.98922 0.109226 -0.0975354 -0.668416 -0.0933341 0.983526 0.154806 0.73214 0.112837 -0.144033 0.983119 0.203154 0 0 0 1 
2318808360041;0.475776;0.0546359;0.87097 -0.490709 -0.0248321 6.605 0.489462 0.870948 -0.0433196 -2.67681 0.0428848 0.0255756 0.998753 -0.196832 0 0 0 1 
2318808360042;0.392346;0.059847;0.996828 0.0320012 0.0728648 -0.377197 -0.0320151 0.999487 -0.000977251 0.246769 -0.0728587 -0.00135862 0.997341 1.32637 0 0 0 1 
2318808360043;0.212163;0.0521644;0.989414 0.0578519 -0.133094 -0.295303 -0.0243537 0.970291 0.240712 0.145928 0.143066 -0.234922 0.961428 1.39779 0 0 0 1 
2318808360044;0.216595;0.0494264;0.988942 0.104044 -0.105677 -1.12663 -0.0974585 0.993069 0.0656949 0.558842 0.111779 -0.0546694 0.992228 -0.245797 0 0 0 1 
2318808360045;0.469606;0.0576257;0.923253 0.223184 -0.312718 -1.5716 -0.311925 0.910639 -0.270997 3.88861 0.224291 0.347744 0.910367 -5.12888 0 0 0 1 
2318808360046;0.276896;0.0339294;0.999705 0.00851467 0.0227438 0.143612 -0.00827741 0.999911 -0.0105057 -0.412546 -0.0228312 0.0103143 0.999686 -0.13003 0 0 0 1 
2318808360047;0.219223;0.0550305;0.958212 -0.144723 -0.246748 2.24353 0.140358 0.989472 -0.0352856 -0.910176 0.249256 -0.000821828 0.968437 -2.1246 0 0 0 1 
2318808360048;0.2746;0.0611551;0.956177 -0.0315754 0.291081 0.308588 0.0114654 0.997443 0.0705361 -0.113194 -0.292564 -0.0641077 0.954094 3.06612 0 0 0 1 
2318808360049;0.475244;0.0555416;0.910691 -0.307748 -0.275559 4.80003 0.328978 0.943752 0.0332393 -2.26405 0.24983 -0.120923 0.960709 -1.27432 0 0 0 1 
2318808360050;0.266943;0.0600244;0.950138 -0.310679 -0.0267767 3.92876 0.310967 0.950393 0.0072525 -2.17482 0.0231952 -0.0152176 0.999615 -0.261907 0 0 0 1 
2318808360051;0.316495;0.0489;0.979147 -0.0652101 0.192405 0.728567 0.0375478 0.988856 0.144064 -0.50597 -0.199655 -0.133835 0.970683 3.5976 0 0 0 1 
