#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/apartment_local.txt /home/point_clouds_registration_benchmark//eth/apartment -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 1 -i 40 
id;initial_error;final_error;transformation
13001298760000;0.820981;0.972978;0.904702 -0.411962 0.108636 -0.223795 0.403523 0.910359 0.0917333 -2.89129 -0.136688 -0.0391541 0.98984 0.219023 0 0 0 1 
13001298760001;0.68771;0.698166;0.951806 -0.305138 0.0309217 0.176749 0.29723 0.942577 0.152325 -1.75832 -0.0756262 -0.135793 0.987847 0.698483 0 0 0 1 
13001298760002;0.636186;0.314001;0.998768 0.0491849 0.00658191 0.0232772 -0.0493953 0.97269 0.226789 -0.377157 0.00475246 -0.226835 0.973922 -0.494347 0 0 0 1 
13001298760003;0.411513;0.538571;0.981421 -0.185052 0.050678 -0.138531 0.181901 0.981421 0.0610281 -1.01413 -0.0610298 -0.0506759 0.996849 -0.143649 0 0 0 1 
13001298760004;0.857932;0.913944;0.915362 -0.367221 -0.165112 0.314067 0.344769 0.926682 -0.149649 -1.7896 0.207961 0.0800577 0.974855 0.346335 0 0 0 1 
13001298760005;0.460674;0.650384;0.959031 -0.282507 0.0211802 -0.0411974 0.281553 0.95874 0.0393205 -1.28054 -0.0314147 -0.0317463 0.999002 0.37731 0 0 0 1 
13001298760006;0.655521;0.506092;0.961854 0.273528 -0.00445176 -0.190077 -0.272716 0.960024 0.0630946 0.627508 0.021532 -0.0594737 0.997998 0.0729884 0 0 0 1 
13001298760007;0.308888;0.31807;0.912488 0.262806 0.313525 0.208756 -0.307201 0.946283 0.10088 0.543876 -0.270171 -0.188367 0.944206 0.915527 0 0 0 1 
13001298760008;0.466988;0.244668;0.960339 0.257364 0.107302 -0.118745 -0.25768 0.966166 -0.0111499 0.231204 -0.106541 -0.0169419 0.994164 0.0902172 0 0 0 1 
13001298760009;0.423945;0.510568;0.980085 0.198445 -0.00729052 0.0687619 -0.198457 0.977533 -0.0710228 0.238767 -0.00696743 0.0710553 0.997448 -0.542419 0 0 0 1 
13001298760010;0.258498;0.305943;0.982301 0.182395 -0.0426166 0.235952 -0.184979 0.980412 -0.0676448 0.598432 0.0294437 0.0743308 0.996799 -0.00343208 0 0 0 1 
13001298760011;0.784351;0.909394;0.99823 0.0588735 -0.00841736 -0.101413 -0.0527275 0.94158 0.332637 -1.02452 0.0275091 -0.331605 0.943017 -0.752268 0 0 0 1 
13001298760012;0.622128;0.247655;0.979329 0.201721 0.0149294 0.225855 -0.201657 0.97944 -0.00569263 -0.112637 -0.0157707 0.00256435 0.999872 0.277016 0 0 0 1 
13001298760013;0.398004;0.339083;0.915243 0.379311 0.135839 0.376201 -0.35211 0.916902 -0.187906 0.907334 -0.195826 0.12415 0.972748 0.81809 0 0 0 1 
13001298760014;0.755219;0.805652;0.994851 0.00632373 -0.10115 0.25351 0.010272 0.98662 0.162711 -0.734733 0.100826 -0.162912 0.981475 -1.08771 0 0 0 1 
13001298760015;0.388158;0.761774;0.98659 0.0797451 -0.142411 0.117038 -0.0741315 0.996264 0.0443066 -0.294271 0.145412 -0.0331554 0.988815 -0.320047 0 0 0 1 
13001298760016;0.851768;0.677516;0.99978 0.0209059 0.00172735 0.23328 -0.0209142 0.999769 0.00496495 0.0302023 -0.00162316 -0.00499998 0.999986 0.455016 0 0 0 1 
13001298760017;0.399547;0.307877;0.953233 0.302224 0.00290436 0.444403 -0.30214 0.953125 -0.0162775 0.574949 -0.00768769 0.0146388 0.999863 0.273877 0 0 0 1 
13001298760018;0.820633;0.311251;0.946464 0.319951 -0.0428545 0.373858 -0.321488 0.946244 -0.0355932 0.701777 0.0291628 0.0474649 0.998447 0.795977 0 0 0 1 
13001298760019;0.329854;0.267978;0.993049 0.0891838 -0.0768124 0.157245 -0.0881426 0.995965 0.016848 -0.199999 0.078005 -0.00996048 0.996903 -0.209695 0 0 0 1 
13001298760020;0.847185;0.312654;0.976416 0.215306 0.0159757 -0.251936 -0.215592 0.976296 0.0191122 0.708793 -0.0114821 -0.0221057 0.99969 0.736992 0 0 0 1 
