#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/stairs_local.txt /home/point_clouds_registration_benchmark//eth/stairs -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 1 -i 40 
id;initial_error;final_error;transformation
5494384560000;0.832403;0.632991;0.998986 0.0448374 -0.00411224 0.0604257 -0.0447261 0.99871 0.0240345 0.129356 0.00518458 -0.0238262 0.999703 0.36316 0 0 0 1 
5494384560001;0.315086;0.160842;0.930384 0.211514 -0.299412 1.30794 -0.209263 0.977043 0.0399555 1.65969 0.30099 0.025482 0.953287 -2.02068 0 0 0 1 
5494384560002;0.630491;0.540159;0.999669 -0.0184646 -0.0178978 0.0869415 0.0183303 0.999803 -0.00764092 -0.136109 0.0180354 0.00731033 0.999811 0.076621 0 0 0 1 
5494384560003;0.317466;0.221394;0.992601 -0.000335985 -0.121424 0.356709 0.0106297 0.996397 0.0841372 -0.399641 0.120958 -0.0848054 0.989028 -1.02765 0 0 0 1 
5494384560004;0.657978;0.0266419;0.998599 0.0479149 0.0224344 -0.215305 -0.0497316 0.994789 0.0890022 0.648569 -0.018053 -0.0899933 0.995779 0.634448 0 0 0 1 
5494384560005;0.751618;0.417725;0.99506 -0.089827 -0.0422602 -0.0475913 0.093531 0.99099 0.0958655 -1.39366 0.0332681 -0.0993446 0.994497 -0.330819 0 0 0 1 
5494384560006;0.696898;0.484356;0.980745 0.105361 -0.164434 0.449861 -0.123167 0.987118 -0.102114 1.10018 0.151557 0.120401 0.981088 -0.608631 0 0 0 1 
5494384560007;0.399045;0.170823;0.980383 -0.194432 -0.0323304 0.450931 0.195396 0.980268 0.0299082 -1.75278 0.0258773 -0.0356387 0.99903 -0.174629 0 0 0 1 
5494384560008;0.231215;0.0572658;0.975344 -0.194741 -0.103828 0.363672 0.182988 0.976622 -0.1128 -1.11864 0.123368 0.0910194 0.988178 -0.784097 0 0 0 1 
5494384560009;0.454804;0.0349808;0.991337 -0.0349182 -0.126614 0.617375 0.0371597 0.999191 0.0153838 -0.550355 0.125974 -0.0199554 0.991833 -0.587035 0 0 0 1 
5494384560010;0.83506;0.0447696;0.999985 -0.00251341 0.00492984 -0.0366986 0.00244527 0.999902 0.0137783 0.106788 -0.00496399 -0.0137661 0.999893 0.928148 0 0 0 1 
5494384560011;0.300381;0.0335203;0.995893 0.0597129 0.0680596 -0.23861 -0.0354971 0.949018 -0.313216 1.0052 -0.0832928 0.309514 0.94724 0.712494 0 0 0 1 
5494384560012;0.513405;0.100769;0.947805 0.0523958 -0.314517 1.08173 -0.0942881 0.988348 -0.119489 0.981569 0.304592 0.142908 0.941701 -1.72021 0 0 0 1 
5494384560013;0.592232;0.423381;0.995487 -0.00146195 -0.0948828 0.358361 -0.0052948 0.997468 -0.0709206 0.38674 0.0947462 0.071103 0.992959 -0.634496 0 0 0 1 
5494384560014;0.784839;0.220076;0.970259 0.0765294 0.229652 0.133454 -0.119589 0.976392 0.17988 0.439463 -0.210464 -0.201994 0.956506 2.0473 0 0 0 1 
5494384560015;1.02961;0.242538;0.987251 0.154033 -0.0401165 -0.12778 -0.159048 0.944736 -0.286667 2.43416 -0.00625654 0.289393 0.95719 0.871868 0 0 0 1 
5494384560016;0.692498;0.0689589;0.991616 0.121571 -0.0437911 0.133192 -0.128382 0.888417 -0.44072 2.61773 -0.0146741 0.442647 0.896576 -0.00111646 0 0 0 1 
5494384560017;0.125802;0.034355;0.999981 0.00166695 -0.00589357 0.0358735 -0.00151856 0.999684 0.0250937 -0.107548 0.00593354 -0.0250843 0.999668 0.0577771 0 0 0 1 
5494384560018;0.697368;0.497953;0.998163 0.0296282 -0.052854 0.146997 -0.0408943 0.973077 -0.226825 1.05322 0.0447106 0.22857 0.9725 0.169 0 0 0 1 
5494384560019;0.372102;0.162777;0.985803 0.145385 0.0839996 -0.00938931 -0.154377 0.981539 0.112914 0.971831 -0.0660328 -0.124279 0.990048 0.259392 0 0 0 1 
5494384560020;0.725979;0.0750377;0.95134 0.296437 0.0841293 0.0759864 -0.308136 0.913135 0.266903 2.11811 0.00229849 -0.279838 0.960044 0.620863 0 0 0 1 
5494384560021;0.810082;0.0361079;0.996004 0.0849527 -0.0275382 -0.228067 -0.084362 0.996193 0.0219462 0.607899 0.0292977 -0.0195354 0.99938 0.564611 0 0 0 1 
5494384560022;1.01164;0.0679789;0.893734 -0.27836 -0.351788 1.46038 0.309348 0.950343 0.0339325 -3.41149 0.324874 -0.139152 0.935465 -1.99119 0 0 0 1 
5494384560023;0.527542;0.0512553;0.982683 0.0802702 -0.167006 0.791575 -0.0807864 0.996725 0.00371118 0.568641 0.166757 0.00984494 0.985949 -1.7254 0 0 0 1 
5494384560024;0.419936;0.225773;0.993391 0.0800402 -0.082263 0.416553 -0.0817406 0.9965 -0.0175091 0.687851 0.0805737 0.0241176 0.996457 -0.828143 0 0 0 1 
5494384560025;0.495752;0.120223;0.959039 0.24361 -0.144565 0.781583 -0.245354 0.969416 0.00591984 2.0198 0.141586 0.0297922 0.989478 -0.61687 0 0 0 1 
5494384560026;0.350666;0.0531133;0.976284 0.0932975 0.19536 -0.245956 -0.037061 0.96108 -0.273773 0.922125 -0.213299 0.260039 0.941745 2.04439 0 0 0 1 
5494384560027;0.90423;0.55644;0.992767 0.052788 -0.10783 0.668434 -0.0331538 0.983767 0.176361 0.00628503 0.11539 -0.171511 0.978401 -0.75353 0 0 0 1 
5494384560028;0.914969;0.772765;0.998862 -0.0476895 0.000291275 -0.126868 0.0476895 0.998862 -0.000196668 -0.242744 -0.000281564 0.000210335 1 -0.065352 0 0 0 1 
5494384560029;0.844853;0.59466;0.999808 -0.000481958 0.0195801 0.00541202 0.000642368 0.999966 -0.00818705 -0.000433372 -0.0195755 0.00819806 0.999775 -0.448663 0 0 0 1 
5494384560031;0.314572;0.0601683;0.933852 -0.306113 -0.184973 0.515515 0.315045 0.94886 0.0202582 -1.24449 0.169312 -0.0771931 0.982535 -0.707122 0 0 0 1 
5494384560032;0.143255;0.138098;0.997567 0.0692275 0.00825259 0.164066 -0.0691042 0.997506 -0.0143904 0.149133 -0.00922822 0.0137851 0.999862 0.0398406 0 0 0 1 
5494384560033;0.256973;0.207495;0.999807 0.0143063 0.0134728 0.0519763 -0.0138448 0.999334 -0.0337528 0.0720274 -0.0139467 0.0335598 0.999339 0.0745262 0 0 0 1 
5494384560034;0.872658;0.0744269;0.977679 -0.200744 0.062017 0.204567 0.189951 0.970661 0.147431 -1.62667 -0.0897933 -0.13236 0.987126 -0.259018 0 0 0 1 
