#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/gazebo_summer_local.txt /home/point_clouds_registration_benchmark//eth/gazebo_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -i 40 
id;initial_error;final_error;transformation
36535719080000;0.0805842;0.0445034;0.999842 -0.000918637 0.0177323 -0.070647 -0.000728925 0.995695 0.0926835 -0.0597135 -0.0177411 -0.0926818 0.995538 0.0961785 0 0 0 1 
36535719080001;0.11249;0.0467365;0.991197 0.0152959 0.131509 -0.272829 -0.00563591 0.997278 -0.0735158 0.0337759 -0.132276 0.0721275 0.988585 0.279035 0 0 0 1 
36535719080002;0.259114;0.0496278;0.992124 0.0424105 0.117862 0.128912 -0.0630623 0.982108 0.177444 -0.440976 -0.108228 -0.183479 0.977048 0.174425 0 0 0 1 
36535719080003;0.441289;0.531379;0.986065 -0.118034 0.117231 -0.47376 0.124038 0.991243 -0.045288 0.15767 -0.110859 0.059198 0.992072 -0.0387795 0 0 0 1 
36535719080004;0.424931;0.560612;0.955116 -0.179146 0.235923 -1.07521 0.188299 0.98197 -0.0166637 0.254888 -0.228684 0.0603397 0.971629 -0.0275778 0 0 0 1 
36535719080005;0.508351;0.0670133;0.987817 -0.116422 0.103263 0.45266 0.147023 0.915673 -0.374068 0.842358 -0.0510052 0.384693 0.921634 -0.306363 0 0 0 1 
36535719080006;0.482532;0.36249;0.991695 -0.0115502 -0.128091 -0.606182 -0.00869245 0.987662 -0.156357 0.202969 0.128317 0.156172 0.97936 -1.30518 0 0 0 1 
36535719080007;0.407429;0.0785238;0.949409 -0.313142 -0.023773 0.101117 0.29816 0.922574 -0.244861 -0.72394 0.0986089 0.225385 0.969267 -1.08586 0 0 0 1 
36535719080008;0.494873;0.458646;0.973189 -0.0575457 0.22269 -1.1007 0.122953 0.948407 -0.292243 0.211689 -0.194384 0.311789 0.930055 -0.502668 0 0 0 1 
36535719080009;0.260051;0.0369013;0.991275 -0.0794805 0.105154 -0.157732 0.075218 0.9962 0.0439052 -0.759279 -0.108244 -0.0356126 0.993486 -0.231011 0 0 0 1 
36535719080010;0.367096;0.0611619;0.981475 -0.158953 0.106965 0.542972 0.16343 0.985954 -0.0344223 -0.13088 -0.0999909 0.0512659 0.993667 0.830105 0 0 0 1 
36535719080011;0.379627;0.0542805;0.972157 -0.20477 0.11393 0.103112 0.197535 0.977674 0.0716457 0.423449 -0.126057 -0.0471457 0.990902 -0.133777 0 0 0 1 
36535719080012;0.1676;0.0431106;0.999084 0.0423482 0.00609827 -0.280889 -0.0423954 0.99907 0.00782432 0.258876 -0.00576126 -0.00807569 0.999951 -0.458174 0 0 0 1 
36535719080013;0.445602;0.435889;0.965746 -0.111377 0.234369 -0.161549 0.110754 0.993721 0.0158633 -0.297041 -0.234664 0.0106373 0.972018 0.472238 0 0 0 1 
36535719080014;0.45281;0.442606;0.998494 0.0435544 0.0333448 -1.00307 -0.0434099 0.999045 -0.0050435 0.0352773 -0.0335326 0.00358841 0.999431 0.100621 0 0 0 1 
36535719080015;0.366192;0.432306;0.996837 -0.00329426 0.0794034 -1.18057 -0.000379728 0.998932 0.0462104 -0.00155251 -0.0794708 -0.0460944 0.995771 0.315428 0 0 0 1 
36535719080016;0.0775968;0.0467803;0.994508 0.0108702 0.104097 -0.26084 -0.0153552 0.998984 0.042381 0.0491992 -0.10353 -0.0437467 0.993664 0.226989 0 0 0 1 
36535719080017;0.294515;0.0449637;0.962847 0.0762157 0.259067 -0.277597 0.000943588 0.958391 -0.285458 0.211577 -0.270044 0.275097 0.922712 0.260159 0 0 0 1 
36535719080018;0.425335;0.445527;0.999274 -0.0137976 0.0355082 -0.775801 0.0160196 0.99788 -0.0630731 -0.315855 -0.0345627 0.0635961 0.997377 -0.450924 0 0 0 1 
36535719080019;0.389784;0.458031;0.998814 -0.0227756 -0.0430332 -0.704805 0.0199345 0.997664 -0.0653344 -0.157691 0.0444207 0.064399 0.996935 -0.406081 0 0 0 1 
36535719080020;0.317608;0.0445263;0.977187 0.198971 -0.074271 -0.235312 -0.194559 0.97889 0.0626203 0.979276 0.0851628 -0.0467416 0.99527 0.0511943 0 0 0 1 
36535719080021;0.423824;0.0766917;0.920465 -0.296988 0.254053 0.429773 0.363436 0.889502 -0.276948 -0.410207 -0.14373 0.347253 0.926691 0.188069 0 0 0 1 
36535719080022;0.154215;0.0399895;0.999687 0.0247275 0.00382643 -0.447382 -0.0247628 0.999648 0.00947879 -0.0212849 -0.0035907 -0.00957058 0.999948 -0.290693 0 0 0 1 
36535719080023;0.35143;0.0441424;0.970369 0.0211282 -0.240704 -0.0923518 0.00306932 0.995012 0.0997125 0.261199 0.24161 -0.0974967 0.965463 0.355993 0 0 0 1 
36535719080024;0.34005;0.0433299;0.958601 -0.236211 -0.159021 0.367926 0.166495 0.917998 -0.359943 -0.231488 0.231004 0.318565 0.919322 -1.01986 0 0 0 1 
36535719080025;0.273677;0.0474252;0.990236 0.0885893 -0.10763 -0.210174 -0.0682058 0.981271 0.180155 0.528394 0.121574 -0.171055 0.977732 0.0698897 0 0 0 1 
36535719080026;0.254446;0.0634639;0.999452 -0.0120084 0.0308331 0.341282 0.0119244 0.999925 0.00290668 0.497563 -0.0308657 -0.00253743 0.99952 0.0434403 0 0 0 1 
36535719080027;0.274443;0.0464923;0.964658 0.247552 0.0902933 -0.633787 -0.247578 0.968805 -0.0110854 0.453883 -0.0902208 -0.011661 0.995854 0.113313 0 0 0 1 
36535719080028;0.110223;0.0419436;0.994299 -0.0181988 0.10506 -0.287508 0.0250977 0.997588 -0.0647227 -0.160943 -0.103628 0.0669905 0.992358 0.110363 0 0 0 1 
36535719080029;0.464721;0.532971;0.980688 -0.0576912 0.186876 -0.742178 0.0593728 0.99823 -0.00340965 0.0777874 -0.186348 0.0144391 0.982378 -0.230128 0 0 0 1 
36535719080031;0.562593;0.392724;0.992966 -0.10593 0.0528852 -0.553614 0.106672 0.994229 -0.0114039 0.465218 -0.051372 0.016965 0.998535 -0.149331 0 0 0 1 
36535719080032;0.49885;0.57675;0.997156 0.0590826 0.0467818 -0.737113 -0.0636977 0.99251 0.104238 0.498244 -0.0402728 -0.106922 0.993451 -0.231132 0 0 0 1 
36535719080033;0.471869;0.559997;0.987964 -0.0327952 0.151168 -0.672387 0.00122858 0.9789 0.204339 0.40348 -0.154679 -0.201693 0.967158 1.41124 0 0 0 1 
36535719080034;0.28376;0.407588;0.990069 0.053542 -0.129991 -0.364451 -0.0488318 0.998039 0.0391578 0.583234 0.131833 -0.0324212 0.990742 -0.43267 0 0 0 1 
36535719080035;0.587922;0.802131;0.992531 -0.0971248 0.0738196 -1.12667 0.0990844 0.994805 -0.0233557 0.0142613 -0.0711677 0.0304956 0.996998 -0.816424 0 0 0 1 
36535719080036;0.406933;0.173102;0.998868 -0.0475127 -0.00232881 -0.503178 0.047536 0.998806 0.0113048 0.166675 0.00178891 -0.0114027 0.999933 0.455417 0 0 0 1 
36535719080037;0.0919718;0.174734;0.997198 0.0256872 0.0702613 -0.267634 -0.0265227 0.999588 0.0109855 0.0496511 -0.0699501 -0.0128183 0.997468 0.102506 0 0 0 1 
36535719080038;0.581548;0.261025;0.97794 -0.208883 0.00136412 -1.0362 0.207433 0.971879 0.111455 -0.952309 -0.0246069 -0.108713 0.993769 0.505379 0 0 0 1 
36535719080039;0.434512;0.155243;0.995847 0.0710289 0.0569557 -0.658953 -0.0690803 0.99698 -0.0354834 0.660289 -0.059304 0.0314016 0.997746 -0.55744 0 0 0 1 
36535719080040;0.566995;0.641665;0.968571 -0.079282 0.235765 -0.542627 0.038354 0.98411 0.173366 0.169275 -0.245764 -0.158875 0.956221 0.496276 0 0 0 1 
36535719080041;0.142283;0.153619;0.993861 0.100708 0.0458099 -0.134031 -0.101437 0.994745 0.0138703 0.485198 -0.0441723 -0.0184319 0.998854 -0.0938492 0 0 0 1 
36535719080042;0.307724;0.19056;0.992789 -0.103482 -0.0605027 -0.228448 0.0872443 0.969908 -0.227303 -0.29303 0.0822038 0.220386 0.971943 -0.183701 0 0 0 1 
36535719080043;0.210302;0.462045;0.978284 -0.0553748 0.199735 -0.711715 0.0201195 0.984471 0.174393 0.171135 -0.20629 -0.166587 0.964206 0.592783 0 0 0 1 
36535719080044;0.594242;0.705268;0.995383 -0.0898951 0.0336396 -0.846914 0.0847704 0.987728 0.13118 -0.607116 -0.0450192 -0.127723 0.990788 0.471745 0 0 0 1 
36535719080045;0.55307;0.153374;0.981185 0.190822 0.0293897 -0.922748 -0.185057 0.972897 -0.138659 1.31781 -0.0550523 0.130611 0.989904 0.384542 0 0 0 1 
