#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam3_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam3 -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -i 40 
id;initial_error;final_error;transformation
39885980090000;0.518509;0.150121;0.994696 0.0267626 -0.0993181 0.030675 -0.01346 0.991123 0.132267 0.00471971 0.101976 -0.130228 0.986226 -0.413699 0 0 0 1 
39885980090001;1.1366;0.996308;0.998347 0.00254706 -0.0574231 -0.010059 -0.000503514 0.999367 0.0355739 -0.111224 0.0574774 -0.0354862 0.997716 0.255903 0 0 0 1 
39885980090002;0.639436;0.622984;0.999798 0.0072086 0.0187407 -0.00228987 -0.00329502 0.979584 -0.201011 0.0190621 -0.0198071 0.200908 0.97941 -0.114508 0 0 0 1 
39885980090003;0.346141;0.088735;0.955923 -0.0669757 -0.285876 0.175747 -0.0218697 0.954691 -0.296796 0.0985516 0.292801 0.289966 0.911146 -0.832228 0 0 0 1 
39885980090004;1.0895;0.805245;0.969556 -0.0260985 -0.243476 0.206195 -0.0278051 0.976139 -0.215358 0.340931 0.243287 0.215571 0.945696 -1.10094 0 0 0 1 
39885980090005;0.90722;0.766692;0.999891 -0.00342213 -0.0143652 0.0303002 0.00241472 0.997574 -0.069569 0.0267083 0.0145684 0.0695268 0.997474 -0.432986 0 0 0 1 
39885980090006;0.367469;0.0793499;0.979037 -0.0259476 -0.202022 0.0504087 -0.0206504 0.974096 -0.225188 0.0725567 0.202632 0.224639 0.953141 -0.979863 0 0 0 1 
39885980090007;0.500039;0.383317;0.999868 -0.0159864 -0.0029187 0.0110056 0.0141215 0.943611 -0.330754 0.0218293 0.0080417 0.330669 0.943712 -0.357258 0 0 0 1 
39885980090008;1.30544;0.971441;0.985897 -0.00353186 -0.167318 0.123206 -0.00788466 0.997687 -0.0675189 0.0811763 0.16717 0.0678859 0.983588 -1.05816 0 0 0 1 
39885980090009;1.07285;1.03714;0.999603 -0.00316762 -0.0279948 -0.0138534 0.00303722 0.999984 -0.00469919 -0.0210658 0.0280092 0.0046123 0.999597 -0.016609 0 0 0 1 
39885980090010;0.993349;0.836281;0.999786 0.0193326 -0.00737061 -0.0139591 -0.0197353 0.998053 -0.0591712 0.0541693 0.00621232 0.059304 0.998221 0.306703 0 0 0 1 
39885980090011;1.19076;0.805149;0.997786 0.000440543 0.0664998 -0.142084 0.0164177 0.967394 -0.252745 0.156543 -0.0644429 0.253278 0.965245 -0.588433 0 0 0 1 
39885980090012;1.08018;0.587711;0.997174 -0.0219985 -0.0718402 0.164188 0.0130478 0.99235 -0.122763 -0.195516 0.0739913 0.121478 0.989832 -0.946481 0 0 0 1 
39885980090013;0.734434;0.293178;0.999596 0.00160791 -0.0283767 -0.0226492 -0.00811442 0.97299 -0.230706 -0.00829762 0.0272393 0.230843 0.97261 0.146719 0 0 0 1 
39885980090014;1.32795;0.890966;0.926922 0.0514939 -0.371703 0.2783 0.0240062 0.980374 0.195681 -0.0162032 0.374484 -0.190304 0.907494 -1.14507 0 0 0 1 
39885980090015;0.724355;0.0810687;0.999748 -0.00245499 0.0223195 0.0461659 0.00236518 0.999989 0.00404944 0.0122094 -0.0223292 -0.00399563 0.999743 -0.492587 0 0 0 1 
39885980090016;0.348273;0.0151993;0.980736 0.0132887 -0.194885 0.0726826 0.0289999 0.976722 0.212539 -0.0258672 0.193173 -0.214096 0.957521 -0.380003 0 0 0 1 
39885980090017;0.847163;0.562917;0.997688 -0.0218645 -0.0643483 0.076902 0.00818775 0.978608 -0.205569 0.129371 0.0674665 0.204567 0.976525 -0.839908 0 0 0 1 
39885980090018;0.98085;0.629823;0.987604 0.0167016 -0.156074 -0.0604714 -0.0427896 0.98531 -0.165325 0.127042 0.15102 0.169954 0.973811 -0.0117198 0 0 0 1 
39885980090019;1.01873;0.398522;0.998279 0.0382643 0.0444458 -0.145728 -0.0406439 0.997717 0.0539294 -0.109387 -0.0422808 -0.055643 0.997555 0.799136 0 0 0 1 
39885980090020;0.349842;0.190044;0.978089 0.0959677 0.18475 -0.111158 -0.0657672 0.984404 -0.163166 0.245447 -0.197527 0.14744 0.969146 0.354802 0 0 0 1 
39885980090021;0.142777;0.0468242;0.977857 -0.0153515 -0.208712 0.0574997 -0.00393935 0.995779 -0.0916998 0.0260691 0.209239 0.0904914 0.973669 -0.543796 0 0 0 1 
39885980090022;0.343863;0.182858;0.990638 0.01933 0.13514 -0.00647755 -0.0149702 0.999336 -0.0332035 0.0284252 -0.135692 0.0308695 0.99027 0.476764 0 0 0 1 
39885980090023;0.973502;0.916808;0.94987 0.0194704 -0.312038 0.118152 0.0428108 0.980558 0.191504 -0.0765881 0.3097 -0.195262 0.930569 -0.557149 0 0 0 1 
39885980090024;1.13358;0.101172;0.998767 0.039598 0.0299266 -0.0931167 -0.0381217 0.998101 -0.0483853 -0.0177264 -0.0317858 0.0471848 0.99838 -0.841094 0 0 0 1 
39885980090025;0.64818;0.470052;0.999482 -0.0207011 -0.0246483 0.00565875 0.0190066 0.997565 -0.0671003 -0.100306 0.0259773 0.0665971 0.997442 0.0984692 0 0 0 1 
39885980090026;1.25567;0.28175;0.991742 -0.0542559 0.116206 0.119241 0.0365459 0.988095 0.14944 -0.0693864 -0.122931 -0.143959 0.981918 1.41228 0 0 0 1 
39885980090027;0.709211;0.276747;0.998658 0.0368974 0.0363515 -0.037875 -0.0366491 0.9993 -0.00747263 0.237962 -0.0366017 0.00613035 0.999311 0.50436 0 0 0 1 
39885980090028;1.02062;0.690857;0.999956 0.002367 0.00907713 0.0125049 -0.00238798 0.999995 0.00230146 0.0379522 -0.00907163 -0.00232303 0.999956 0.57346 0 0 0 1 
