#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/hauptgebaude_local.txt /home/point_clouds_registration_benchmark//eth/hauptgebaude -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 5 -i 40 
id;initial_error;final_error;transformation
3394309160000;0.248226;0.220291;0.999373 -0.00312838 0.0352806 -0.0177602 0.0018374 0.99933 0.0365651 -0.00436236 -0.0353714 -0.0364773 0.998708 -0.0697283 0 0 0 1 
3394309160001;0.28369;0.0101425;0.992863 0.116171 -0.0269822 -0.378413 -0.114474 0.991751 0.0576619 0.860008 0.0334583 -0.0541616 0.997971 -0.655881 0 0 0 1 
3394309160002;0.278932;0.207696;0.997369 -0.0119042 0.0715053 -0.000483394 0.0104653 0.999736 0.020464 -0.124996 -0.07173 -0.0196618 0.99723 0.293994 0 0 0 1 
3394309160003;0.0682056;0.0122536;0.995647 -0.0890039 0.0276603 0.0446929 0.0895083 0.995831 -0.0175647 -0.568571 -0.0259816 0.0199641 0.999463 0.176347 0 0 0 1 
3394309160004;0.286924;0.1958;0.999033 0.039049 -0.0202203 0.0604452 -0.038911 0.999217 0.00717151 0.766343 0.0204845 -0.00637778 0.99977 -0.330743 0 0 0 1 
3394309160005;0.492031;0.413157;0.998186 0.0593177 -0.0102871 -0.10265 -0.0591613 0.998137 0.0148968 0.65339 0.0111516 -0.0142612 0.999836 -0.41004 0 0 0 1 
3394309160006;0.393899;0.0465368;0.993138 0.0236849 0.114524 -0.300099 -0.0250042 0.999636 0.0100966 0.530869 -0.114243 -0.0128909 0.993369 1.54211 0 0 0 1 
3394309160007;0.411602;0.0123673;0.885504 -0.336037 0.320876 0.391351 0.34337 0.938536 0.0353002 -2.07396 -0.313016 0.0789209 0.946463 1.39458 0 0 0 1 
3394309160008;0.42721;0.325318;0.961784 -0.27286 -0.0227932 1.28433 0.273051 0.961983 0.00568612 -1.78494 0.0203751 -0.0116925 0.999724 0.757806 0 0 0 1 
3394309160009;0.395375;0.0234827;0.979427 -0.197683 -0.0405405 0.455643 0.193469 0.97698 -0.0898891 -1.46216 0.0573768 0.0801965 0.995126 0.506536 0 0 0 1 
3394309160010;0.216746;0.0178841;0.992812 -0.00487969 -0.119588 -0.128344 -0.0147298 0.986591 -0.162543 0.442453 0.118777 0.163136 0.979428 -0.539262 0 0 0 1 
3394309160011;0.228138;0.674887;0.966672 -0.228859 -0.114755 2.00621 0.237943 0.968549 0.0727778 -1.66691 0.0944897 -0.0976573 0.990724 -0.309032 0 0 0 1 
3394309160012;0.324315;0.86144;0.948971 -0.315022 -0.0146521 1.9437 0.313627 0.937862 0.148501 -2.20411 -0.0330393 -0.145518 0.988804 -0.0555663 0 0 0 1 
3394309160013;0.268523;0.269507;0.997656 0.0613532 -0.0303142 -0.0676755 -0.0615379 0.998091 -0.00519772 0.149806 0.0299375 0.00705101 0.999527 -0.455738 0 0 0 1 
3394309160014;0.217364;0.0132387;0.999737 0.0209189 0.00939701 0.0161672 -0.0223623 0.980088 0.197301 -0.278628 -0.00508257 -0.197459 0.980298 0.270801 0 0 0 1 
3394309160015;0.198549;0.0746485;0.992139 0.0988491 0.0767434 -0.285927 -0.0966899 0.99482 -0.031368 0.700994 -0.0794466 0.0237011 0.996557 0.618614 0 0 0 1 
3394309160016;0.362241;0.126221;0.937454 -0.229621 0.261638 0.454734 0.222891 0.97326 0.0555386 -1.68112 -0.267394 0.00625184 0.963567 2.38611 0 0 0 1 
3394309160017;0.403444;0.102494;0.924127 -0.271751 0.26859 -0.239806 0.265367 0.962245 0.0605303 -1.2707 -0.274899 0.0153373 0.961351 1.83028 0 0 0 1 
3394309160018;0.415951;0.0902449;0.96925 0.236453 0.0681483 -0.879436 -0.239877 0.969649 0.047315 1.75605 -0.0548922 -0.0622073 0.996553 0.269919 0 0 0 1 
3394309160019;0.389264;0.174394;0.969767 0.24218 -0.0300195 -0.356869 -0.24214 0.970228 0.00502009 1.24477 0.0303416 0.0024006 0.999537 -0.979761 0 0 0 1 
3394309160020;0.355901;0.142599;0.952863 -0.156647 -0.259835 0.777042 0.11051 0.976769 -0.183604 -0.559998 0.28256 0.146235 0.948037 -1.49243 0 0 0 1 
3394309160021;0.307009;0.030773;0.991837 -0.114587 -0.0559393 0.643994 0.123628 0.971602 0.201757 -1.0074 0.031232 -0.207026 0.977837 -0.330551 0 0 0 1 
3394309160022;0.159878;0.0259878;0.986077 -0.0392474 0.16159 -0.296867 0.0521358 0.99572 -0.0763067 -0.242166 -0.157904 0.083669 0.983903 1.01373 0 0 0 1 
3394309160023;0.179015;0.00487947;0.99559 -0.0417129 0.0840289 -0.153878 0.0437637 0.998784 -0.022712 -0.314924 -0.0829793 0.0262892 0.996204 0.10951 0 0 0 1 
3394309160024;0.448507;0.337098;0.983632 -0.16529 0.0717479 0.633222 0.164105 0.986194 0.0221494 -0.492383 -0.0744184 -0.0100127 0.997177 1.30937 0 0 0 1 
3394309160025;0.259237;0.0156373;0.986686 0.162482 -0.00714564 -0.103514 -0.162054 0.985911 0.0414592 1.0616 0.0137813 -0.0397493 0.999115 -0.640985 0 0 0 1 
3394309160026;0.300277;0.216928;0.994791 0.0812078 0.0616154 -0.210931 -0.0775534 0.995208 -0.0595508 -0.0363537 -0.0661561 0.0544621 0.996322 0.715778 0 0 0 1 
3394309160027;0.421694;0.329644;0.964564 -0.230484 -0.128429 1.14236 0.252448 0.947717 0.195196 -2.42869 0.0767245 -0.220701 0.972319 0.182111 0 0 0 1 
3394309160028;0.443835;0.116655;0.954585 0.0762459 0.288019 -0.186861 0.00431691 0.96306 -0.269254 0.670086 -0.297909 0.258269 0.918993 1.47233 0 0 0 1 
3394309160029;0.512116;0.279033;0.998378 -0.0205087 0.0531085 0.239487 0.0246872 0.996548 -0.0792577 -0.382303 -0.0512997 0.0804403 0.995438 -0.696928 0 0 0 1 
3394309160031;0.426851;0.243626;0.976198 -0.202636 -0.0773112 0.552638 0.21029 0.971568 0.108785 -0.678817 0.0530692 -0.122454 0.991054 -0.619565 0 0 0 1 
3394309160032;0.353703;0.351087;0.99091 -0.110098 -0.0773081 0.442909 0.112097 0.993454 0.0220028 0.769127 0.0743795 -0.0304688 0.996764 -0.0140608 0 0 0 1 
3394309160033;0.139215;0.0544915;0.998771 -0.0203863 -0.0451707 -0.0467259 0.0181455 0.998611 -0.0494726 -0.175662 0.0461165 0.0485922 0.997754 0.245025 0 0 0 1 
3394309160034;0.389775;0.140117;0.966533 0.250627 -0.0547813 -0.120685 -0.247081 0.966872 0.064108 0.00584847 0.0690337 -0.0484271 0.996438 -0.55427 0 0 0 1 
3394309160035;0.19696;0.0133639;0.976655 0.173485 -0.126679 0.0637383 -0.188038 0.975558 -0.1137 0.458489 0.103858 0.134866 0.985406 -0.100307 0 0 0 1 
3394309160036;0.370886;0.184679;0.957411 -0.288094 0.019111 0.0558667 0.277678 0.936889 0.212449 -0.212219 -0.07911 -0.198094 0.976985 0.504492 0 0 0 1 
3394309160037;0.384635;0.0421698;0.914367 -0.246727 0.321028 -0.214068 0.19905 0.964377 0.174231 -0.674209 -0.352579 -0.0954101 0.930905 0.031828 0 0 0 1 
3394309160038;0.368064;0.120649;0.97757 0.209608 -0.0205182 -0.532599 -0.210604 0.973604 -0.0879832 0.292868 0.00153461 0.090331 0.995911 -0.0580212 0 0 0 1 
3394309160039;0.0746977;0.0114237;0.99958 0.00853843 0.0277086 -0.129953 -0.00869568 0.999947 0.00555965 -0.00956777 -0.0276596 -0.00579825 0.999601 -0.134235 0 0 0 1 
3394309160040;0.279481;0.070774;0.932552 -0.299455 0.201676 0.178675 0.281722 0.95291 0.11223 -0.42613 -0.225787 -0.0478437 0.973001 0.443037 0 0 0 1 
3394309160041;0.389623;0.22247;0.962844 -0.26747 0.0372873 0.445284 0.264724 0.962095 0.0655273 -0.129851 -0.0534006 -0.0532218 0.997154 0.0399069 0 0 0 1 
3394309160042;0.283783;0.36754;0.987227 -0.158095 0.0197432 0.413313 0.158159 0.987412 -0.00171573 -0.10313 -0.0192234 0.00481638 0.999804 -0.273856 0 0 0 1 
3394309160043;0.314339;0.00493087;0.998121 0.0610305 0.00551016 0.226248 -0.0609771 0.980272 0.188013 -0.0550998 0.00607308 -0.187996 0.982151 0.66293 0 0 0 1 
3394309160044;0.531805;0.159045;0.935375 0.312799 -0.165014 -0.296041 -0.296839 0.948041 0.114477 0.339999 0.192248 -0.0580964 0.979625 0.466011 0 0 0 1 
3394309160045;0.395186;0.383262;0.99044 0.0870942 0.10697 -0.231764 -0.0780956 0.993263 -0.0856167 -0.11156 -0.113706 0.0764444 0.990569 0.0417506 0 0 0 1 
3394309160046;0.217132;0.108083;0.990681 -0.135929 0.008579 0.41738 0.135861 0.990695 0.00807006 -0.594282 -0.00959612 -0.00682931 0.999931 0.157319 0 0 0 1 
3394309160047;0.371665;0.000650611;0.976112 -0.150637 0.156566 -0.0710504 0.166535 0.981557 -0.0938762 0.112266 -0.139538 0.117707 0.983196 -0.614279 0 0 0 1 
3394309160048;0.441321;0.211081;0.965271 0.253818 0.0618786 -0.215163 -0.236439 0.949483 -0.206344 0.498321 -0.111127 0.184547 0.976521 0.270722 0 0 0 1 
3394309160049;0.529697;0.349301;0.967785 -0.244411 -0.0604658 0.0907099 0.248489 0.965885 0.0729352 -0.67492 0.0405769 -0.0856106 0.995502 -0.134126 0 0 0 1 
3394309160050;0.242722;0.0020132;0.984384 -0.120478 0.128346 -0.00705983 0.121572 0.992582 -0.000694691 -0.187241 -0.12731 0.0162871 0.991729 0.65855 0 0 0 1 
3394309160051;0.288745;0.102705;0.994834 -0.0123466 0.10076 -0.115302 0.00171673 0.99448 0.104909 -0.0922985 -0.101499 -0.104194 0.989364 0.560743 0 0 0 1 
