#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/long_office_household_local.txt /home/point_clouds_registration_benchmark//tum/long_office_household -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 1 -i 40 
id;initial_error;final_error;transformation
26456013410000;0.652746;0.314465;0.840466 0.473015 -0.264338 0.367669 -0.491447 0.870898 -0.00415049 -0.154222 0.228248 0.133396 0.964421 -0.319085 0 0 0 1 
26456013410001;1.0574;0.348872;0.971556 0.230021 -0.0563021 0.105337 -0.224505 0.970302 0.0900609 0.0956058 0.0753459 -0.0748591 0.994344 1.06354 0 0 0 1 
26456013410002;0.577722;0.442275;0.956481 0.270353 -0.109792 0.318161 -0.239999 0.942893 0.230982 0.168392 0.165969 -0.19458 0.966744 0.686824 0 0 0 1 
26456013410003;1.10585;0.509282;0.968531 -0.228929 -0.0976656 0.435842 0.24007 0.962819 0.12388 0.237374 0.0656745 -0.143429 0.987479 -0.783515 0 0 0 1 
26456013410004;0.510854;0.474326;0.946972 0.265314 0.181254 0.203428 -0.310333 0.901424 0.301874 -0.308929 -0.0832954 -0.342115 0.935959 -0.236349 0 0 0 1 
26456013410005;0.315858;0.442146;0.989125 0.112637 -0.0945795 0.358638 -0.107816 0.992668 0.0546387 0.211925 0.10004 -0.0438473 0.994017 -0.0927892 0 0 0 1 
26456013410006;0.127418;0.504429;0.943524 0.298982 -0.142734 0.411046 -0.262086 0.937117 0.230482 -0.151012 0.202668 -0.180057 0.962551 0.304378 0 0 0 1 
26456013410007;0.936325;0.564551;0.967325 -0.160972 -0.195881 0.0823402 0.174228 0.983314 0.0523214 0.446647 0.184191 -0.0847397 0.979231 0.755424 0 0 0 1 
26456013410008;0.859142;0.459453;0.983842 0.138132 -0.113903 0.40937 -0.128808 0.987973 0.0855395 0.0399708 0.124349 -0.0694856 0.989803 0.917057 0 0 0 1 
26456013410009;0.404949;0.444569;0.934834 0.253969 -0.248164 0.123894 -0.232481 0.96603 0.112868 -0.103768 0.268399 -0.0478195 0.96212 0.483934 0 0 0 1 
26456013410010;0.333714;0.456042;0.954571 0.191977 -0.227902 0.275647 -0.192585 0.981081 0.0197843 -0.0403457 0.227389 0.025005 0.973483 -0.0640452 0 0 0 1 
26456013410011;0.463956;0.512285;0.988471 0.115925 -0.0973992 0.471417 -0.103772 0.987123 0.121736 0.0467828 0.110257 -0.110226 0.987772 -0.219449 0 0 0 1 
26456013410012;1.06761;0.358225;0.939206 0.11514 -0.323473 0.861975 -0.211423 0.936245 -0.280615 0.637975 0.27054 0.331945 0.903671 0.909779 0 0 0 1 
26456013410013;0.408963;0.324222;0.860044 0.503877 -0.0801983 0.313482 -0.495708 0.862417 0.102522 -0.226142 0.120823 -0.0484185 0.991493 0.156611 0 0 0 1 
26456013410014;0.281798;0.44955;0.959056 0.261864 -0.107885 0.245326 -0.240845 0.954508 0.175806 -0.192379 0.149015 -0.142624 0.978495 -0.0179896 0 0 0 1 
26456013410015;0.444148;0.420851;0.977039 0.0960262 -0.190192 0.183387 -0.102431 0.994448 -0.024114 0.0573792 0.186821 0.043042 0.981451 0.410145 0 0 0 1 
26456013410016;0.631913;0.367961;0.880025 0.447724 0.158424 -0.0359957 -0.468469 0.873161 0.134634 -0.094667 -0.0780505 -0.192698 0.978149 0.616357 0 0 0 1 
26456013410017;0.712942;0.426477;0.969144 0.227847 -0.094049 0.475584 -0.216877 0.969524 0.113961 0.566798 0.117148 -0.0900474 0.989024 0.422397 0 0 0 1 
26456013410018;0.599666;0.403299;0.888916 0.429847 0.158304 0.192582 -0.456352 0.860926 0.224833 -0.462382 -0.0396439 -0.2721 0.961452 -0.120235 0 0 0 1 
26456013410019;0.16999;0.484556;0.97372 0.207581 -0.0936963 0.356363 -0.187573 0.964282 0.187018 0.0332254 0.129171 -0.164528 0.977878 0.104448 0 0 0 1 
26456013410020;0.966938;0.437425;0.960755 0.27104 -0.05906 -0.00619387 -0.262659 0.957323 0.120594 -0.295595 0.0892254 -0.100349 0.990943 -0.708516 0 0 0 1 
26456013410021;1.2145;0.550692;0.967161 -0.187836 -0.171222 -0.318074 0.209028 0.971076 0.115406 0.354605 0.144593 -0.147407 0.97845 -0.223542 0 0 0 1 
26456013410022;0.808376;0.524813;0.961093 -0.128625 -0.244452 -0.00907707 0.0913207 0.983162 -0.158279 0.540925 0.260694 0.129798 0.956656 -0.0661757 0 0 0 1 
26456013410023;0.310262;0.491157;0.869304 0.473125 -0.143052 0.0914395 -0.455868 0.879297 0.13792 -0.0946484 0.191038 -0.0546819 0.980058 0.338879 0 0 0 1 
26456013410024;0.290654;0.485527;0.92436 0.371773 -0.0856929 0.425269 -0.332158 0.894698 0.298641 -0.405222 0.187696 -0.247588 0.95051 0.249378 0 0 0 1 
26456013410025;0.115869;0.520964;0.925025 0.327063 -0.193284 0.328214 -0.275054 0.927512 0.253114 -0.136357 0.262057 -0.180973 0.947932 0.419726 0 0 0 1 
26456013410026;0.438952;0.523213;0.995966 0.0882106 -0.0164637 0.239279 -0.0819596 0.968937 0.233332 -0.344614 0.0365346 -0.231042 0.972258 -0.0297367 0 0 0 1 
26456013410027;1.02893;0.404387;0.837057 0.543491 -0.0628708 0.480964 -0.537683 0.838423 0.0891242 0.639948 0.101151 -0.0407975 0.994034 0.220607 0 0 0 1 
