#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_autumn_local.txt /home/point_clouds_registration_benchmark//eth/wood_autumn -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 1 -i 40 
id;initial_error;final_error;transformation
26875431820000;0.498992;0.529162;0.994933 0.0787378 -0.0625252 0.336757 -0.078979 0.996875 -0.00139244 0.473816 0.0622202 0.00632357 0.998042 -0.523302 0 0 0 1 
26875431820001;0.336145;0.115386;0.949261 0.208056 -0.235831 0.477197 -0.177312 0.973406 0.145053 0.612306 0.259739 -0.0958769 0.960908 -0.650526 0 0 0 1 
26875431820002;0.60541;0.280597;0.974992 0.17207 -0.140653 0.267327 -0.16296 0.983854 0.0739932 0.490978 0.151114 -0.049222 0.98729 -1.02737 0 0 0 1 
26875431820003;0.366204;0.0215006;0.993432 0.101883 -0.0520933 -0.148366 -0.0996228 0.994039 0.0442822 -0.112602 0.0562943 -0.0388016 0.99766 -0.532587 0 0 0 1 
26875431820004;0.698046;0.104145;0.968587 -0.24843 0.0110158 0.767409 0.247999 0.96827 0.030809 -1.05267 -0.0183201 -0.0271093 0.999465 0.45404 0 0 0 1 
26875431820005;0.325213;0.130036;0.95485 -0.188806 0.229375 -0.321511 0.197459 0.980194 -0.0151593 -0.574584 -0.22197 0.0597671 0.97322 0.828971 0 0 0 1 
26875431820006;0.554876;0.0190225;0.999996 -0.000855258 0.00275108 -0.252854 0.000859195 0.999999 -0.00143019 0.698596 -0.00274985 0.00143254 0.999995 0.570518 0 0 0 1 
26875431820007;0.383756;0.369681;0.998847 0.0177256 -0.044616 0.0592213 -0.0125433 0.993417 0.113863 0.0968977 0.0463406 -0.113172 0.992494 -0.00961419 0 0 0 1 
26875431820008;0.203498;0.0252385;0.96654 0.0512333 -0.251347 0.118204 -0.0293021 0.995489 0.090236 0.106455 0.254837 -0.0798517 0.963681 -0.979635 0 0 0 1 
26875431820009;0.180609;0.0308455;0.979062 -0.15486 -0.132118 0.104754 0.15125 0.987803 -0.0369965 -0.34487 0.136236 0.016239 0.990543 -0.385075 0 0 0 1 
26875431820010;0.462102;0.0631983;0.963156 -0.13605 -0.231994 0.667501 0.141607 0.989895 0.00739138 -0.689819 0.228645 -0.0399711 0.972689 -0.877003 0 0 0 1 
26875431820011;0.575398;0.323548;0.98363 0.0454746 0.174365 0.211031 -0.0550324 0.997213 0.050375 0.188463 -0.171589 -0.0591461 0.983392 1.10144 0 0 0 1 
26875431820012;0.688058;0.531939;0.994057 0.0685374 -0.0845736 0.385374 -0.0600003 0.993211 0.0996577 -0.098658 0.0908298 -0.0939911 0.991421 -0.352324 0 0 0 1 
26875431820013;0.421251;0.368382;0.999584 -0.028076 0.00665742 -0.0412459 0.0280894 0.999604 -0.00192274 -0.092753 -0.00660079 0.00210894 0.999976 -0.0999624 0 0 0 1 
26875431820014;0.330264;0.0548855;0.966888 -0.245497 0.069699 -0.416284 0.245785 0.969314 0.00454681 -0.89626 -0.0686764 0.0127347 0.997558 0.171147 0 0 0 1 
26875431820015;0.226693;0.199113;0.999849 0.0141135 0.0100951 -0.0275435 -0.0138578 0.999592 -0.0249667 0.113533 -0.0104434 0.024823 0.999637 0.0969441 0 0 0 1 
