#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/gazebo_winter_local.txt /home/point_clouds_registration_benchmark//eth/gazebo_winter -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -i 40 
id;initial_error;final_error;transformation
38591597440000;0.538033;0.0267829;0.993615 -0.0996996 -0.0528093 -0.390704 0.10135 0.994412 0.0295485 -0.436023 0.0495682 -0.0347121 0.998167 0.555663 0 0 0 1 
38591597440001;0.518725;0.022037;0.950864 0.249496 0.183328 0.0226672 -0.266026 0.961309 0.0715198 1.0685 -0.158391 -0.116776 0.980447 -0.0455647 0 0 0 1 
38591597440002;0.466312;0.0172643;0.984226 -0.130325 0.119645 0.0614597 0.134516 0.990526 -0.0276166 -0.318089 -0.114913 0.0432751 0.992433 -0.216038 0 0 0 1 
38591597440003;0.369171;0.0330464;0.979774 0.200109 0.000391609 -0.183386 -0.200109 0.979773 0.000700847 0.77057 -0.000243443 -0.000765036 1 0.38751 0 0 0 1 
38591597440004;0.566929;0.185338;0.922631 0.286571 -0.258125 0.975154 -0.276485 0.958057 0.0753824 0.942937 0.268901 0.00181733 0.963166 -1.63024 0 0 0 1 
38591597440005;0.214626;0.0345908;0.99464 -0.0841792 -0.0600393 0.00521083 0.0838182 0.996445 -0.00851 -0.284559 0.0605422 0.003432 0.99816 -0.594763 0 0 0 1 
38591597440006;0.296525;0.0219206;0.960414 -0.216991 -0.1747 0.176501 0.238949 0.964056 0.116191 -1.00798 0.143209 -0.153335 0.977742 -0.36294 0 0 0 1 
38591597440007;0.55939;0.0325195;0.989956 0.14134 -0.00320362 0.0732968 -0.140765 0.987527 0.0705379 0.181353 0.0131335 -0.0693785 0.997504 -0.874975 0 0 0 1 
38591597440008;0.573696;0.025218;0.910108 0.00648669 0.414321 0.31534 -0.10996 0.967811 0.226388 0.465788 -0.399515 -0.251596 0.881525 2.44746 0 0 0 1 
38591597440009;0.226381;0.00915759;0.999445 -0.0287107 0.0169006 0.0571322 0.0280544 0.998889 0.0378695 0.0632447 -0.0179691 -0.0373744 0.99914 -0.250931 0 0 0 1 
38591597440010;0.405479;0.040473;0.933949 -0.112614 0.339202 0.0757342 0.226664 0.92042 -0.318513 -0.764113 -0.276339 0.37436 0.885151 1.65946 0 0 0 1 
38591597440011;0.432428;0.0168534;0.932706 -0.344716 -0.105974 0.390548 0.360562 0.885301 0.293661 -1.77742 -0.00741048 -0.31211 0.950017 -0.27356 0 0 0 1 
38591597440012;0.493861;0.0375476;0.996335 -0.0035301 -0.0854665 0.340676 -0.00101506 0.99859 -0.0530787 -0.24576 0.0855334 0.052971 0.994926 0.327983 0 0 0 1 
38591597440013;0.489902;0.166141;0.939006 0.289215 0.186071 0.142067 -0.294873 0.955532 0.00286548 0.715218 -0.176968 -0.057558 0.982532 0.408235 0 0 0 1 
38591597440014;0.265078;0.0218983;0.950948 -0.055837 0.304271 -0.0550779 0.0880606 0.991743 -0.0932227 -0.272931 -0.296554 0.115444 0.948013 1.43987 0 0 0 1 
38591597440015;0.50504;0.02762;0.941887 -0.328126 0.0719824 0.409228 0.302095 0.921068 0.245707 -1.68094 -0.146923 -0.209683 0.966668 0.169572 0 0 0 1 
38591597440016;0.306367;0.0318463;0.961106 0.116396 -0.250455 0.274933 -0.0691607 0.979392 0.189759 0.00990063 0.267381 -0.165057 0.949349 -1.3638 0 0 0 1 
38591597440017;0.306001;0.0362384;0.991974 -0.126006 0.0105166 -0.198718 0.126435 0.989458 -0.0706197 -0.877566 -0.0015072 0.0713826 0.997448 0.0978539 0 0 0 1 
38591597440018;0.310987;0.0259059;0.975091 0.221379 -0.0137474 0.444206 -0.221577 0.975027 -0.0150499 1.03726 0.0100724 0.0177212 0.999792 -0.294522 0 0 0 1 
38591597440019;0.565481;0.0103203;0.985677 -0.161765 0.0476797 -0.562204 0.145963 0.959917 0.239277 -0.258563 -0.0844752 -0.22889 0.96978 -0.145023 0 0 0 1 
38591597440020;0.471158;0.0266779;0.947757 -0.31868 -0.0141186 -0.0269069 0.310004 0.930582 -0.194718 -1.31146 0.0751912 0.180169 0.980758 0.281395 0 0 0 1 
38591597440021;0.264772;0.0221461;0.958969 0.219319 0.179661 0.091573 -0.229306 0.972667 0.0365833 1.05046 -0.166727 -0.0762795 0.983048 0.544544 0 0 0 1 
38591597440022;0.382739;0.0328477;0.994517 -0.0269001 -0.101059 -0.301013 0.0333647 0.997466 0.0628322 -0.45671 0.0991132 -0.0658595 0.992894 -0.0790932 0 0 0 1 
38591597440023;0.504596;0.020701;0.941379 0.33502 -0.0395898 0.220677 -0.336671 0.940437 -0.0472311 1.86697 0.0214083 0.0577911 0.998099 -0.609405 0 0 0 1 
38591597440024;0.223621;0.0206103;0.997232 -0.053044 0.0521011 -0.0191614 0.064654 0.964682 -0.255358 0.0517195 -0.0367158 0.25802 0.965442 0.318864 0 0 0 1 
38591597440025;0.497841;0.0329297;0.938058 -0.229014 0.259998 -0.349498 0.264274 0.958216 -0.109458 -1.32437 -0.224067 0.171389 0.959385 0.619498 0 0 0 1 
38591597440026;0.507307;0.0158394;0.915735 -0.33493 -0.221928 0.444818 0.344412 0.938809 0.00430126 -0.905731 0.206907 -0.0803735 0.975054 -0.605409 0 0 0 1 
38591597440027;0.37107;0.0278484;0.995932 0.00343181 0.0900416 -0.231322 -0.044963 0.884903 0.4636 0.119999 -0.0780871 -0.465763 0.881458 0.358007 0 0 0 1 
38591597440028;0.144155;0.0241383;0.985986 -0.157694 -0.054447 0.0318064 0.156287 0.987279 -0.0292176 -0.587227 0.0583619 0.0202988 0.998089 -0.157732 0 0 0 1 
38591597440029;0.386592;0.0223861;0.932545 -0.326525 0.15408 0.038261 0.277858 0.921538 0.271225 -1.45525 -0.230553 -0.210118 0.950103 0.855838 0 0 0 1 
38591597440031;0.613756;0.244499;0.958923 -0.086191 -0.270256 0.230983 0.0638868 0.993865 -0.0902836 -0.795795 0.27638 0.0693092 0.958546 -1.27602 0 0 0 1 
38591597440032;0.317715;0.0393004;0.935726 0.296553 -0.190982 1.02931 -0.316192 0.945185 -0.0815352 1.444 0.156334 0.136681 0.978201 -0.418551 0 0 0 1 
38591597440033;0.586776;0.0534854;0.926334 -0.0997466 0.363257 0.466618 0.0828087 0.994638 0.0619487 0.110453 -0.367489 -0.0273043 0.929627 1.45807 0 0 0 1 
38591597440034;0.22655;0.0438474;0.986401 -0.142263 0.082311 -0.336501 0.156048 0.967853 -0.197258 -0.969264 -0.0516025 0.207419 0.97689 0.615012 0 0 0 1 
38591597440035;0.489052;0.0372215;0.986699 -0.0892384 0.135874 -0.0355423 0.102125 0.990599 -0.0910161 -1.23553 -0.126475 0.103682 0.986537 0.74034 0 0 0 1 
38591597440036;0.235684;0.0434679;0.986444 -0.164071 0.00311003 -0.144681 0.1641 0.986215 -0.0212628 -0.54181 0.000421445 0.0214849 0.999769 -0.0253213 0 0 0 1 
38591597440037;0.200232;0.0430656;0.994647 0.100851 0.0225255 0.154644 -0.100917 0.994893 0.00180553 0.385394 -0.0222284 -0.00406907 0.999745 -0.231124 0 0 0 1 
38591597440038;0.419626;0.0264646;0.947736 0.310648 -0.0727574 0.824158 -0.318992 0.927089 -0.196852 1.0774 0.00630083 0.209773 0.97773 0.821019 0 0 0 1 
38591597440039;0.360484;0.0427315;0.998761 -0.017002 0.0467611 -0.084398 0.0238934 0.988243 -0.151016 -0.265281 -0.0436437 0.151946 0.987425 -0.0728532 0 0 0 1 
