#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/p2at_met_local.txt /home/point_clouds_registration_benchmark//planetary/p2at_met -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -i 40 
id;initial_error;final_error;transformation
27844314100000;0.368279;0.345872;0.999462 0.00287299 0.032684 0.213252 -0.00736377 0.990388 0.138123 -0.115138 -0.031973 -0.13829 0.989876 -8.26959 0 0 0 1 
27844314100001;0.325629;0.147992;0.987596 0.0285941 -0.154389 0.827039 0.000375203 0.982845 0.184432 -0.288372 0.157014 -0.182202 0.970644 -7.73446 0 0 0 1 
27844314100002;0.342132;0.12602;0.931674 -0.0367951 0.361426 -2.45831 -0.0681907 0.959464 0.273459 -2.96239 -0.356837 -0.27942 0.891399 -24.6835 0 0 0 1 
27844314100003;0.135271;0.12369;0.995087 -0.010099 0.0984896 -0.349141 -0.00714023 0.984873 0.173129 -0.316304 -0.0987482 -0.172981 0.979962 -12.536 0 0 0 1 
27844314100004;0.89077;0.701812;0.98566 0.0417221 -0.163505 1.53594 0.00153729 0.966691 0.255941 -0.937755 0.168737 -0.252522 0.952764 -12.2262 0 0 0 1 
27844314100005;0.300669;0.260174;0.934889 0.0479103 -0.351692 0.028092 -0.00292552 0.991855 0.127342 -0.0368476 0.354928 -0.118021 0.927414 1.11278 0 0 0 1 
27844314100006;0.461976;0.409546;0.999885 0.0143781 0.0049155 0.931573 -0.0145366 0.99932 0.0338861 -0.172407 -0.00442494 -0.0339536 0.999414 -1.93188 0 0 0 1 
27844314100007;1.17629;1.00759;0.999414 0.0157473 0.0303965 0.992259 -0.0183675 0.995956 0.0879416 -0.244741 -0.0288888 -0.0884483 0.995662 -4.53221 0 0 0 1 
27844314100008;0.519074;0.422954;0.999907 0.0125392 0.00529563 0.759229 -0.012719 0.999292 0.0354111 -0.220492 -0.00484785 -0.0354752 0.999359 -1.56922 0 0 0 1 
27844314100009;0.482706;0.467758;0.993144 -0.0140452 0.116048 -0.677715 0.0196698 0.998679 -0.0474665 0.228502 -0.115228 0.0494237 0.992109 0.139462 0 0 0 1 
27844314100010;0.848926;0.0736873;0.999036 0.0261634 -0.0352506 1.58909 -0.0197078 0.984827 0.172414 -0.746344 0.0392267 -0.171553 0.984394 -11.279 0 0 0 1 
27844314100011;0.370547;0.290378;0.981069 -0.000597975 -0.193658 -1.21911 -0.0109869 0.998213 -0.0587421 -0.610414 0.193347 0.0597578 0.979309 8.45817 0 0 0 1 
27844314100012;1.02719;0.403056;0.991486 0.00596101 -0.130073 -0.502004 -0.0116894 0.998993 -0.0433209 -0.45683 0.129684 0.0444726 0.990558 7.87686 0 0 0 1 
27844314100013;0.818365;0.718077;0.998759 0.0201558 -0.0455332 1.1139 -0.0156698 0.995179 0.0968139 -0.41902 0.0472651 -0.0959803 0.99426 -5.36124 0 0 0 1 
27844314100014;0.722224;0.283417;0.998378 0.00122135 -0.0569252 0.007352 -0.000871222 0.999981 0.00617504 -0.021632 0.0569317 -0.00611543 0.998359 -0.844476 0 0 0 1 
27844314100015;1.11358;0.63152;0.999525 -0.00114878 -0.0308035 0.10546 0.000384414 0.999692 -0.0248087 -0.120772 0.0308225 0.0247851 0.999218 -0.30438 0 0 0 1 
27844314100016;0.370882;0.0651058;0.992582 -0.0176052 0.120295 -0.83108 0.0659765 0.90909 -0.411342 -5.15617 -0.102117 0.416227 0.903508 21.7473 0 0 0 1 
27844314100017;0.341055;0.248744;0.995537 1.74687e-05 -0.0943725 -0.519307 0.00350864 0.999302 0.0371977 0.314106 0.0943072 -0.0373628 0.994842 0.121708 0 0 0 1 
27844314100018;0.853373;0.275115;0.999559 0.00670757 0.0289193 0.587315 -0.00677854 0.999974 0.00235668 -0.098305 -0.0289027 -0.00255167 0.999579 -2.96663 0 0 0 1 
27844314100019;0.871961;0.0881502;0.999971 0.00549022 0.00534579 0.524069 -0.00535217 0.99966 -0.0255037 -0.174487 -0.005484 0.0254744 0.99966 -0.989317 0 0 0 1 
27844314100020;0.613803;0.621698;0.996535 0.0261216 -0.0789671 1.16063 -0.00712253 0.972718 0.231882 -0.779466 0.0828699 -0.230516 0.969533 -11.9901 0 0 0 1 
27844314100021;0.300355;0.0787978;0.948234 -0.0184701 -0.317034 -3.40083 -0.000921779 0.998143 -0.0609079 -0.375615 0.31757 0.0580472 0.946456 10.8824 0 0 0 1 
27844314100022;0.628187;0.0718146;0.99996 0.00549405 0.00709714 0.477697 -0.00533837 0.999749 -0.0217721 -0.187895 -0.00721497 0.0217333 0.999738 -0.611828 0 0 0 1 
27844314100023;0.278091;0.0881704;0.996391 0.00675244 0.0846132 0.604597 -0.00311496 0.999068 -0.0430479 -0.285816 -0.0848251 0.042629 0.995484 -0.239874 0 0 0 1 
27844314100024;0.416131;0.28739;0.969074 -0.000446357 -0.246771 -1.45063 -0.00917819 0.999241 -0.0378503 -0.270643 0.246601 0.0389446 0.968334 7.26101 0 0 0 1 
27844314100025;0.365706;0.32808;0.992011 -0.00662783 -0.125976 -0.963768 0.00642872 0.999977 -0.00198701 0.187403 0.125987 0.00116127 0.992031 2.6102 0 0 0 1 
27844314100026;0.38807;0.182069;0.983208 -0.00854646 0.18229 -0.372599 -0.000292161 0.998828 0.0484047 0.00557466 -0.18249 -0.0476451 0.982053 -7.91688 0 0 0 1 
27844314100027;0.827287;0.734915;0.980739 -0.0219726 -0.194085 -2.38045 -0.00351658 0.991505 -0.130019 -1.10889 0.195293 0.128198 0.97233 11.6843 0 0 0 1 
27844314100028;0.216847;0.17063;0.993603 -0.0175598 0.111557 -0.869016 0.03164 0.99156 -0.125729 -0.0974276 -0.108408 0.128454 0.985772 4.96241 0 0 0 1 
27844314100029;0.528223;0.391854;0.997053 0.00746041 0.0763579 0.74298 -0.00589199 0.999767 -0.020745 -0.210071 -0.076495 0.020234 0.996865 -1.32335 0 0 0 1 
27844314100031;1.32944;0.667689;0.999753 -0.0167041 -0.0146898 -0.132763 0.0166401 0.999852 -0.00446938 0.053702 0.0147623 0.00422383 0.999882 2.62726 0 0 0 1 
27844314100032;1.35252;0.951662;0.950413 0.0514223 -0.306711 -1.2464 0.043381 0.954671 0.294484 1.49906 0.307951 -0.293186 0.905101 6.20565 0 0 0 1 
27844314100033;0.908498;0.515716;0.974526 0.0220667 -0.223187 -0.954014 0.0310963 0.972241 0.231905 1.13234 0.222109 -0.232938 0.946788 4.97908 0 0 0 1 
27844314100034;0.315932;0.273126;0.999946 0.00905145 0.00514718 -0.0780749 -0.00913755 0.999814 0.0169574 -0.152406 -0.00499274 -0.0170035 0.999843 -0.158594 0 0 0 1 
27844314100035;0.38412;0.167398;0.999559 -0.00436918 -0.029386 0.0462739 0.00301103 0.998932 -0.046104 -0.133591 0.029556 0.0459952 0.998504 -0.472303 0 0 0 1 
27844314100036;0.255516;0.14919;0.996892 0.0225517 0.075478 -0.0426771 -0.0350391 0.985086 0.168458 -0.0833168 -0.0705533 -0.170579 0.982815 -0.130495 0 0 0 1 
27844314100037;0.704806;0.449224;0.999627 -0.0211765 0.0172445 0.175852 0.023444 0.989277 -0.144155 -0.0897683 -0.0140069 0.144506 0.989405 0.195695 0 0 0 1 
27844314100038;1.02577;0.662478;0.996436 0.0116264 0.083552 0.0544839 -0.00895371 0.999438 -0.0322923 0.0480706 -0.0838805 0.0314291 0.99598 0.663933 0 0 0 1 
27844314100039;0.646323;0.225484;0.998352 -0.0100092 0.0565057 0.028208 0.02168 0.977483 -0.209898 -0.158114 -0.0531324 0.210778 0.976089 0.123573 0 0 0 1 
