#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 15 -i 40 
id;initial_error;final_error;transformation
1807261650000;0.252801;0.104036;0.995254 0.048918 0.0841278 -0.253146 -0.0457165 0.99817 -0.0395707 0.303524 -0.0859096 0.0355369 0.995669 0.187197 0 0 0 1 
1807261650001;0.370505;0.10716;0.971342 0.12321 0.203258 -0.0603581 -0.161855 0.969121 0.186029 0.502876 -0.174061 -0.213596 0.961291 0.867479 0 0 0 1 
1807261650002;0.611698;0.17776;0.999876 0.0157027 -0.00141295 0.155395 -0.0157321 0.999588 -0.0240213 -0.614196 0.00103517 0.0240405 0.99971 0.574046 0 0 0 1 
1807261650003;0.65444;0.286426;0.96442 0.259175 -0.0521825 0.273514 -0.255087 0.964089 0.0739069 0.83686 0.0694634 -0.0579662 0.995899 -0.973286 0 0 0 1 
1807261650004;0.70178;0.272899;0.920975 0.342516 0.185708 -0.00390417 -0.315677 0.935347 -0.159606 1.20502 -0.228369 0.08837 0.969556 1.39701 0 0 0 1 
1807261650005;0.564667;0.118494;0.991878 -0.127133 0.00401833 0.0793415 0.127178 0.991777 -0.0143002 -0.0824812 -0.00216726 0.0146951 0.99989 0.741824 0 0 0 1 
1807261650006;0.456118;0.0927423;0.997143 -0.0407421 -0.063613 -0.273804 0.0308993 0.988401 -0.148687 0.246311 0.068933 0.146297 0.986836 -0.672704 0 0 0 1 
1807261650007;0.0911852;0.0354362;0.997455 0.0151305 0.0696751 -0.110294 -0.0163912 0.999711 0.0175581 0.0385635 -0.0693894 -0.0186555 0.997415 0.283551 0 0 0 1 
1807261650008;0.628711;0.217217;0.956237 -0.0424846 0.289492 0.646423 0.00526194 0.991739 0.128163 -0.244579 -0.292545 -0.121031 0.948562 0.758448 0 0 0 1 
1807261650009;0.268333;0.243798;0.984611 -0.174735 -0.00292747 -0.00979348 0.174722 0.984609 -0.00409298 -0.395882 0.00359761 0.0035185 0.999987 -0.0941915 0 0 0 1 
1807261650010;0.71038;0.168051;0.94103 0.338207 0.00883268 0.181243 -0.338256 0.941042 0.00478478 1.10682 -0.00669368 -0.00749033 0.99995 -0.870243 0 0 0 1 
1807261650011;0.818748;0.165476;0.906286 0.422636 -0.00505688 0.110094 -0.422654 0.906286 -0.0032136 1.63273 0.00322479 0.00504975 0.999982 -0.877901 0 0 0 1 
1807261650012;0.646177;0.048766;0.999984 0.00314634 0.00459752 0.176073 -0.00290198 0.998631 -0.0522228 -0.558865 -0.00475554 0.0522087 0.998625 -0.707557 0 0 0 1 
1807261650013;0.5425;0.0682193;0.988149 0.0468102 -0.146184 -0.015585 -0.0532295 0.997768 -0.0403124 0.000717921 0.143971 0.0476159 0.988436 -1.20315 0 0 0 1 
1807261650014;0.402811;0.143384;0.948302 0.18113 -0.260606 0.306202 -0.151854 0.980006 0.128567 0.420882 0.278683 -0.0823458 0.956846 -1.38306 0 0 0 1 
1807261650015;0.62098;0.146943;0.911434 -0.35992 0.199363 0.320933 0.358629 0.93245 0.0438459 -0.851601 -0.201677 0.0315346 0.978944 1.30439 0 0 0 1 
1807261650016;0.314215;0.168831;0.993189 0.106146 -0.0480559 -0.0955906 -0.104173 0.993678 0.0418492 0.474035 0.0521942 -0.036558 0.997968 0.00905542 0 0 0 1 
1807261650017;0.544853;0.174876;0.953113 0.0979636 -0.28632 0.194823 -0.194591 0.923004 -0.33196 0.774318 0.231754 0.372111 0.89879 -1.06807 0 0 0 1 
1807261650018;0.870541;0.269723;0.900354 0.417652 0.122185 0.050587 -0.410757 0.908381 -0.0782428 1.72024 -0.143669 0.020258 0.989418 1.20253 0 0 0 1 
1807261650019;0.408282;0.164245;0.971233 0.238112 -0.00291731 -0.267744 -0.238121 0.97123 -0.00319148 0.606999 0.00207345 0.00379435 0.999991 0.323302 0 0 0 1 
1807261650020;0.378251;0.141607;0.963561 0.0190464 -0.266811 0.034246 -0.111747 0.934914 -0.336822 0.396506 0.24303 0.354363 0.902974 -0.917072 0 0 0 1 
1807261650021;0.0584465;0.109483;0.999079 0.0353093 -0.0243759 -0.0344813 -0.0351661 0.999362 0.00627722 -0.0443456 0.024582 -0.00541424 0.999683 -0.0527525 0 0 0 1 
1807261650022;0.492617;0.181456;0.980817 -0.10467 -0.164442 0.210368 0.0913198 0.992035 -0.0867649 -0.0959678 0.172214 0.0700837 0.982563 -1.14895 0 0 0 1 
1807261650023;0.436303;0.252779;0.94836 0.315534 0.0324179 0.00359551 -0.316377 0.948297 0.02527 1.05277 -0.0227683 -0.0342213 0.999155 0.175522 0 0 0 1 
