#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/urban05_local.txt /home/point_clouds_registration_benchmark//kaist/urban05 -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 15 -i 40 
id;initial_error;final_error;transformation
34562489690000;0.13992;0.916673;1 -1.86044e-07 9.60999e-07 -1.20187 1.86044e-07 1 2.50334e-08 6.98047 -9.60999e-07 -2.50332e-08 1 -0.0482751 0 0 0 1 
34562489690001;0.182436;0.273857;1 -7.46079e-08 4.6143e-07 -0.621167 7.46079e-08 1 4.20198e-08 0.743245 -4.6143e-07 -4.20198e-08 1 -0.304322 0 0 0 1 
34562489690002;0.400034;0.491849;0.999992 -1.33911e-07 -0.00400429 6.64455 1.53149e-06 1 0.000349017 -1.52829 0.00400429 -0.000349021 0.999992 -4.44967 0 0 0 1 
34562489690003;0.381518;0.425916;0.997349 0.000226719 -0.0727647 47.9418 0.000235942 0.99998 0.00634967 -5.2479 0.0727646 -0.00635 0.997329 -19.6759 0 0 0 1 
34562489690004;0.467995;0.757059;1 -1.38879e-07 5.22661e-07 -1.04308 1.38879e-07 1 5.2681e-08 2.38004 -5.22661e-07 -5.26809e-08 1 -0.364925 0 0 0 1 
34562489690005;0.423309;0.713867;1 -1.58603e-07 8.01026e-07 -1.21683 1.58603e-07 1 6.64945e-08 2.42987 -8.01026e-07 -6.64944e-08 1 -0.480902 0 0 0 1 
34562489690006;0.190415;0.420922;0.999359 4.81547e-05 0.0357921 55.9766 6.36585e-05 0.999995 -0.00312282 -7.98611 -0.035792 0.0031231 0.999354 12.9157 0 0 0 1 
34562489690007;0.167146;0.360981;0.999994 5.97274e-07 0.00333929 -1.42587 3.72371e-07 1 -0.000290374 1.97668 -0.00333929 0.000290374 0.999994 8.86101 0 0 0 1 
34562489690008;0.102809;0.105895;1 -2.37679e-08 6.24167e-08 -0.160805 2.37679e-08 1 6.81774e-09 -0.210134 -6.24167e-08 -6.81774e-09 1 -0.0374308 0 0 0 1 
34562489690009;0.0509686;0.110572;1 -3.20474e-06 -3.21401e-06 25.3655 3.20473e-06 1 -1.00191e-06 -3.2197 3.21401e-06 1.0019e-06 1 -10.3191 0 0 0 1 
34562489690010;0.0869115;0.252546;0.999983 1.047e-05 -0.00586739 -72.0152 -7.46157e-06 1 0.000512766 8.37311 0.00586739 -0.000512713 0.999983 3.57013 0 0 0 1 
34562489690011;0.0782188;0.206762;0.999859 0.00023407 -0.016791 -1782.8 -0.000208327 0.999999 0.00153489 157.01 0.0167913 -0.00153117 0.999858 524.712 0 0 0 1 
34562489690012;0.0495854;0.815635;1 -1.13537e-08 2.94649e-07 -0.762798 1.13537e-08 1 -4.68702e-09 -7.17114 -2.94649e-07 4.68702e-09 1 -0.175082 0 0 0 1 
