#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/box_met_local.txt /home/point_clouds_registration_benchmark//planetary/box_met -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 5 -i 40 
id;initial_error;final_error;transformation
7680147070000;1.79635;3.12991;0.876988 0.173066 0.448264 -8.63521 -0.116731 0.981674 -0.15063 -3.51085 -0.466118 0.0797741 0.881119 -32.535 0 0 0 1 
7680147070001;0.811107;2.66458;0.981825 0.169961 0.084459 -5.21924 -0.14696 0.962425 -0.228344 -5.01216 -0.120095 0.211782 0.96991 -12.2173 0 0 0 1 
7680147070002;1.49386;2.94979;0.964819 -0.0385261 -0.260076 -3.44608 -0.0336138 0.963012 -0.267354 1.49622 0.260757 0.26669 0.927837 8.11192 0 0 0 1 
7680147070003;0.946768;3.09865;0.993615 0.112705 0.00511922 -4.58476 -0.109652 0.975389 -0.19129 -3.6225 -0.0265525 0.189508 0.98152 -4.6798 0 0 0 1 
7680147070004;1.43077;3.97734;0.99755 -0.0656258 -0.0242225 -1.36812 0.0617654 0.988859 -0.135433 5.99034 0.0328405 0.133605 0.99049 -1.39769 0 0 0 1 
7680147070005;0.312811;3.01888;0.988761 0.138921 0.0552497 -4.71036 -0.13997 0.990033 0.0155692 -4.01908 -0.0525362 -0.0231275 0.998351 -3.79522 0 0 0 1 
7680147070006;1.56238;3.29118;0.999749 0.0178158 -0.0135745 -1.8774 -0.0175606 0.999671 0.0186947 2.38241 0.013903 -0.0184516 0.999733 -1.73857 0 0 0 1 
7680147070007;1.77223;3.38985;0.970521 0.108002 0.215464 -4.08901 -0.158437 0.959564 0.232667 -3.02956 -0.181623 -0.259945 0.948389 -9.6788 0 0 0 1 
7680147070008;0.368314;3.20118;0.981343 0.173025 0.0838345 -5.41861 -0.173974 0.984742 0.00409461 -5.63613 -0.0818469 -0.0186032 0.996471 -5.45917 0 0 0 1 
7680147070009;2.02654;3.16368;0.99981 -8.62599e-05 0.0194933 -2.48634 0.00162223 0.99689 -0.0787927 3.39032 -0.0194259 0.0788093 0.9967 -6.41059 0 0 0 1 
7680147070010;1.67484;3.23852;0.990956 0.0230416 -0.132191 -3.27125 -0.0247772 0.999627 -0.0114996 2.32766 0.131877 0.0146709 0.991158 8.6754 0 0 0 1 
7680147070011;1.58383;3.30872;0.971016 0.0338499 0.236607 -3.50577 0.0504903 0.938532 -0.341478 4.83301 -0.233622 0.343527 0.909621 -19.3201 0 0 0 1 
7680147070012;1.55669;2.74049;0.996314 0.0297682 0.0804508 -3.35012 -0.012674 0.978646 -0.205161 2.21277 -0.0848402 0.203385 0.975416 -7.72572 0 0 0 1 
7680147070013;1.90796;3.12094;0.993044 0.117645 0.00480962 -4.23344 -0.116436 0.975123 0.18862 -1.90207 0.0175003 -0.187868 0.982038 0.658615 0 0 0 1 
7680147070014;1.7784;2.85709;0.995218 0.0954826 -0.0205922 -3.5171 -0.0969268 0.991464 -0.0872063 -1.47847 0.0120897 0.0887852 0.995977 -4.12276 0 0 0 1 
7680147070015;0.363704;3.11781;0.998019 0.00332168 -0.0628333 -3.3193 0.0200767 0.929596 0.368033 8.38238 0.0596321 -0.368565 0.927687 8.72819 0 0 0 1 
7680147070016;0.265959;2.8168;0.995402 0.093703 0.0198881 -4.01365 -0.0945321 0.994462 0.0459246 -1.54878 -0.0154747 -0.0475935 0.998747 -1.27377 0 0 0 1 
7680147070017;0.994504;3.14763;0.999708 -0.0183477 -0.0157499 -2.57917 0.0185586 0.999739 0.0133523 4.75052 0.0155008 -0.0136407 0.999787 -1.00175 0 0 0 1 
7680147070018;1.14391;2.95386;0.925632 0.0699803 -0.371898 -10.6902 -0.0727533 0.997328 0.00658913 0.000200425 0.371365 0.0209577 0.92825 20.426 0 0 0 1 
7680147070019;1.59901;2.50992;0.997981 0.0620652 0.0135115 -1.84485 -0.062067 0.998072 -0.00028228 1.09691 -0.0135029 -0.000556906 0.999909 -1.29978 0 0 0 1 
7680147070020;1.99055;3.08063;0.974494 0.0555752 0.217423 -5.05657 -0.0784721 0.992075 0.0981306 0.557097 -0.210246 -0.112689 0.971132 -10.0959 0 0 0 1 
7680147070021;1.30849;2.83754;0.965525 -0.0389465 -0.257379 -4.91542 0.0899333 0.977769 0.189418 11.0723 0.24428 -0.206035 0.947564 15.5415 0 0 0 1 
7680147070022;0.490232;3.30554;0.99815 -0.0320646 0.05165 -1.6067 0.029686 0.998492 0.0461794 6.02838 -0.0530528 -0.0445607 0.997597 -2.8227 0 0 0 1 
7680147070023;1.93092;2.19019;0.989571 0.135915 0.0477026 -4.10997 -0.127615 0.980828 -0.147281 -2.72207 -0.0668058 0.139658 0.987944 -6.38417 0 0 0 1 
7680147070024;2.01577;3.73318;0.985737 0.0850581 -0.145215 -3.94873 -0.0570174 0.980636 0.187356 1.52212 0.158339 -0.176404 0.971499 9.92862 0 0 0 1 
7680147070025;1.53658;3.57808;0.958579 -0.0540571 -0.279651 -4.71414 0.0164038 0.990673 -0.135271 3.70847 0.284355 0.12508 0.950525 11.1948 0 0 0 1 
7680147070026;1.23157;3.17677;0.989558 0.13544 0.0492955 -4.41016 -0.138943 0.987349 0.0763944 -2.62379 -0.038325 -0.082446 0.995858 -0.312709 0 0 0 1 
7680147070027;1.05263;3.16862;0.939639 0.0496215 0.338549 -5.27888 -0.104294 0.983881 0.145259 -0.8598 -0.325884 -0.171799 0.929669 -17.5033 0 0 0 1 
7680147070028;0.137424;3.00462;0.997641 0.0672291 0.0138632 -3.27758 -0.0673805 0.997669 0.0107561 -0.186742 -0.0131078 -0.0116648 0.999846 -1.38212 0 0 0 1 
7680147070029;1.81513;2.20482;0.997462 0.0283596 -0.0653066 -3.71595 -0.0300735 0.999225 -0.0254112 3.13779 0.0645353 0.0273108 0.997542 3.07019 0 0 0 1 
7680147070031;0.429088;1.60266;0.973792 -0.0372381 -0.22437 -3.8461 0.0382449 0.999268 0.000141435 1.56484 0.2242 -0.00871872 0.974504 1.33442 0 0 0 1 
7680147070032;0.91489;1.67355;0.994907 -0.0281456 0.0967842 -1.46584 0.0190438 0.995417 0.0937119 2.67431 -0.0989783 -0.0913916 0.990884 0.211578 0 0 0 1 
7680147070033;0.415478;1.4247;0.97679 0.00189905 0.21419 -2.14299 0.0627305 0.953581 -0.29453 1.17094 -0.204807 0.30113 0.93133 -9.75543 0 0 0 1 
7680147070034;0.600344;1.71318;0.984677 -0.0494679 -0.167224 -3.34628 0.0197255 0.984363 -0.175042 0.790968 0.173268 0.169061 0.970256 -1.97387 0 0 0 1 
7680147070035;0.44843;1.51544;0.997084 -0.0255774 0.0718933 -2.18241 0.0102661 0.978549 0.205757 2.40122 -0.0756138 -0.204419 0.975959 2.57872 0 0 0 1 
7680147070036;0.879785;1.27491;0.999894 -0.0101743 -0.0104163 -4.05601 0.0098142 0.999372 -0.0340611 1.75006 0.0107563 0.0339553 0.999365 -1.41382 0 0 0 1 
7680147070037;0.82527;1.61026;0.999645 0.0047984 0.0262198 -3.05106 -0.00541321 0.999711 0.023428 1.70263 -0.0260998 -0.0235616 0.999382 1.48279 0 0 0 1 
7680147070038;0.802274;1.4417;0.978333 -0.039453 0.203245 -1.84632 -0.0213209 0.957258 0.288447 4.08691 -0.205938 -0.286531 0.935676 4.08418 0 0 0 1 
7680147070039;1.33952;1.39717;0.999209 0.0385242 0.00988846 -5.67543 -0.0387385 0.998996 0.022487 1.17959 -0.00901225 -0.0228523 0.999698 0.953838 0 0 0 1 
7680147070040;0.158831;1.57983;0.999658 -0.0211279 -0.0153834 -2.71208 0.0190809 0.992244 -0.122835 0.948889 0.0178593 0.122499 0.992308 -2.94122 0 0 0 1 
7680147070041;1.36617;1.44932;0.998859 -0.0172057 0.0445385 -2.51422 0.0157701 0.999351 0.0323855 1.6684 -0.0450669 -0.0316462 0.998483 -3.12527 0 0 0 1 
7680147070042;0.46675;1.53823;0.99629 0.0125308 0.0851396 -2.76954 0.00555132 0.977923 -0.208891 0.565813 -0.0858776 0.208589 0.974226 -6.55708 0 0 0 1 
7680147070043;1.14629;1.50757;0.965468 0.0594923 0.253639 -1.39378 -0.000336183 0.973861 -0.227144 -0.316342 -0.260523 0.219215 0.940251 -7.4834 0 0 0 1 
7680147070044;0.702038;1.50757;0.999316 -0.0167337 -0.0329786 -2.86489 0.0190337 0.997315 0.070708 2.12717 0.0317069 -0.0712873 0.996952 2.82517 0 0 0 1 
7680147070045;0.887978;1.57736;0.998891 -0.0251619 0.0398006 -2.49311 0.0255045 0.999642 -0.00812322 2.18018 -0.039582 0.00912931 0.999175 -2.31426 0 0 0 1 
7680147070046;0.520495;1.47137;0.993355 -0.0324519 0.110416 -1.70252 0.0514133 0.983494 -0.173484 1.22099 -0.102964 0.178008 0.978627 -6.38513 0 0 0 1 
7680147070047;1.3778;1.49208;0.996142 0.0448789 -0.0754105 -6.26695 -0.0218598 0.959149 0.282056 3.84389 0.0849883 -0.27932 0.95643 7.70169 0 0 0 1 
7680147070048;1.12108;1.71726;0.999997 -0.00184337 0.00161649 -1.33625 0.00191881 0.998847 -0.0479775 0.25145 -0.00152619 0.0479805 0.998847 -0.965576 0 0 0 1 
7680147070049;0.932757;1.42187;0.996865 -0.0575608 -0.0542793 -2.4387 0.0489734 0.987765 -0.148061 1.95884 0.0621377 0.144939 0.987488 -1.54676 0 0 0 1 
7680147070050;1.2993;1.31032;0.956958 -0.0687064 -0.281976 -5.10697 0.03246 0.990816 -0.131262 1.27632 0.288405 0.116459 0.9504 -0.466575 0 0 0 1 
7680147070051;0.92457;1.61795;0.997656 -0.0351262 0.058724 -1.67285 0.0187146 0.965535 0.259601 3.04659 -0.0658189 -0.257894 0.963929 2.70055 0 0 0 1 
