#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_summer_local.txt /home/point_clouds_registration_benchmark//eth/wood_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 5 -i 40 
id;initial_error;final_error;transformation
2318808360000;0.0774618;0.0150693;0.99799 0.0424253 0.0470678 -0.461947 -0.042334 0.999099 -0.00293614 0.469033 -0.04715 0.000937675 0.998887 0.341389 0 0 0 1 
2318808360001;0.306883;0.0227925;0.997308 0.0718059 -0.0148748 -0.153689 -0.072037 0.99728 -0.0156245 0.616489 0.0137124 0.016654 0.999767 -0.428486 0 0 0 1 
2318808360002;0.495258;0.301802;0.975881 -0.206448 -0.0709633 2.22348 0.20857 0.977717 0.0238432 -1.40431 0.0644597 -0.0380689 0.997194 0.446586 0 0 0 1 
2318808360003;0.524546;0.288027;0.993386 -0.114791 -0.00267564 0.846636 0.114493 0.988506 0.0987316 -1.19499 -0.00868858 -0.0983849 0.995111 0.776008 0 0 0 1 
2318808360004;0.20511;0.0186841;0.997789 -0.0627049 0.0220452 0.607535 0.0626095 0.998026 0.00499535 -0.525031 -0.0223149 -0.00360407 0.999744 -0.181412 0 0 0 1 
2318808360005;0.440296;0.341071;0.999107 -0.0360748 -0.0220007 0.2975 0.0381178 0.994168 0.100876 -0.59672 0.0182333 -0.101625 0.994656 0.487041 0 0 0 1 
2318808360006;0.169359;0.0262835;0.996238 -0.0829435 0.0250914 0.992815 0.0834884 0.996277 -0.0215077 -0.422355 -0.0232141 0.0235216 0.999454 0.0692254 0 0 0 1 
2318808360007;0.299345;0.256719;0.998712 -0.0458502 0.0217496 0.315032 0.0454928 0.998826 0.0166541 -0.443021 -0.0224877 -0.0156432 0.999625 0.262115 0 0 0 1 
2318808360008;0.34518;0.268456;0.99585 0.0470318 0.0779108 -0.633451 -0.0502509 0.99794 0.0398847 0.237164 -0.0758744 -0.0436343 0.996162 1.20078 0 0 0 1 
2318808360009;0.553788;0.432475;0.99804 0.0511235 0.0360965 -0.418064 -0.0500905 0.998325 -0.0289631 0.264863 -0.0375167 0.0270983 0.998929 0.117288 0 0 0 1 
2318808360010;0.296129;0.015688;0.992219 -0.124495 0.00135329 1.21512 0.124352 0.991497 0.038348 -1.23258 -0.00611591 -0.0378813 0.999264 -0.00340928 0 0 0 1 
2318808360011;0.267088;0.010519;0.974341 -0.189998 0.120669 2.14765 0.17733 0.978172 0.10832 -1.25891 -0.138615 -0.0841421 0.986765 2.31269 0 0 0 1 
2318808360012;0.117207;0.0142044;0.996747 0.000330187 -0.0805888 0.0473702 0.00357168 0.998828 0.0482681 -0.168381 0.0805102 -0.0483989 0.995578 -0.276731 0 0 0 1 
2318808360013;0.297157;0.0113267;0.997088 -0.0500708 0.0575202 0.00810164 0.0519975 0.998118 -0.0325001 -0.629761 -0.0557847 0.0353964 0.997815 -0.0547696 0 0 0 1 
2318808360014;0.320442;0.0147625;0.999958 0.00799599 0.00440502 -0.0349508 -0.00799394 0.999968 -0.000484044 0.0771019 -0.00440875 0.000448811 0.99999 -0.616656 0 0 0 1 
2318808360015;0.329054;0.0172146;0.962275 0.240664 -0.126914 -2.07997 -0.253644 0.962278 -0.0984111 2.46994 0.0984423 0.126889 0.98702 -2.54255 0 0 0 1 
2318808360016;0.335073;0.0110646;0.999333 0.0365075 0.00115734 -0.271996 -0.0365125 0.999322 0.00471146 -0.0425317 -0.000984549 -0.00475057 0.999988 -0.523503 0 0 0 1 
2318808360017;0.483715;0.0137384;0.972259 0.228554 -0.0497627 -2.51822 -0.228808 0.973471 0.000623493 1.77901 0.0485851 0.0107799 0.998761 0.209562 0 0 0 1 
2318808360018;0.313611;0.286503;0.998451 -0.0454195 -0.0321288 0.429146 0.045611 0.998945 0.00525214 -0.342254 0.0318563 -0.00670943 0.99947 -0.171837 0 0 0 1 
2318808360019;0.502137;0.443222;0.999761 0.0192495 0.010363 -0.192618 -0.0189797 0.999494 -0.0255357 0.0407983 -0.0108493 0.0253329 0.99962 -0.27672 0 0 0 1 
2318808360020;0.421809;0.0166127;0.965322 0.0240914 0.259947 -0.565202 -0.000702557 0.995969 -0.0896958 0.278853 -0.26106 0.0864028 0.961448 0.517266 0 0 0 1 
2318808360021;0.393879;0.0353449;0.910429 -0.28136 -0.30324 4.12709 0.194188 0.93796 -0.287266 -0.87497 0.365252 0.202649 0.908583 -4.79563 0 0 0 1 
