#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/gazebo_summer_local.txt /home/point_clouds_registration_benchmark//eth/gazebo_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 1 -i 40 
id;initial_error;final_error;transformation
36535719080000;0.0805842;0.0286641;0.999959 0.00130992 0.00896175 -0.0252149 -0.0021084 0.995969 0.0896785 -0.0297882 -0.00880815 -0.0896938 0.99593 0.109615 0 0 0 1 
36535719080001;0.11249;0.030925;0.991767 0.017258 0.126886 -0.21037 -0.00774545 0.997147 -0.0750837 0.044511 -0.12782 0.0734828 0.989071 0.282933 0 0 0 1 
36535719080002;0.259114;0.0284981;0.992659 0.0474822 0.11124 0.182182 -0.0669065 0.981755 0.177988 -0.438223 -0.100759 -0.184124 0.977725 0.197236 0 0 0 1 
36535719080003;0.441289;0.543179;0.988639 -0.106694 0.10587 -0.607289 0.110713 0.99331 -0.0328232 0.049559 -0.10166 0.0441716 0.993838 -0.0121908 0 0 0 1 
36535719080004;0.424931;0.550814;0.969791 -0.0982864 0.22326 -0.986638 0.108331 0.993561 -0.0331692 0.303551 -0.218562 0.0563533 0.974194 -0.0238885 0 0 0 1 
36535719080005;0.508351;0.0378959;0.988648 -0.119551 0.0910054 0.532756 0.145315 0.914761 -0.376957 0.873345 -0.0381826 0.385902 0.921749 -0.282373 0 0 0 1 
36535719080006;0.482532;0.380917;0.991288 -0.0334299 -0.127402 -0.612001 0.0133394 0.987762 -0.155394 0.156427 0.131038 0.152341 0.979603 -1.30283 0 0 0 1 
36535719080007;0.407429;0.240388;0.991427 -0.128403 -0.0241996 -0.118912 0.117571 0.957458 -0.263537 0.170581 0.0570091 0.258433 0.964346 -1.08466 0 0 0 1 
36535719080008;0.494873;0.428896;0.973668 -0.0640698 0.218781 -0.920341 0.127507 0.948597 -0.289666 0.253969 -0.188976 0.309934 0.931788 -0.531576 0 0 0 1 
36535719080009;0.260051;0.0344673;0.991383 -0.0744995 0.10775 -0.165799 0.0701627 0.996587 0.0435 -0.75437 -0.110623 -0.0355651 0.993226 -0.222753 0 0 0 1 
