#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/long_office_household_local.txt /home/point_clouds_registration_benchmark//tum/long_office_household -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 1 -i 40 
id;initial_error;final_error;transformation
26456013410000;0.652746;0.10009;0.909141 0.393107 -0.137583 0.0497899 -0.409379 0.90423 -0.121558 -0.0717995 0.0766218 0.166837 0.983003 -0.519713 0 0 0 1 
26456013410001;1.0574;0.104033;0.995858 0.0886615 0.0201512 -0.0439163 -0.0868413 0.993158 -0.0780766 0.0175301 -0.0269357 0.0760033 0.996744 0.91049 0 0 0 1 
26456013410002;0.577722;0.108073;0.994261 0.106952 0.00250328 0.0379229 -0.106872 0.99403 -0.0219921 0.152873 -0.00484044 0.0215983 0.999755 0.47766 0 0 0 1 
26456013410003;1.10585;0.464529;0.951935 -0.306066 0.0119757 0.244812 0.306231 0.950164 -0.0584061 0.493314 0.00649729 0.0592662 0.998221 -0.940726 0 0 0 1 
26456013410004;0.510854;0.0840823;0.972381 0.0612424 0.22522 -0.152057 -0.103784 0.977768 0.182205 -0.117018 -0.209055 -0.200547 0.957119 -0.443797 0 0 0 1 
26456013410005;0.315858;0.0891034;0.998766 -0.0487245 0.00960958 -0.015311 0.0491983 0.99713 -0.0575412 0.303131 -0.00677833 0.057943 0.998297 -0.20912 0 0 0 1 
26456013410006;0.127418;0.0775775;0.996083 0.088414 0.00151658 0.0601849 -0.0882621 0.995126 -0.0439871 0.00854618 -0.00539827 0.043681 0.999031 -0.027959 0 0 0 1 
26456013410007;0.936325;0.507993;0.973407 -0.222553 -0.0543001 0.106604 0.207755 0.9575 -0.200078 0.269397 0.0965203 0.183476 0.978274 0.645551 0 0 0 1 
26456013410008;0.859142;0.113745;0.999953 0.000595648 0.00964195 0.108816 0.000602503 0.992309 -0.123786 0.0259072 -0.00964153 0.123786 0.992262 0.698801 0 0 0 1 
26456013410009;0.404949;0.104521;0.987125 0.118192 -0.107775 -0.173492 -0.125003 0.990414 -0.0587768 -0.11203 0.0997952 0.0714923 0.992436 0.284212 0 0 0 1 
