#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam3_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam3 -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -i 40 
id;initial_error;final_error;transformation
39885980090000;0.518509;0.180449;0.994618 0.0110692 -0.103019 0.0407067 0.00246325 0.99147 0.130314 -0.0534397 0.103583 -0.129866 0.986106 -0.42189 0 0 0 1 
39885980090001;1.1366;0.984588;0.998351 -0.013941 -0.055678 0.0123936 0.0159655 0.999221 0.0360838 -0.183474 0.0551316 -0.0369132 0.997797 0.268012 0 0 0 1 
39885980090002;0.639436;0.634882;0.999792 0.0033293 0.0201003 -0.000237253 0.000790312 0.979479 -0.201546 -0.00413744 -0.0203588 0.20152 0.979273 -0.11242 0 0 0 1 
39885980090003;0.346141;0.141523;0.955566 -0.0578317 -0.289049 0.122086 -0.0314055 0.955012 -0.294899 0.0994228 0.293099 0.290873 0.910761 -0.836266 0 0 0 1 
39885980090004;1.0895;0.834157;0.969714 -0.024218 -0.243041 0.18507 -0.0289666 0.976646 -0.212893 0.301072 0.242521 0.213485 0.946365 -1.09707 0 0 0 1 
39885980090005;0.90722;0.752999;0.999828 0.00642351 -0.0173841 0.0237416 -0.00762073 0.997539 -0.0697032 0.0604442 0.0168935 0.0698237 0.997416 -0.443653 0 0 0 1 
39885980090006;0.367469;0.0968096;0.979155 -0.0231445 -0.201792 0.0597077 -0.0234839 0.973924 -0.225655 0.0815051 0.201753 0.22569 0.953079 -0.975776 0 0 0 1 
39885980090007;0.500039;0.360345;0.999739 -0.0228296 9.31e-05 0.013766 0.0215823 0.943773 -0.329888 -0.0153608 0.00744333 0.329804 0.94402 -0.353923 0 0 0 1 
39885980090008;1.30544;0.910556;0.985403 0.00702137 -0.170094 0.11385 -0.0187728 0.997537 -0.0675784 0.153932 0.169201 0.0697851 0.983108 -1.0698 0 0 0 1 
39885980090009;1.07285;1.03547;0.999582 -0.00176603 -0.0288436 -0.01776 0.00160114 0.999982 -0.00573885 -0.016541 0.0288533 0.00569027 0.999567 -0.0213582 0 0 0 1 
39885980090010;0.993349;0.848082;0.999853 0.0152722 -0.00778974 -0.010935 -0.0157148 0.998055 -0.0603289 0.0350877 0.00685323 0.0604424 0.998148 0.302117 0 0 0 1 
39885980090011;1.19076;0.785734;0.997935 0.0135142 0.0627878 -0.143897 0.00282693 0.967422 -0.253154 0.220097 -0.0641634 0.252809 0.965386 -0.590885 0 0 0 1 
39885980090012;1.08018;0.525622;0.996718 0.0136279 -0.0797955 0.146621 -0.0234601 0.992054 -0.12361 -0.0833544 0.0774769 0.125076 0.989117 -0.964444 0 0 0 1 
39885980090013;0.734434;0.299122;0.999529 -0.00236372 -0.0305869 -0.0252176 -0.00479827 0.972711 -0.231969 -0.036121 0.0303005 0.232007 0.972242 0.130953 0 0 0 1 
39885980090014;1.32795;0.97647;0.925502 0.0171158 -0.378357 0.291341 0.0563659 0.981629 0.182283 -0.18283 0.374526 -0.19003 0.907535 -1.1458 0 0 0 1 
39885980090015;0.724355;0.0541487;0.999644 0.0145534 0.0223738 0.021396 -0.0145164 0.999893 -0.00181522 0.102112 -0.0223978 0.00148979 0.999748 -0.49542 0 0 0 1 
39885980090016;0.348273;0.0228831;0.981028 0.0133897 -0.193404 0.0784851 0.0283387 0.976992 0.211384 -0.0236524 0.191785 -0.212855 0.958077 -0.374131 0 0 0 1 
39885980090017;0.847163;0.570766;0.9976 -0.000766909 -0.0692333 0.0605091 -0.0135083 0.978567 -0.205485 0.236553 0.067907 0.205927 0.976208 -0.843398 0 0 0 1 
39885980090018;0.98085;0.604912;0.988074 0.00190251 -0.153968 -0.0530469 -0.0277017 0.985805 -0.165592 0.105399 0.151467 0.167882 0.974101 -0.0144265 0 0 0 1 
39885980090019;1.01873;0.50819;0.998804 0.0263602 0.0411853 -0.0431452 -0.0283784 0.998385 0.0492126 -0.0925858 -0.0398216 -0.0503225 0.997939 0.778318 0 0 0 1 
39885980090020;0.349842;0.247708;0.979144 0.068646 0.191221 -0.0828753 -0.0386251 0.98692 -0.156513 0.114059 -0.199464 0.145863 0.968988 0.365769 0 0 0 1 
39885980090021;0.142777;0.0466876;0.977792 -0.00947817 -0.209361 0.0524132 -0.0096764 0.99587 -0.0902771 0.0469098 0.209352 0.0902981 0.973662 -0.543064 0 0 0 1 
39885980090022;0.343863;0.18175;0.9908 0.0170786 0.134251 -0.00631353 -0.0124961 0.999313 -0.0349024 0.0282999 -0.134755 0.0329037 0.990332 0.471324 0 0 0 1 
39885980090023;0.973502;0.906294;0.950147 0.0294205 -0.310412 0.111465 0.03359 0.980087 0.195708 -0.0632251 0.309989 -0.196378 0.930238 -0.557411 0 0 0 1 
39885980090024;1.13358;0.0901454;0.998055 0.0535911 0.0318484 -0.116206 -0.052086 0.997567 -0.0463437 0.0236729 -0.0342545 0.0445947 0.998418 -0.826228 0 0 0 1 
39885980090025;0.64818;0.466254;0.999319 -0.0281849 -0.0237949 0.0173842 0.0265223 0.997366 -0.0675126 -0.117927 0.0256351 0.0668355 0.997435 0.10049 0 0 0 1 
39885980090026;1.25567;0.298233;0.99203 -0.0466761 0.117034 0.0940595 0.0292533 0.988794 0.146392 -0.0488074 -0.122555 -0.141802 0.982279 1.41032 0 0 0 1 
39885980090027;0.709211;0.347885;0.999122 0.0210236 0.0362392 -0.00719285 -0.0207045 0.999744 -0.00915997 0.144068 -0.0364225 0.00840161 0.999301 0.500069 0 0 0 1 
39885980090028;1.02062;0.695699;0.999919 0.00557912 0.0114605 0.0042047 -0.00563499 0.999972 0.00484879 0.0465125 -0.0114331 -0.00491298 0.999923 0.584745 0 0 0 1 
39885980090029;0.737875;0.347102;0.992769 0.0548363 -0.106781 -0.0582875 -0.0350518 0.983218 0.179036 0.0808468 0.114807 -0.173998 0.978031 0.424861 0 0 0 1 
39885980090031;0.500388;0.189113;0.965966 0.0462893 -0.254492 0.353844 -0.0134627 0.991521 0.129247 0.21743 0.258317 -0.121422 0.958399 -1.51862 0 0 0 1 
39885980090032;0.490152;0.616506;0.950938 -0.295695 -0.0910052 0.130556 0.300395 0.95285 0.0428955 -0.405455 0.0740303 -0.0681284 0.994926 -0.350116 0 0 0 1 
39885980090033;0.259006;0.384999;0.960625 -0.170237 -0.219588 0.216756 0.18578 0.981212 0.052037 -0.0567167 0.206604 -0.0907832 0.974204 -0.794484 0 0 0 1 
39885980090034;0.13399;0.224307;0.996929 -0.0531765 -0.057492 0.0654181 0.0504384 0.99757 -0.048072 0.035069 0.0599086 0.0450245 0.997188 -0.218966 0 0 0 1 
39885980090035;0.310003;0.209976;0.992355 0.0700122 -0.10164 0.476498 -0.0929783 0.965656 -0.242617 0.41383 0.0811635 0.250212 0.964783 0.220948 0 0 0 1 
39885980090036;0.791909;0.205825;0.903676 0.0291048 -0.427227 1.45669 0.0677553 0.975401 0.209766 -0.32453 0.422823 -0.218507 0.879474 -1.97817 0 0 0 1 
39885980090037;0.326129;0.348648;0.999693 -0.00359508 0.0245302 0.0358011 0.0042408 0.999645 -0.0263221 0.122469 -0.0244269 0.0264181 0.999352 0.329065 0 0 0 1 
39885980090038;0.582863;0.59092;1 0.000191797 -0.000411026 0.0301907 -0.000206681 0.999333 -0.0365229 -0.000476148 0.000403747 0.036523 0.999333 -0.075451 0 0 0 1 
39885980090039;0.172583;0.239849;0.998738 -0.0487217 -0.012173 -0.0379574 0.0483368 0.998377 -0.0301281 0.137885 0.0136211 0.0295016 0.999472 0.134019 0 0 0 1 
39885980090040;0.259945;0.200052;0.996534 -0.0104455 0.0825259 0.194532 -0.00634413 0.979652 0.200605 0.40499 -0.082942 -0.200433 0.97619 -0.15302 0 0 0 1 
39885980090041;0.477445;0.467744;0.98868 -0.129964 0.0749733 0.00616972 0.127114 0.991014 0.0416261 -0.328161 -0.0797095 -0.0316247 0.996316 -0.103461 0 0 0 1 
39885980090042;0.418217;0.274547;0.997127 0.0756044 0.00456515 0.41967 -0.0755225 0.997015 -0.0160354 0.573593 -0.00576387 0.0156445 0.999861 0.300814 0 0 0 1 
39885980090043;0.341309;0.430082;0.994286 -0.0512627 -0.0936328 0.25402 0.0755042 0.957781 0.277406 -0.0458808 0.0754591 -0.282891 0.956179 -0.74644 0 0 0 1 
39885980090044;0.352045;0.304985;0.924381 -0.152735 0.349559 0.0486325 0.0748964 0.971177 0.226285 -0.0759712 -0.374046 -0.182993 0.909177 0.521809 0 0 0 1 
39885980090045;0.207777;0.411619;0.98092 -0.0650347 0.183213 0.223564 0.0666379 0.997774 -0.00260095 0.188652 -0.182636 0.0147602 0.98307 0.546458 0 0 0 1 
39885980090046;0.379302;0.350042;0.9528 0.0123934 0.303344 0.366488 0.0577834 0.973499 -0.22127 0.0568581 -0.298048 0.228354 0.926834 0.987857 0 0 0 1 
39885980090047;0.227046;0.219955;0.973123 0.0711751 0.219009 0.356235 -0.0856367 0.99468 0.0572513 0.37813 -0.213769 -0.0744678 0.974042 0.185437 0 0 0 1 
39885980090048;0.266999;0.198902;0.9894 0.0525905 0.135357 0.403965 -0.0261685 0.981428 -0.190036 0.299625 -0.142837 0.18448 0.972402 0.971712 0 0 0 1 
39885980090049;0.523967;0.210935;0.945846 -0.0015218 0.324611 0.531161 -0.0860155 0.963069 0.255145 0.357825 -0.313011 -0.26925 0.910785 0.99345 0 0 0 1 
39885980090050;0.207409;0.34854;0.999447 -0.0204311 -0.026216 0.21384 0.0207024 0.999734 0.010122 0.054702 0.0260022 -0.0106591 0.999605 -0.0643424 0 0 0 1 
39885980090051;0.499446;0.182778;0.989151 0.112915 0.0939674 0.694902 -0.0978742 0.983579 -0.151635 0.653112 -0.109546 0.140793 0.98396 -0.0368778 0 0 0 1 
39885980090052;0.316512;0.31471;0.990802 0.0629489 0.119784 0.302561 -0.0427896 0.985535 -0.163982 0.438826 -0.128374 0.157348 0.979164 0.338235 0 0 0 1 
39885980090053;0.450592;0.28115;0.993362 -0.105176 0.0465735 0.0504987 0.107458 0.992975 -0.0495387 0.0885131 -0.041036 0.0542146 0.997686 -0.411336 0 0 0 1 
39885980090054;0.48513;0.469358;0.980792 -0.19213 -0.0336677 0.060199 0.190676 0.907992 0.373087 -0.318871 -0.0411112 -0.37234 0.927185 -0.665879 0 0 0 1 
39885980090055;0.127893;0.266759;0.993908 -0.100152 -0.0460127 0.143846 0.097477 0.993598 -0.0571004 0.033082 0.0514369 0.0522673 0.997308 0.0246922 0 0 0 1 
39885980090056;0.526201;0.463564;0.970339 -0.241735 0.0024877 0.209931 0.238225 0.957898 0.160249 -0.0726743 -0.0411209 -0.154904 0.987073 0.397133 0 0 0 1 
39885980090057;0.593626;0.263691;0.972132 0.0434197 -0.23038 0.884728 0.0394488 0.93839 0.34332 0.0211152 0.231093 -0.34284 0.910525 -0.806855 0 0 0 1 
39885980090058;0.12749;0.151683;0.984974 0.00920404 -0.172458 0.1778 -0.0155044 0.999259 -0.0352215 0.194404 0.172006 0.0373661 0.984387 -0.379045 0 0 0 1 
39885980090059;0.597495;0.304455;0.935925 -0.0923276 -0.339881 0.125038 0.0201788 0.9775 -0.209968 0.105188 0.35162 0.189656 0.91673 0.200284 0 0 0 1 
39885980090060;0.466612;0.314139;0.98214 -0.187752 0.012222 0.00771089 0.18626 0.961036 -0.204247 -0.00845943 0.026602 0.202875 0.978843 0.766265 0 0 0 1 
39885980090062;0.722072;0.670099;0.988352 0.00784272 -0.15198 0.000683881 -0.00290459 0.999461 0.0326868 0.0305141 0.152154 -0.0318647 0.987843 -0.290164 0 0 0 1 
39885980090063;0.21414;0.0728764;0.998292 0.0243047 0.053132 -0.0144951 -0.00129487 0.918352 -0.395762 0.117924 -0.0584128 0.395017 0.916815 -0.338821 0 0 0 1 
39885980090064;0.937509;0.676275;0.999648 0.0116625 0.0238297 -0.0369143 -0.00689293 0.981524 -0.191212 0.0373685 -0.0256195 0.190981 0.981259 -0.700519 0 0 0 1 
39885980090065;0.614008;0.361831;0.943077 0.108131 0.314505 -0.139625 -0.0146652 0.958269 -0.285491 0.192196 -0.332251 0.264627 0.905308 0.458237 0 0 0 1 
39885980090066;0.857809;0.371301;0.99897 0.00528586 0.0450722 0.0214261 -0.00106523 0.995651 -0.0931559 -0.0567371 -0.0453686 0.0930119 0.994631 0.603318 0 0 0 1 
39885980090067;0.711929;0.690096;0.993855 -0.00962478 -0.110268 0.0391707 -0.00516859 0.99109 -0.133092 0.019666 0.110567 0.132844 0.98495 -0.575042 0 0 0 1 
39885980090068;0.589386;0.144893;0.99999 0.00342501 0.00271007 0.00869316 -0.00343978 0.999979 0.0054617 0.0377364 -0.00269131 -0.00547097 0.999981 0.496185 0 0 0 1 
39885980090069;0.410197;0.223215;0.998906 -0.00837702 -0.0460164 0.0452785 0.00919347 0.999804 0.0175598 -0.0496018 0.0458602 -0.0179636 0.998786 -0.360265 0 0 0 1 
39885980090070;0.483885;0.2359;0.936531 0.0784031 0.341705 -0.0200071 -0.0890134 0.995911 0.0154559 0.235759 -0.339096 -0.0448913 0.93968 1.10619 0 0 0 1 
39885980090071;0.64931;0.585927;0.976334 -0.0619169 -0.207213 0.0774704 -0.0120226 0.941119 -0.337861 0.108854 0.215932 0.332356 0.918103 -0.835418 0 0 0 1 
39885980090072;0.398606;0.365077;0.99923 -0.0121695 0.0372977 0.00204574 0.0037958 0.976203 0.216825 -0.0104034 -0.0390488 -0.216516 0.975498 0.378915 0 0 0 1 
39885980090073;0.928997;0.681323;0.954925 0.0947279 -0.281328 0.0460278 -0.0875164 0.995434 0.0381181 0.379403 0.283655 -0.0117791 0.958854 -0.430006 0 0 0 1 
39885980090074;0.42064;0.248502;0.913774 0.0271719 0.405314 0.140283 0.00816105 0.996331 -0.0851923 -0.0179819 -0.406142 0.0811543 0.910199 1.04398 0 0 0 1 
39885980090075;0.428471;0.190111;0.944509 0.0776693 0.319172 -0.00263267 -0.13378 0.978366 0.157806 0.416711 -0.30001 -0.191748 0.934466 1.17062 0 0 0 1 
39885980090076;0.878954;0.690982;0.994079 0.00501942 0.108543 0.032913 -0.00497121 0.999987 -0.000714749 0.00666179 -0.108545 0.000170927 0.994091 0.681172 0 0 0 1 
39885980090077;0.395145;0.411677;0.999331 0.0365428 0.00115369 -0.0499788 -0.0355469 0.97851 -0.203113 0.000863352 -0.00855122 0.202937 0.979155 -0.213785 0 0 0 1 
39885980090078;1.1758;0.179777;0.998978 -0.0367345 0.0263161 -0.011801 0.0379616 0.998137 -0.0477553 -0.13661 -0.0245128 0.0487055 0.998512 -0.96066 0 0 0 1 
39885980090079;1.02505;0.800712;0.964339 -0.0273382 -0.263255 -0.016037 -0.042484 0.965765 -0.255916 0.0809139 0.261239 0.257974 0.930163 -0.501127 0 0 0 1 
39885980090080;0.475546;0.0982094;0.999943 -0.00961081 -0.00470788 0.044987 0.0095161 0.99976 -0.0197436 -0.0237626 0.0048965 0.0196977 0.999794 -0.417995 0 0 0 1 
39885980090081;0.321616;0.0475491;0.94534 -0.0215544 0.325372 0.210273 0.0281745 0.999481 -0.0156476 -0.0849247 -0.324866 0.0239595 0.945457 0.947546 0 0 0 1 
39885980090082;1.0641;0.369881;0.965626 0.123062 0.22896 -0.357409 -0.127002 0.991899 0.0024987 0.408719 -0.226798 -0.0314912 0.973433 -0.0344966 0 0 0 1 
39885980090083;0.893927;0.244464;0.946951 0.0256572 0.320352 -0.130664 -0.131892 0.940022 0.314583 0.0556263 -0.293067 -0.340147 0.893539 0.756707 0 0 0 1 
39885980090084;0.543877;0.483368;0.995444 -0.0497951 -0.0813094 0.0980514 0.036354 0.986588 -0.159132 -0.346168 0.0881429 0.155451 0.983903 -0.337377 0 0 0 1 
39885980090085;0.738131;0.57747;0.881051 0.077179 0.466682 0.118944 -0.0972715 0.995075 0.0190757 0.132798 -0.462911 -0.0622015 0.884219 0.969313 0 0 0 1 
39885980090086;0.60161;0.0681453;0.999749 0.0217365 0.00541042 -0.0174759 -0.0219344 0.998971 0.0397036 0.0449646 -0.00454183 -0.0398123 0.999197 0.573925 0 0 0 1 
39885980090087;0.217577;0.154921;0.999539 0.00761112 -0.0293759 -0.0194629 -0.00691562 0.999695 0.0237054 -0.0311071 0.0295474 -0.0234913 0.999287 -0.117707 0 0 0 1 
