#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_autumn_local.txt /home/point_clouds_registration_benchmark//eth/wood_autumn -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 15 -i 40 
id;initial_error;final_error;transformation
26875431820000;0.498992;0.502814;0.992796 0.0973172 -0.0698935 0.448112 -0.0972274 0.995251 0.00469466 0.440812 0.0700184 0.00213471 0.997543 -0.609647 0 0 0 1 
26875431820001;0.336145;0.0227093;0.911073 0.320769 -0.258945 0.712873 -0.288492 0.944797 0.15534 0.875085 0.294479 -0.066822 0.953319 -0.771662 0 0 0 1 
26875431820002;0.60541;0.186583;0.960762 0.199544 -0.192661 0.498353 -0.192169 0.979738 0.0564315 0.550902 0.200018 -0.0171937 0.979641 -1.26261 0 0 0 1 
26875431820003;0.366204;0.0288439;0.993356 0.102111 -0.0530769 -0.159156 -0.09975 0.993977 0.0453831 -0.109502 0.0573913 -0.0397872 0.997559 -0.536003 0 0 0 1 
26875431820004;0.698046;0.0358844;0.955846 -0.293861 -0.002062 0.843772 0.293764 0.955298 0.033298 -1.26886 -0.00781514 -0.0324335 0.999443 0.410129 0 0 0 1 
26875431820005;0.325213;0.0214013;0.920752 -0.241435 0.306473 -0.360488 0.272918 0.959925 -0.0637245 -0.706325 -0.278806 0.142316 0.949744 0.980585 0 0 0 1 
26875431820006;0.554876;0.0360256;0.999991 0.000401623 0.00429972 -0.281973 -0.000395074 0.999999 -0.0015238 0.699145 -0.00430033 0.00152209 0.99999 0.573356 0 0 0 1 
26875431820007;0.383756;0.378236;0.999951 0.00418136 -0.00901999 0.00583619 -0.00374307 0.998837 0.0480723 0.0444018 0.0092105 -0.0480362 0.998803 0.0559657 0 0 0 1 
26875431820008;0.203498;0.0257329;0.965945 0.0512819 -0.253614 0.12014 -0.0285227 0.995293 0.0926179 0.0944862 0.257169 -0.0822301 0.962861 -0.985966 0 0 0 1 
26875431820009;0.180609;0.027153;0.978554 -0.156248 -0.134237 0.11345 0.152762 0.987609 -0.0359475 -0.354277 0.13819 0.0146703 0.990297 -0.386543 0 0 0 1 
26875431820010;0.462102;0.0298516;0.959803 -0.139496 -0.243554 0.724413 0.145769 0.989288 0.007833 -0.726335 0.239852 -0.0430207 0.969856 -0.941398 0 0 0 1 
26875431820011;0.575398;0.386549;0.986832 0.036923 0.157476 0.228415 -0.0459136 0.997493 0.0538407 0.0942747 -0.155094 -0.0603621 0.986054 0.837703 0 0 0 1 
26875431820012;0.688058;0.481072;0.990148 0.0846718 -0.111524 0.471583 -0.0708579 0.989938 0.122485 -0.168479 0.120773 -0.113376 0.986184 -0.499498 0 0 0 1 
26875431820013;0.421251;0.276487;0.988179 -0.150004 0.0316384 -0.173137 0.149343 0.988533 0.0223324 -0.52305 -0.0346256 -0.0173435 0.99925 -0.254739 0 0 0 1 
