#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 20 -i 40 
id;initial_error;final_error;transformation
1807261650000;0.252801;0.148565;0.996256 0.0215209 0.0837352 -0.125144 -0.0182674 0.999055 -0.039429 0.132988 -0.0845046 0.0377517 0.995708 0.182172 0 0 0 1 
1807261650001;0.370505;0.0961657;0.971448 0.125347 0.201437 -0.0660903 -0.163832 0.968521 0.18742 0.53823 -0.171603 -0.215071 0.961404 0.857196 0 0 0 1 
1807261650002;0.611698;0.186034;0.99991 0.0132612 -0.00187577 0.140914 -0.0133077 0.999534 -0.0274896 -0.611576 0.00151035 0.0275121 0.99962 0.567733 0 0 0 1 
1807261650003;0.65444;0.274435;0.964049 0.259865 -0.0554937 0.282486 -0.255128 0.963583 0.0801112 0.850732 0.0742909 -0.0630731 0.99524 -0.994298 0 0 0 1 
1807261650004;0.70178;0.266818;0.920905 0.341642 0.187655 0.0133604 -0.314636 0.935716 -0.159497 1.20511 -0.230083 0.0878384 0.969199 1.40366 0 0 0 1 
1807261650005;0.564667;0.103026;0.993092 -0.116917 0.00995604 0.119721 0.116981 0.993115 -0.00612139 -0.0401426 -0.0091718 0.00724377 0.999932 0.76805 0 0 0 1 
1807261650006;0.456118;0.124882;0.997174 -0.030063 -0.0688508 -0.215859 0.0195287 0.988666 -0.148854 0.30937 0.0725455 0.147089 0.986459 -0.687452 0 0 0 1 
1807261650007;0.0911852;0.0383928;0.997375 0.0151769 0.0707962 -0.117667 -0.01624 0.999764 0.0144636 0.04615 -0.0705599 -0.0155754 0.997386 0.288244 0 0 0 1 
1807261650008;0.628711;0.20795;0.957222 -0.0400072 0.286576 0.660148 0.00350316 0.991925 0.126776 -0.239072 -0.289334 -0.120349 0.949633 0.749169 0 0 0 1 
1807261650009;0.268333;0.267182;0.986231 -0.165259 -0.00622884 0.0432246 0.165234 0.986245 -0.00430634 -0.334013 0.00685482 0.00321783 0.999971 -0.106108 0 0 0 1 
1807261650010;0.71038;0.237295;0.950902 0.309253 0.012122 0.0908718 -0.309285 0.950969 0.000805673 0.928531 -0.0112785 -0.00451527 0.999926 -0.85208 0 0 0 1 
1807261650011;0.818748;0.228681;0.917043 0.398746 -0.00585419 0.0244928 -0.398769 0.917045 -0.00339062 1.4666 0.00401656 0.00544381 0.999977 -0.883284 0 0 0 1 
1807261650012;0.646177;0.0414938;0.999989 -0.000955523 0.00458093 0.174294 0.00118959 0.998679 -0.0513678 -0.602354 -0.0045258 0.0513727 0.998669 -0.707656 0 0 0 1 
1807261650013;0.5425;0.0939527;0.988953 0.0333645 -0.144426 0.059516 -0.0406226 0.99804 -0.0476007 -0.0264427 0.142555 0.0529418 0.98837 -1.20049 0 0 0 1 
1807261650014;0.402811;0.15645;0.94923 0.179547 -0.258312 0.30388 -0.149373 0.979903 0.132202 0.383023 0.276858 -0.0869051 0.956973 -1.37458 0 0 0 1 
1807261650015;0.62098;0.304903;0.936914 -0.289615 0.195744 0.367103 0.288702 0.956821 0.0338249 -0.408607 -0.197088 0.0248206 0.980072 1.2812 0 0 0 1 
1807261650016;0.314215;0.187326;0.993909 0.0961579 -0.0538322 -0.0353203 -0.0938844 0.994642 0.0432828 0.396036 0.0577057 -0.0379652 0.997611 -0.0141605 0 0 0 1 
1807261650017;0.544853;0.186089;0.952894 0.0958851 -0.287748 0.198381 -0.19206 0.925028 -0.327774 0.743248 0.234746 0.367599 0.89987 -1.083 0 0 0 1 
1807261650018;0.870541;0.277766;0.902267 0.412518 0.12547 0.0697682 -0.40515 0.910685 -0.0806588 1.67726 -0.147537 0.0219415 0.988813 1.21978 0 0 0 1 
1807261650019;0.408282;0.166883;0.973768 0.227532 -0.00221428 -0.260097 -0.22754 0.973759 -0.00442675 0.561493 0.00114895 0.00481447 0.999988 0.32725 0 0 0 1 
1807261650020;0.378251;0.132756;0.965347 0.00789805 -0.260849 0.08486 -0.100131 0.934248 -0.342278 0.324445 0.240994 0.356537 0.902665 -0.909188 0 0 0 1 
1807261650021;0.0584465;0.0919011;0.999488 0.021615 -0.0235746 0.00228215 -0.0215491 0.999763 0.00304368 -0.0775672 0.0236348 -0.00253411 0.999717 -0.0490872 0 0 0 1 
1807261650022;0.492617;0.182045;0.980764 -0.10091 -0.167089 0.219802 0.087232 0.992357 -0.0872858 -0.0831875 0.17462 0.0710313 0.98207 -1.15991 0 0 0 1 
1807261650023;0.436303;0.236504;0.949141 0.313559 0.0284853 -0.0102328 -0.314274 0.94899 0.0254923 1.0819 -0.0190389 -0.0331479 0.999269 0.157967 0 0 0 1 
1807261650024;0.611538;0.18111;0.996258 -0.00953442 0.0859004 0.0935941 0.0158774 0.997171 -0.0734637 0.367005 -0.084957 0.0745527 0.993592 -0.398277 0 0 0 1 
1807261650025;0.222007;0.152421;0.99264 -0.0904449 -0.0805331 -0.0838199 0.079215 0.987928 -0.133127 -0.207541 0.0916016 0.125768 0.987822 -0.119868 0 0 0 1 
1807261650026;0.125003;0.0232852;0.998054 -0.00913057 -0.0616857 -0.148365 0.00247517 0.994243 -0.107118 0.0413126 0.0623087 0.106757 0.992331 -0.0873173 0 0 0 1 
1807261650027;0.446617;0.281589;0.940281 -0.333805 0.0666802 0.221878 0.326968 0.940164 0.0958315 -0.9469 -0.0946793 -0.0683062 0.993162 0.406234 0 0 0 1 
1807261650028;0.18577;0.162377;0.981304 0.181614 -0.0637163 0.101476 -0.183656 0.982599 -0.0277563 0.303449 0.0575667 0.0389392 0.997582 -0.190566 0 0 0 1 
1807261650029;0.503137;0.189317;0.988436 0.0745419 -0.132053 0.160922 -0.103591 0.967891 -0.229031 0.735766 0.110741 0.240062 0.96442 -0.259407 0 0 0 1 
1807261650031;0.869936;0.814981;0.999876 0.0138825 -0.00746059 0.0877711 -0.0116977 0.970952 0.238989 -0.0646685 0.0105616 -0.238872 0.970994 -0.948078 0 0 0 1 
1807261650032;0.361529;0.252017;0.975224 -0.00335274 -0.221196 0.0292504 -0.0368635 0.983442 -0.177432 0.153208 0.218129 0.18119 0.958952 0.291927 0 0 0 1 
1807261650033;0.495733;0.466518;0.998757 0.0162085 0.0471347 0.0261625 -0.0160139 0.999862 -0.00450377 0.0841726 -0.0472012 0.00374337 0.998878 0.0429267 0 0 0 1 
1807261650034;1.09057;0.840296;0.998812 0.0373763 -0.0312538 0.166452 -0.0390714 0.997693 -0.0555092 0.189777 0.029107 0.0566644 0.997969 0.70269 0 0 0 1 
1807261650035;0.885672;0.844998;0.99075 0.0552297 -0.123953 0.195977 -0.0368341 0.988588 0.146071 0.185275 0.130606 -0.140154 0.981478 -0.086143 0 0 0 1 
1807261650036;0.893017;0.233094;0.988015 0.0295069 0.151512 0.121984 -0.0418275 0.996014 0.0787854 0.186517 -0.148584 -0.0841785 0.985311 0.725828 0 0 0 1 
1807261650037;0.513994;0.394272;0.999946 0.00393082 0.00959055 0.110689 -0.0046768 0.99686 0.0790435 0.17527 -0.00924974 -0.0790841 0.996825 -0.503487 0 0 0 1 
1807261650038;0.984234;0.50619;0.920584 0.04291 0.388181 -0.0478542 -0.0222291 0.998091 -0.0576131 0.457088 -0.389912 0.0444087 0.919781 -0.231387 0 0 0 1 
1807261650039;0.787771;0.266922;0.98716 0.0538161 0.150398 0.113699 -0.032405 0.989429 -0.141348 0.289275 -0.156415 0.134659 0.978469 -0.136114 0 0 0 1 
1807261650040;0.449489;0.130671;0.972355 0.000743554 0.233506 0.00307856 -0.00892559 0.999382 0.0339852 0.0963038 -0.233336 -0.0351299 0.971761 0.540531 0 0 0 1 
1807261650041;0.636202;0.277766;0.999874 0.0148945 -0.00544024 0.15356 -0.014874 0.999882 0.00380032 0.338407 0.0054962 -0.00371892 0.999978 -0.330654 0 0 0 1 
1807261650042;0.394001;0.305263;0.999912 0.00783729 -0.0107351 -0.0535497 -0.00796395 0.999899 -0.0118072 0.0983746 0.0106415 0.0118917 0.999873 0.0699165 0 0 0 1 
1807261650043;0.493104;0.267212;0.968867 0.038859 0.244512 0.143902 -0.0417707 0.999105 0.00673218 0.233468 -0.244031 -0.016736 0.969623 0.261446 0 0 0 1 
1807261650044;0.603128;0.451344;0.999492 0.0245608 -0.0203291 0.00669236 -0.0243726 0.999658 0.00945355 0.154929 0.0205544 -0.00895327 0.999749 -0.435032 0 0 0 1 
1807261650045;0.822026;0.351644;0.993406 -0.0340625 -0.109472 -0.0404614 0.0737519 0.920916 0.382719 -0.361436 0.0877779 -0.388269 0.917356 -1.85393 0 0 0 1 
1807261650046;0.726796;0.544485;0.999447 -0.0171157 -0.0285076 -0.0600206 0.013676 0.993066 -0.116761 0.0933323 0.0303084 0.116307 0.992751 0.777878 0 0 0 1 
1807261650047;0.841796;0.484273;0.998158 -0.0120555 -0.0594556 -0.0318153 0.0110915 0.999802 -0.0165161 0.13079 0.059643 0.0158262 0.998094 0.640817 0 0 0 1 
1807261650048;0.923373;0.0689496;0.984317 0.0132294 0.175913 0.0769215 -0.0482255 0.979379 0.196191 0.180858 -0.16969 -0.201598 0.964657 0.419764 0 0 0 1 
1807261650049;0.894299;0.773629;0.967367 0.00736858 0.253272 0.0573084 -0.0323531 0.994987 0.0946246 0.125711 -0.251305 -0.0997309 0.962756 0.511963 0 0 0 1 
