#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/urban05_local.txt /home/point_clouds_registration_benchmark//kaist/urban05 -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 20 -i 40 
id;initial_error;final_error;transformation
34562489690000;0.13992;0.474505;0.999948 6.6801e-05 0.0102228 -504.199 -5.80535e-05 1 -0.000855977 46.7298 -0.0102229 0.000855338 0.999947 298.185 0 0 0 1 
34562489690001;0.182436;0.48138;1 2.73006e-06 -0.000212105 -25.0478 -2.72593e-06 1 1.94673e-05 3.82929 0.000212105 -1.94667e-05 1 6.71838 0 0 0 1 
34562489690002;0.400034;0.820415;0.998115 9.43266e-05 -0.0613664 571.294 0.000230087 0.999986 0.00527942 -53.9247 0.061366 -0.00528359 0.998101 -594.535 0 0 0 1 
34562489690003;0.381518;0.85806;0.984936 0.00207174 -0.172909 -6064.53 0.000508059 0.999889 0.0148744 526.522 0.17292 -0.0147382 0.984826 -2881.07 0 0 0 1 
34562489690004;0.467995;0.908703;1 -1.75952e-07 4.54851e-07 -1.28257 1.75952e-07 1 4.83834e-08 3.80904 -4.54851e-07 -4.83833e-08 1 -0.289491 0 0 0 1 
34562489690005;0.423309;0.853049;1 -2.16848e-07 9.55785e-07 -1.72355 2.16848e-07 1 7.49093e-08 3.4925 -9.55785e-07 -7.4909e-08 1 -0.517106 0 0 0 1 
34562489690006;0.190415;0.475537;0.997372 -0.000277237 0.0724484 4064.18 0.000768202 0.999977 -0.00674897 -356.529 -0.0724449 0.00678689 0.997349 -3718.95 0 0 0 1 
34562489690007;0.167146;0.259497;0.999845 1.51323e-05 0.0175965 -15.6083 1.17608e-05 0.999999 -0.00152821 2.31434 -0.0175965 0.00152818 0.999844 64.315 0 0 0 1 
34562489690008;0.102809;0.105787;1 -5.26481e-07 5.6731e-06 3.87396 5.26482e-07 1 -1.74605e-07 -0.633344 -5.6731e-06 1.74608e-07 1 2.37843 0 0 0 1 
34562489690009;0.0509686;0.160939;1 -1.55246e-06 -8.95235e-09 12.1127 1.55246e-06 1 -3.78253e-07 -2.53889 8.95294e-09 3.78253e-07 1 -3.01008 0 0 0 1 
34562489690010;0.0869115;0.27887;1 7.72785e-07 -1.54898e-05 -7.28102 -7.72767e-07 1 1.21138e-06 2.58698 1.54898e-05 -1.21136e-06 1 -1.41731 0 0 0 1 
34562489690011;0.0782188;0.429404;0.999098 0.000193172 -0.0424742 -916.019 -3.45425e-05 0.999993 0.00373543 82.8979 0.0424746 -0.00373059 0.999091 180.226 0 0 0 1 
34562489690012;0.0495854;0.0915307;0.999999 1.06866e-07 0.001601 -0.409678 1.16836e-07 1 -0.000139726 -0.30063 -0.001601 0.000139726 0.999999 0.121824 0 0 0 1 
34562489690013;0.0622498;0.745051;1 1.30796e-05 0.0001285 -104.689 -1.30788e-05 1 -6.9134e-06 15.5924 -0.0001285 6.91172e-06 1 34.8574 0 0 0 1 
34562489690014;0.30978;0.612746;1 -1.76625e-07 3.53872e-07 -1.115 1.76625e-07 1 4.66426e-08 3.0835 -3.53872e-07 -4.66425e-08 1 -0.254193 0 0 0 1 
34562489690015;0.264634;1.12732;1 -1.82186e-07 4.09366e-07 -1.81475 1.82186e-07 1 -4.1237e-09 -8.44622 -4.09366e-07 4.12377e-09 1 0.0419344 0 0 0 1 
34562489690016;0.0384264;0.124132;1 3.09717e-06 9.73759e-05 -25.1831 -3.09664e-06 1 -5.45604e-06 3.17592 -9.7376e-05 5.45573e-06 1 24.3936 0 0 0 1 
34562489690017;0.317284;0.422095;1 -1.30949e-07 2.58859e-07 -1.14661 1.30949e-07 1 3.78385e-08 -1.84864 -2.58859e-07 -3.78384e-08 1 -0.270198 0 0 0 1 
34562489690018;0.287954;1.14371;1 2.4577e-06 0.000121752 -20.4952 -2.45678e-06 1 -7.59169e-06 11.0219 -0.000121752 7.59139e-06 1 24.1093 0 0 0 1 
34562489690019;0.362659;0.555675;0.991305 9.98891e-05 0.131587 5283.23 0.00148167 0.999928 -0.0119211 -462.032 -0.131579 0.0120125 0.991233 -4225.03 0 0 0 1 
34562489690020;0.112961;0.0899461;0.999967 -1.99175e-05 -0.00812852 183.979 2.60937e-05 1 0.000759711 -16.937 0.0081285 -0.000759898 0.999967 403.288 0 0 0 1 
34562489690021;0.197833;0.324186;1 -1.77566e-08 -4.8043e-07 -0.210602 1.77566e-08 1 -2.54483e-08 -1.82807 4.8043e-07 2.54483e-08 1 0.153831 0 0 0 1 
34562489690022;0.278308;0.666986;0.998895 6.27156e-05 0.0469987 262.374 0.000131657 0.999991 -0.00413259 -26.7944 -0.0469986 0.00413421 0.998886 -249.419 0 0 0 1 
34562489690023;0.193536;0.35633;0.997497 0.000792764 -0.0706977 -4612.56 -0.000342789 0.99998 0.00637669 404.161 0.0707013 -0.0063365 0.997477 1320.24 0 0 0 1 
34562489690024;0.347959;0.262004;0.998787 -1.57744e-05 0.0492296 970.304 0.000227054 0.999991 -0.00428613 -85.9682 -0.0492291 0.00429211 0.998778 44.5914 0 0 0 1 
34562489690025;0.302077;0.723708;0.997891 0.00018044 -0.0649177 35.9356 0.000188026 0.999984 0.00566973 -0.535848 0.0649177 -0.00566998 0.997875 19.1066 0 0 0 1 
34562489690026;0.218188;0.450498;0.999484 4.53637e-05 0.0321245 -10.6786 4.46e-05 0.999996 -0.00279975 2.8155 -0.0321245 0.00279973 0.99948 38.5166 0 0 0 1 
34562489690027;0.18191;0.567187;0.993674 0.000263658 -0.112303 2337.59 0.000868633 0.999949 0.0100335 -198.869 0.1123 -0.0100675 0.993623 2119.78 0 0 0 1 
34562489690028;0.340963;1.3227;0.999962 -1.08472e-06 0.00872107 28.4141 7.71545e-06 1 -0.000760277 -12.1047 -0.00872107 0.000760315 0.999962 8.21835 0 0 0 1 
34562489690029;0.238574;0.278008;0.999998 1.11632e-06 0.00223367 -7.78264 -6.82587e-07 1 -0.000194181 -0.743476 -0.00223367 0.000194179 0.999997 6.81253 0 0 0 1 
34562489690031;0.530935;0.645723;0.999845 2.0477e-05 -0.0176071 -52.4249 6.5049e-06 0.999999 0.00153239 4.85718 0.0176071 -0.00153226 0.999844 -38.171 0 0 0 1 
34562489690032;0.306555;0.562721;0.990114 0.000862206 0.140261 -12.5865 0.000862741 0.999925 -0.0122369 0.178803 -0.140261 0.0122369 0.990039 62.7663 0 0 0 1 
34562489690033;0.46032;0.696982;0.999635 3.1466e-05 -0.0270158 7.55766 3.22125e-05 0.999997 0.00235665 0.393557 0.0270158 -0.00235666 0.999632 -14.6829 0 0 0 1 
34562489690034;0.385219;1.62963;0.998617 0.00013469 -0.052565 -101.669 0.000106141 0.99999 0.00457876 12.2353 0.0525651 -0.00457801 0.998607 -87.8447 0 0 0 1 
34562489690035;0.341621;0.647195;0.98404 0.0013989 0.177942 -69.0424 0.00138708 0.999878 -0.0155313 4.83036 -0.177942 0.0155303 0.983918 34.2497 0 0 0 1 
34562489690036;0.158469;0.115194;0.997044 0.000260689 -0.0768264 -10.2684 0.000254971 0.999978 0.00670212 0.714122 0.0768265 -0.0067019 0.997022 -39.2254 0 0 0 1 
34562489690037;0.364175;0.413652;0.994887 0.000433853 -0.100989 115.84 0.000460299 0.999961 0.00883046 -10.5818 0.100989 -0.0088318 0.994848 124.828 0 0 0 1 
34562489690038;0.437441;1.08826;0.993605 0.000572215 0.112909 -125.297 0.000543981 0.999951 -0.00985471 12.8777 -0.11291 0.00985311 0.993556 31.6275 0 0 0 1 
34562489690039;0.392147;0.49226;0.998548 0.000125303 0.0538761 4.87801 0.000128253 0.999989 -0.00470279 -1.37826 -0.0538761 0.00470287 0.998537 4.05239 0 0 0 1 
34562489690040;0.283513;0.477257;0.998845 0.000107534 -0.0480478 -46.0632 9.40478e-05 0.999991 0.00419317 3.67961 0.0480478 -0.00419285 0.998836 -14.2571 0 0 0 1 
34562489690041;0.287266;0.62574;0.995058 0.000442934 -0.0992987 -77.1736 0.000419896 0.999962 0.00866818 7.59363 0.0992988 -0.00866703 0.99502 -13.1114 0 0 0 1 
34562489690042;0.329992;1.22023;0.995238 0.000428082 0.0974708 -110.738 0.000403058 0.999964 -0.00850722 11.9781 -0.097471 0.008506 0.995202 25.8836 0 0 0 1 
34562489690043;0.516204;0.810276;0.999307 6.59383e-05 -0.03722 -37.6134 5.49093e-05 0.999995 0.00324582 3.65206 0.03722 -0.00324561 0.999302 -29.0871 0 0 0 1 
34562489690044;0.236329;0.182632;1 7.12293e-08 -8.16734e-05 -0.413603 -7.06527e-08 1 7.06013e-06 -0.0136206 8.16734e-05 -7.06012e-06 1 -0.844817 0 0 0 1 
34562489690045;0.316589;0.367212;1 4.15185e-08 -5.57118e-05 -0.148048 -4.1247e-08 1 4.87168e-06 -0.265492 5.57118e-05 -4.87168e-06 1 -0.0593738 0 0 0 1 
34562489690046;0.376135;0.350629;1 4.73945e-08 -1.36637e-05 -0.0818087 -4.73785e-08 1 1.17266e-06 -0.0743429 1.36637e-05 -1.17266e-06 1 -0.585051 0 0 0 1 
34562489690047;0.485231;0.420481;0.99968 2.77919e-05 -0.0253125 5.38763 2.81288e-05 0.999998 0.00220886 -0.375332 0.0253125 -0.00220886 0.999677 -7.83108 0 0 0 1 
34562489690048;0.199981;0.213467;0.999975 2.53582e-06 -0.00713762 -0.955081 1.89967e-06 1 0.000621418 0.351548 0.00713762 -0.000621415 0.999974 -13.4636 0 0 0 1 
34562489690049;0.208318;0.212729;0.994618 0.000471054 -0.103611 5.0597 0.00046837 0.999959 0.00904228 -0.392465 0.103612 -0.00904214 0.994577 -23.9299 0 0 0 1 
34562489690050;0.378047;0.562828;0.990176 0.000866522 -0.139823 -51.1017 0.000848484 0.999925 0.0122055 4.52084 0.139823 -0.0122042 0.990101 -16.9111 0 0 0 1 
34562489690051;0.381473;0.696112;0.999738 2.55122e-05 0.0229103 -22.7519 2.02695e-05 0.999998 -0.00199807 2.58611 -0.0229103 0.00199801 0.999736 16.2916 0 0 0 1 
34562489690052;0.123011;0.589662;0.999192 7.97294e-05 -0.0402013 -66.2051 6.1243e-05 0.999994 0.00350542 5.82053 0.0402013 -0.00350505 0.999185 -36.0919 0 0 0 1 
34562489690053;0.447449;0.802844;0.999943 8.25364e-06 0.0107169 -26.1609 1.75914e-06 1 -0.00093429 3.15757 -0.0107169 0.000934255 0.999942 10.5232 0 0 0 1 
34562489690054;0.341689;0.69535;0.998988 9.65896e-05 -0.0449812 -58.2186 8.00903e-05 0.999992 0.00392604 5.14974 0.0449812 -0.00392567 0.99898 -9.49706 0 0 0 1 
34562489690055;0.435439;0.832146;0.999648 3.73874e-05 -0.0265478 -47.8272 2.39935e-05 0.999997 0.00231177 4.17396 0.0265478 -0.00231159 0.999645 -47.8003 0 0 0 1 
34562489690056;0.453077;0.508849;0.939866 0.00526212 -0.341502 -51.3053 0.00523521 0.999542 0.0298098 5.96046 0.341503 -0.029805 0.939408 -54.7554 0 0 0 1 
34562489690057;0.243925;1.39928;0.99959 2.58577e-05 0.0286234 77.1066 4.60245e-05 0.999997 -0.00251065 -10.9065 -0.0286233 0.00251094 0.999587 -97.4421 0 0 0 1 
34562489690058;0.299623;0.663833;0.988426 0.00102007 0.151699 -97.6792 0.000999618 0.999912 -0.013237 9.33174 -0.151699 0.0132354 0.988338 63.6672 0 0 0 1 
34562489690059;0.121954;0.116024;0.999952 3.76952e-06 -0.00978249 5.00807 4.57758e-06 1 0.000853247 -0.603879 0.00978249 -0.000853251 0.999952 -6.57095 0 0 0 1 
34562489690060;0.336224;0.838358;0.999115 8.40008e-05 0.0420684 -57.3546 7.05065e-05 0.999993 -0.00367127 5.21581 -0.0420684 0.00367098 0.999108 12.8706 0 0 0 1 
34562489690062;0.450678;0.388851;0.991828 0.000713204 0.127584 -14.5193 0.000713545 0.999938 -0.0111368 -0.362749 -0.127584 0.0111368 0.991765 30.5468 0 0 0 1 
34562489690063;0.504888;1.43974;0.980681 0.00164158 0.195609 338.354 0.00170435 0.999855 -0.0169356 -33.032 -0.195609 0.0169418 0.980536 1117.69 0 0 0 1 
34562489690064;0.452148;0.441594;1 -7.74732e-08 2.92123e-05 0.215609 7.75868e-08 1 -3.88855e-06 -0.82784 -2.92123e-05 3.88855e-06 1 -10.8114 0 0 0 1 
34562489690065;0.324911;0.381455;1 3.07525e-09 -2.99996e-07 -0.0336845 -3.07524e-09 1 5.10438e-08 -0.618094 2.99996e-07 -5.10438e-08 1 0.570427 0 0 0 1 
34562489690066;0.34336;0.5253;0.996958 0.000266297 0.0779377 -15.9632 0.000264506 0.999977 -0.00680021 0.336617 -0.0779377 0.00680014 0.996935 42.8044 0 0 0 1 
34562489690067;0.18061;0.392103;0.999954 2.86083e-06 0.00963644 8.09973 5.23571e-06 1 -0.000840174 -1.70063 -0.00963644 0.000840185 0.999953 10.3606 0 0 0 1 
34562489690068;0.143206;2.65335;0.999759 3.13166e-05 0.0219345 -85.2582 1.06073e-05 0.999998 -0.0019112 0.198458 -0.0219345 0.00191097 0.999758 34.8657 0 0 0 1 
34562489690069;0.265071;0.350438;0.999943 7.2829e-06 0.010665 -20.0892 2.60611e-06 1 -0.000927227 0.882642 -0.010665 0.000927202 0.999943 31.8767 0 0 0 1 
34562489690070;0.337998;0.600086;0.90991 0.00787242 -0.41473 10.6934 0.0078587 0.999313 0.0362108 -2.44455 0.414731 -0.0362079 0.909224 -35.8619 0 0 0 1 
34562489690071;0.291767;0.179645;1 1.28166e-08 -6.72503e-06 0.225536 -1.28125e-08 1 6.23483e-07 -0.335494 6.72503e-06 -6.23483e-07 1 1.01961 0 0 0 1 
34562489690072;0.432542;0.964641;0.949079 0.00444235 0.315007 -11.6958 0.00444884 0.999612 -0.0275007 -1.4417 -0.315007 0.0275018 0.948691 42.0219 0 0 0 1 
34562489690073;0.333627;0.304089;0.999158 7.47205e-05 -0.0410394 -3.5346 7.23797e-05 0.999994 0.00358287 -0.0722505 0.0410394 -0.00358282 0.999151 -6.00437 0 0 0 1 
34562489690074;0.333091;2.32574;0.995869 0.000368177 0.0908011 -69.93 0.000359483 0.999968 -0.00799729 0.218104 -0.0908012 0.0079969 0.995837 -548.38 0 0 0 1 
34562489690075;0.300984;0.602481;0.967468 0.00284874 -0.252976 -29.8735 0.00283074 0.999752 0.0220838 0.862125 0.252976 -0.0220815 0.96722 -61.1981 0 0 0 1 
34562489690076;0.255405;0.555871;0.999571 3.59772e-05 0.0292981 7.80025 3.89768e-05 0.999997 -0.00255775 -1.53959 -0.0292981 0.00255779 0.999567 4.57787 0 0 0 1 
34562489690077;0.37018;0.517589;0.891072 0.00945421 -0.453764 524.554 0.00954746 0.999171 0.0395665 -47.3045 0.453762 -0.0395889 0.890243 -251.427 0 0 0 1 
34562489690078;0.123389;0.245317;1 1.57108e-08 -0.000327542 0.142265 -6.41539e-09 1 2.83792e-05 -0.5523 0.000327542 -2.83792e-05 1 -1.79551 0 0 0 1 
34562489690079;0.437756;1.78323;0.998097 0.000182226 -0.0616693 -117.746 0.000150324 0.999985 0.00538779 6.6036 0.0616694 -0.0053868 0.998082 15.2874 0 0 0 1 
34562489690080;0.248888;0.694239;0.998814 0.000105732 -0.0486972 -9.90519 0.000101422 0.999991 0.00425143 -0.692844 0.0486972 -0.00425132 0.998805 -6.76294 0 0 0 1 
34562489690081;0.238106;0.539786;0.999811 1.35037e-05 0.0194327 21.0935 1.93959e-05 0.999999 -0.00169281 -3.2256 -0.0194327 0.00169287 0.99981 31.7777 0 0 0 1 
34562489690082;0.176775;0.764024;0.978818 0.00185311 0.204722 -57.0868 0.0018457 0.999839 -0.0178751 3.00773 -0.204722 0.0178743 0.978657 17.0788 0 0 0 1 
34562489690083;0.334152;2.32104;0.999991 1.44474e-05 0.0042304 -110.959 -1.29141e-05 1 -0.000362466 2.73165 -0.0042304 0.000362408 0.999991 56.9585 0 0 0 1 
34562489690084;0.376441;0.371709;0.999058 8.49356e-05 -0.0433908 -15.3382 7.94833e-05 0.999993 0.00378752 1.30184 0.0433908 -0.0037874 0.999051 -11.4107 0 0 0 1 
34562489690085;0.162081;0.145668;1 -1.33992e-09 -3.62487e-05 0.100245 1.45214e-09 1 3.09571e-06 -0.22668 3.62487e-05 -3.09571e-06 1 -0.721287 0 0 0 1 
34562489690086;0.435379;0.579419;0.999508 4.21464e-05 0.0313725 2.25499 4.37992e-05 0.999996 -0.00273883 -1.10402 -0.0313725 0.00273886 0.999504 5.3663 0 0 0 1 
34562489690087;0.326485;0.301373;1 4.91571e-07 0.000279638 -3.97903 -4.84801e-07 1 -2.42115e-05 -0.401823 -0.000279638 2.42114e-05 1 1.648 0 0 0 1 
34562489690088;0.343468;0.380205;0.999815 1.72773e-05 -0.0192404 -6.03211 1.50197e-05 0.999999 0.00167846 0.0922214 0.0192404 -0.00167844 0.999813 -12.6908 0 0 0 1 
34562489690089;0.181879;0.24751;0.99467 0.00046649 -0.103108 5.36006 0.000464157 0.999959 0.00900178 -1.13599 0.103108 -0.00900166 0.994629 -11.995 0 0 0 1 
34562489690090;0.274172;0.75316;0.977939 0.00192817 -0.20888 13.7781 0.00192364 0.999832 0.0182356 -3.00049 0.20888 -0.0182351 0.977771 -29.5673 0 0 0 1 
34562489690091;0.516972;0.825571;0.999982 6.98637e-06 0.00604443 -42.4456 -3.80456e-06 1 -0.000526414 2.77303 -0.00604443 0.000526382 0.999982 10.5594 0 0 0 1 
34562489690093;0.4248;0.607423;0.999985 1.42017e-06 0.00547266 -2.38988 1.16161e-06 1 -0.000471756 2.93219 -0.00547266 0.000471755 0.999985 50.1142 0 0 0 1 
34562489690094;0.0934313;0.124225;0.999195 7.99575e-05 0.0401259 -83.2741 6.04794e-05 0.999994 -0.00349868 8.45199 -0.0401259 0.00349829 0.999189 40.0648 0 0 0 1 
34562489690095;0.144672;0.289639;0.999964 0.000120897 0.00851891 -948.921 -0.000114922 1 -0.000701836 85.4484 -0.008519 0.000700831 0.999963 346.057 0 0 0 1 
34562489690096;0.228702;0.566088;0.997752 0.000173697 -0.0670118 188.312 0.000218775 0.999983 0.00584937 -13.8261 0.0670117 -0.00585089 0.997735 0.377118 0 0 0 1 
34562489690097;0.121961;0.313558;0.997774 -0.000151213 0.0666911 2768.39 0.000554119 0.999982 -0.00602292 -243.188 -0.0666889 0.00604646 0.997755 -1801.15 0 0 0 1 
34562489690098;0.286027;0.654246;0.999348 -0.000469383 0.036102 4226.04 0.00059098 0.999994 -0.00335756 -363.68 -0.0361002 0.00337671 0.999342 -1808.37 0 0 0 1 
34562489690099;0.0245713;0.0616212;0.999937 4.37078e-06 0.0112316 7.23564 6.63569e-06 1 -0.000979915 -1.21444 -0.0112316 0.000979928 0.999936 5.39787 0 0 0 1 
34562489690100;0.214406;0.418924;0.988167 0.00320939 -0.153346 -17488.4 -0.00139041 0.999927 0.0119677 1562.67 0.153373 -0.0116129 0.9881 -14304.9 0 0 0 1 
34562489690101;0.290539;1.06632;0.992372 -0.000498246 0.123281 9344.84 0.00178349 0.999945 -0.0103152 -802.531 -0.123269 0.0104564 0.992318 2463.84 0 0 0 1 
34562489690102;0.160438;0.246262;0.991411 0.00101488 -0.130782 -2112.98 0.000406832 0.999941 0.0108437 184.414 0.130785 -0.0108037 0.991352 -4947.99 0 0 0 1 
34562489690103;0.385248;0.715695;0.994938 0.00042787 0.100495 97.2388 0.000505985 0.999957 -0.00926692 -11.8546 -0.100494 0.00927085 0.994894 -3995.79 0 0 0 1 
34562489690104;0.150227;0.280158;0.999555 3.32045e-05 0.0298328 39.934 4.46417e-05 0.999997 -0.00260874 -5.05769 -0.0298328 0.00260891 0.999551 -34.2475 0 0 0 1 
34562489690105;0.212702;0.252205;0.999462 4.41297e-05 0.0327847 16.8298 4.97004e-05 0.999996 -0.00286119 -2.77085 -0.0327847 0.00286128 0.999458 8.25523 0 0 0 1 
