#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_summer_local.txt /home/point_clouds_registration_benchmark//eth/wood_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 20 -i 40 
id;initial_error;final_error;transformation
2318808360000;0.0774618;0.019224;0.997904 0.0438873 0.0475463 -0.490777 -0.0437416 0.999034 -0.00410069 0.473189 -0.0476803 0.00201234 0.998861 0.337118 0 0 0 1 
2318808360001;0.306883;0.0185467;0.997552 0.0680187 -0.0162021 -0.111425 -0.0682895 0.997524 -0.016788 0.582489 0.0150201 0.0178533 0.999728 -0.443145 0 0 0 1 
2318808360002;0.495258;0.343079;0.985747 -0.15453 -0.0665074 1.6685 0.156621 0.987278 0.0274371 -1.20345 0.0614214 -0.0374625 0.997409 0.435232 0 0 0 1 
2318808360003;0.524546;0.362776;0.997459 -0.070674 0.00901304 0.49821 0.069771 0.994567 0.0772573 -0.785916 -0.0144242 -0.0764321 0.99697 0.670448 0 0 0 1 
2318808360004;0.20511;0.0150213;0.99777 -0.0628264 0.0225448 0.623278 0.0627571 0.998022 0.00376809 -0.526527 -0.0227369 -0.00234484 0.999739 -0.193103 0 0 0 1 
2318808360005;0.440296;0.292366;0.998087 -0.0261953 -0.0560034 0.346455 0.0345098 0.987611 0.15308 -0.647958 0.0512996 -0.15472 0.986626 0.716529 0 0 0 1 
2318808360006;0.169359;0.027075;0.9962 -0.0829728 0.0264903 0.996398 0.0834982 0.996319 -0.0193803 -0.420856 -0.0247847 0.0215186 0.999461 0.0938355 0 0 0 1 
2318808360007;0.299345;0.264053;0.999511 -0.0287749 0.0122309 0.19493 0.0286652 0.999548 0.00905518 -0.29131 -0.012486 -0.00870016 0.999884 0.122116 0 0 0 1 
2318808360008;0.34518;0.261234;0.994252 0.0579534 0.0900286 -0.805423 -0.0630528 0.996501 0.0548684 0.330672 -0.0865338 -0.0602295 0.994427 1.50318 0 0 0 1 
2318808360009;0.553788;0.435056;0.997023 0.0637458 0.0433691 -0.623399 -0.0637988 0.997963 -0.000164046 0.344308 -0.0432912 -0.00260334 0.999059 0.506588 0 0 0 1 
2318808360010;0.296129;0.0229737;0.992411 -0.122961 0.00124494 1.18569 0.12282 0.991663 0.0389801 -1.22018 -0.00602761 -0.0385314 0.999239 -0.00601391 0 0 0 1 
2318808360011;0.267088;0.023213;0.97431 -0.191022 0.11929 2.14054 0.178187 0.977784 0.110398 -1.28182 -0.137729 -0.0863055 0.986703 2.31475 0 0 0 1 
2318808360012;0.117207;0.0274955;0.996857 -0.00274068 -0.0791729 0.0473674 0.0064983 0.998862 0.0472424 -0.197568 0.0789534 -0.0476084 0.995741 -0.280704 0 0 0 1 
2318808360013;0.297157;0.0132781;0.997077 -0.0483083 0.0591905 -0.0343741 0.0503449 0.998173 -0.0334119 -0.61671 -0.0574683 0.0362942 0.997687 -0.0497268 0 0 0 1 
2318808360014;0.320442;0.014469;0.999962 0.00871152 0.000806819 -0.0361363 -0.00871204 0.999962 0.000645767 0.0797956 -0.000801162 -0.000652772 0.999999 -0.63001 0 0 0 1 
2318808360015;0.329054;0.0267167;0.96253 0.241317 -0.123698 -2.11773 -0.253919 0.962169 -0.0987697 2.46681 0.0951841 0.126478 0.987392 -2.50833 0 0 0 1 
2318808360016;0.335073;0.0165303;0.999345 0.0361584 0.00170201 -0.284756 -0.0361685 0.999326 0.00635477 -0.0381459 -0.00147109 -0.00641217 0.999978 -0.502662 0 0 0 1 
2318808360017;0.483715;0.0162294;0.972093 0.229763 -0.0473745 -2.55179 -0.230147 0.973152 -0.00275935 1.80511 0.0454686 0.0135855 0.998873 0.206975 0 0 0 1 
2318808360018;0.313611;0.297586;0.999188 -0.0358065 -0.0184908 0.283116 0.0356813 0.999338 -0.00705748 -0.244036 0.0187313 0.00639197 0.999804 -0.177609 0 0 0 1 
2318808360019;0.502137;0.440295;0.999627 0.0126011 0.0242329 -0.152202 -0.0121613 0.99976 -0.0182093 -0.0799939 -0.0244565 0.0179078 0.99954 -0.136286 0 0 0 1 
2318808360020;0.421809;0.0193157;0.966022 0.0256475 0.257186 -0.580286 -0.00315922 0.996162 -0.0874746 0.250306 -0.258442 0.0836898 0.962395 0.529734 0 0 0 1 
2318808360021;0.393879;0.0262966;0.912258 -0.284379 -0.294812 4.15127 0.195826 0.934934 -0.295891 -0.88914 0.359775 0.212197 0.908589 -4.87239 0 0 0 1 
2318808360022;0.404256;0.025119;0.994975 0.0398443 -0.0918584 -0.333981 -0.0463373 0.996493 -0.0696709 1.16766 0.0887603 0.0735772 0.993332 -1.78945 0 0 0 1 
2318808360023;0.175152;0.0194559;0.979905 -0.187349 0.0684553 1.94123 0.190677 0.980585 -0.0457789 -1.25343 -0.0585496 0.0579118 0.996603 -0.126684 0 0 0 1 
2318808360024;0.438639;0.0121529;0.993073 0.0119078 -0.116898 -0.798719 -0.0246934 0.993785 -0.108543 0.390081 0.114879 0.110678 0.987195 -2.11534 0 0 0 1 
2318808360025;0.493149;0.0291079;0.985718 -0.168209 -0.0081093 1.69162 0.167901 0.985351 -0.0298704 -0.669214 0.013015 0.0280822 0.999521 0.340222 0 0 0 1 
2318808360026;0.26214;0.0226887;0.98091 0.0189316 -0.193538 -0.183619 -0.00626694 0.99781 0.0658413 -0.0381835 0.194361 -0.0633715 0.978881 -0.539535 0 0 0 1 
2318808360027;0.301824;0.275449;0.999218 0.0374624 0.0126186 -0.446196 -0.0366793 0.997676 -0.0574291 0.310008 -0.0147407 0.0569214 0.99827 -0.402143 0 0 0 1 
2318808360028;0.111442;0.022307;0.999153 -0.0278183 -0.0303341 0.312624 0.0314526 0.991431 0.12679 -0.37256 0.026547 -0.127637 0.991466 1.09026 0 0 0 1 
