#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/plain_local.txt /home/point_clouds_registration_benchmark//eth/plain -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 5 -i 40 
id;initial_error;final_error;transformation
4215528470000;0.567788;0.492397;0.962295 -0.0256683 0.270794 0.270718 0.00969461 0.998142 0.0601621 -0.0972352 -0.271835 -0.0552685 0.960756 1.95967 0 0 0 1 
4215528470001;0.547226;0.0806888;0.991916 0.0997533 -0.0784386 -0.586832 -0.0600276 0.913429 0.402547 0.833899 0.111803 -0.394584 0.912033 1.07872 0 0 0 1 
4215528470002;0.032832;0.0111496;0.999955 0.00687698 0.00646356 -0.0312145 -0.00688973 0.999974 0.00195209 0.0148897 -0.00644997 -0.00199653 0.999977 0.0484626 0 0 0 1 
4215528470003;0.731607;0.617612;0.996493 -0.0121627 0.0827862 0.0251175 0.0124039 0.99992 -0.00239953 -0.15877 -0.0827504 0.00341799 0.996564 0.364087 0 0 0 1 
4215528470004;0.518474;0.213368;0.965804 0.0821005 -0.24593 -0.226735 -0.0255933 0.974096 0.224681 0.216288 0.258005 -0.210704 0.942888 -0.236768 0 0 0 1 
4215528470005;0.0948906;0.054295;0.999563 0.0172745 0.0239832 -0.0940611 -0.0150388 0.995787 -0.0904581 0.152787 -0.0254448 0.0900579 0.995611 -0.290446 0 0 0 1 
4215528470006;0.93827;0.631302;0.998726 -0.0374938 -0.0337823 0.0307866 0.0237846 0.940059 -0.340182 0.115402 0.0445121 0.338945 0.939752 -1.44907 0 0 0 1 
4215528470007;0.649378;0.52496;0.994293 -0.0449019 -0.0967701 0.221907 0.00836777 0.937138 -0.34886 0.367987 0.106351 0.346059 0.932165 -1.96597 0 0 0 1 
4215528470008;0.524363;0.441673;0.962126 0.0177244 -0.27203 0.260644 -0.0566307 0.98911 -0.135847 0.469728 0.26666 0.146107 0.952652 -2.35592 0 0 0 1 
4215528470009;0.400063;0.395283;0.970408 -0.0335485 0.239128 0.147453 0.0463885 0.997757 -0.048269 -0.365802 -0.236973 0.0579335 0.969787 1.29872 0 0 0 1 
4215528470010;0.581956;0.519157;0.994036 -0.0573744 -0.0927396 0.465306 0.0295228 0.960237 -0.27762 0.114578 0.10498 0.273227 0.956204 -2.05676 0 0 0 1 
4215528470011;0.358216;0.161544;0.987333 -0.0755269 0.139534 0.317062 0.105461 0.969441 -0.221498 -0.553847 -0.118541 0.233407 0.965126 -0.121289 0 0 0 1 
4215528470012;0.581653;0.381736;0.984381 0.114173 -0.134011 -0.31912 -0.070854 0.953757 0.292109 0.499913 0.161165 -0.278051 0.94695 -0.0764057 0 0 0 1 
4215528470013;0.612837;0.0600498;0.982418 -0.0552829 0.178321 0.17017 0.0534229 0.998456 0.0152192 -0.297595 -0.178887 -0.0054252 0.983855 0.567356 0 0 0 1 
4215528470014;0.871128;0.646888;0.998929 -0.0154035 0.0436211 -0.0512401 0.0165028 0.999552 -0.0249539 -0.217509 -0.0432172 0.025647 0.998736 0.706623 0 0 0 1 
4215528470015;0.0605696;0.0316124;0.999931 0.000205635 0.0117105 0.0665206 -1.65501e-05 0.99987 -0.0161444 -0.0206406 -0.0117123 0.0161431 0.999801 -0.00414311 0 0 0 1 
4215528470016;0.462589;0.155327;0.973068 -0.0296086 0.228609 0.221515 0.0754945 0.977957 -0.194679 -0.413727 -0.217805 0.206695 0.953854 0.775649 0 0 0 1 
4215528470017;0.763704;0.270705;0.995197 0.0337733 0.0918814 -0.248272 -0.0701007 0.901011 0.428094 0.721731 -0.068328 -0.432479 0.899051 3.07321 0 0 0 1 
4215528470018;0.320962;0.31739;0.998512 -0.00590126 0.0542134 -0.0319412 0.000887948 0.995755 0.092036 -0.0434102 -0.0545264 -0.0918509 0.994279 0.67133 0 0 0 1 
4215528470019;0.470754;0.208638;0.904379 0.155729 -0.397299 -0.155482 -0.0974133 0.981791 0.163087 0.615053 0.415462 -0.10879 0.903081 -2.02297 0 0 0 1 
4215528470020;0.901423;0.708155;0.988936 -0.0276359 0.145749 0.0894163 0.0429801 0.993731 -0.103205 -0.155408 -0.141983 0.108327 0.983924 -0.00361138 0 0 0 1 
4215528470021;0.310289;0.0835005;0.999769 0.00147164 -0.0214434 -0.109109 0.000681298 0.994982 0.100049 -0.0565982 0.021483 -0.100041 0.994751 0.552875 0 0 0 1 
4215528470022;0.501427;0.232668;0.981926 0.0299694 -0.186876 0.158217 -0.045944 0.995594 -0.0817454 0.382542 0.183603 0.0888538 0.978977 -1.93884 0 0 0 1 
4215528470023;0.509895;0.365952;0.99406 -0.0312267 0.104254 0.121881 0.0457712 0.989068 -0.140177 -0.130675 -0.098737 0.144116 0.984623 -0.342674 0 0 0 1 
4215528470024;0.756959;0.477852;0.998325 -0.0178543 0.0550367 -0.0200413 0.017328 0.9998 0.0100239 -0.212176 -0.0552047 -0.00905341 0.998434 0.9172 0 0 0 1 
4215528470025;0.187466;0.119666;0.996431 0.055083 -0.0639627 -0.29514 -0.049178 0.994683 0.0904842 0.309726 0.0686068 -0.0870157 0.993842 -0.0702343 0 0 0 1 
4215528470026;0.0729172;0.0373736;0.999281 -0.0376989 -0.00404216 0.19782 0.0376696 0.999265 -0.00709096 -0.217004 0.00430651 0.00693359 0.999967 -0.108006 0 0 0 1 
4215528470027;0.80863;0.244891;0.997605 -0.00535196 -0.0689591 -0.105833 -0.00367336 0.991495 -0.130092 -0.0625603 0.0690689 0.130033 0.989101 -0.374857 0 0 0 1 
4215528470028;0.511375;0.473116;0.996381 0.0422394 -0.0737646 -0.268399 -0.028789 0.984199 0.174708 0.0873722 0.0799786 -0.171952 0.981853 0.447743 0 0 0 1 
4215528470029;0.874225;0.501271;0.879858 0.0820694 -0.468097 0.687643 -0.0534248 0.995813 0.0741718 0.477385 0.472225 -0.0402526 0.880559 -3.13736 0 0 0 1 
4215528470031;0.986719;0.188555;0.999724 -0.00347198 0.0232324 -0.0490346 0.00346036 0.999994 0.000540131 -0.333893 -0.0232342 -0.00045959 0.99973 0.935373 0 0 0 1 
4215528470032;1.06872;0.715258;0.993963 -0.0995235 0.0461699 0.499811 0.109317 0.86278 -0.49362 0.155034 0.00929232 0.495687 0.868451 -2.61713 0 0 0 1 
4215528470033;0.525088;0.243193;0.999327 -0.0355878 0.00887704 0.205055 0.0358382 0.998912 -0.0298505 -0.310246 -0.00780506 0.0301485 0.999515 -0.454282 0 0 0 1 
4215528470034;0.461314;0.0965592;0.999106 0.0415214 0.00791727 -0.272478 -0.0416654 0.998951 0.0189849 0.284218 -0.00712069 -0.0192978 0.999788 -0.17324 0 0 0 1 
4215528470035;0.980295;0.779266;0.999897 -0.00516932 -0.0133652 -0.129449 0.00517724 0.999986 0.000558584 -0.0768612 0.0133621 -0.000627722 0.999911 0.0788493 0 0 0 1 
4215528470036;1.14169;0.490799;0.998567 0.0518165 0.0133922 -0.462856 -0.0535102 0.962075 0.267486 0.3649 0.000975862 -0.267819 0.963469 2.24909 0 0 0 1 
4215528470037;0.241412;0.0579227;0.999911 0.00725256 0.0112053 0.0672405 -0.00689887 0.999487 -0.0312869 0.15736 -0.0114264 0.0312068 0.999448 0.0139285 0 0 0 1 
