#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/gazebo_winter_local.txt /home/point_clouds_registration_benchmark//eth/gazebo_winter -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 1 -i 40 
id;initial_error;final_error;transformation
38591597440000;0.538033;0.019349;0.993583 -0.100116 -0.052626 -0.407143 0.101761 0.99437 0.029562 -0.457881 0.04937 -0.0347276 0.998177 0.546985 0 0 0 1 
38591597440001;0.518725;0.140193;0.97414 0.140147 0.177232 -0.0859028 -0.155277 0.985055 0.0745309 0.405978 -0.164138 -0.100124 0.981343 0.020155 0 0 0 1 
38591597440002;0.466312;0.0185815;0.983853 -0.132636 0.120172 0.0481884 0.137117 0.990107 -0.0297885 -0.330981 -0.115032 0.0457852 0.992306 -0.212838 0 0 0 1 
38591597440003;0.369171;0.0312655;0.982052 0.188606 0.00100948 -0.214929 -0.188608 0.982043 0.00426527 0.70619 -0.000186899 -0.00437911 0.99999 0.383405 0 0 0 1 
38591597440004;0.566929;0.231863;0.942276 0.205916 -0.264036 0.9118 -0.198823 0.978568 0.053616 0.698535 0.269417 0.00197535 0.963021 -1.62863 0 0 0 1 
38591597440005;0.214626;0.0182735;0.994844 -0.0831281 -0.0581014 -0.00881953 0.0826748 0.996525 -0.010167 -0.312816 0.0587446 0.00531107 0.998259 -0.588464 0 0 0 1 
38591597440006;0.296525;0.0303126;0.969788 -0.178843 -0.16591 0.146786 0.199227 0.973115 0.115566 -0.854844 0.140782 -0.145129 0.979346 -0.340234 0 0 0 1 
38591597440007;0.55939;0.0254411;0.990016 0.140933 -0.00249037 0.0591612 -0.140419 0.98764 0.0696427 0.161485 0.0122745 -0.0685976 0.997569 -0.881208 0 0 0 1 
38591597440008;0.573696;0.0255261;0.909392 0.00411644 0.415919 0.295027 -0.107404 0.968363 0.225251 0.438783 -0.401833 -0.249513 0.881064 2.45518 0 0 0 1 
38591597440009;0.226381;0.0228058;0.999336 -0.0297345 0.0210456 0.0246456 0.0288999 0.998825 0.0389079 0.0630802 -0.0221778 -0.0382738 0.999021 -0.246668 0 0 0 1 
38591597440010;0.405479;0.0246875;0.934226 -0.109212 0.33955 0.0804415 0.223832 0.920697 -0.319713 -0.779901 -0.277706 0.374686 0.884585 1.66485 0 0 0 1 
38591597440011;0.432428;0.154454;0.97846 -0.194022 -0.0705055 0.283369 0.205831 0.943042 0.261353 -1.17519 0.0157812 -0.270236 0.962665 -0.26903 0 0 0 1 
38591597440012;0.493861;0.0188938;0.996297 -0.00186804 -0.0859585 0.330634 -0.00298115 0.998412 -0.0562502 -0.272101 0.0859271 0.0562981 0.99471 0.331174 0 0 0 1 
38591597440013;0.489902;0.189539;0.959508 0.2176 0.178869 0.0346074 -0.224537 0.974275 0.0192508 0.491239 -0.170079 -0.0586342 0.983684 0.372951 0 0 0 1 
38591597440014;0.265078;0.0243816;0.949712 -0.0564646 0.307991 -0.0708482 0.0894902 0.991526 -0.0941709 -0.284071 -0.300063 0.116997 0.946717 1.44786 0 0 0 1 
38591597440015;0.50504;0.123883;0.972294 -0.215417 0.0907793 0.143903 0.190142 0.954691 0.228937 -1.32434 -0.135983 -0.205333 0.969199 0.123623 0 0 0 1 
