#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/planetary_map_local.txt /home/point_clouds_registration_benchmark//planetary/p2at_met -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 1 -i 40 
id;initial_error;final_error;transformation
25528382210000;2.8561;1.69241;0.999921 -0.0121981 -0.00316554 -0.800869 0.0122598 0.99972 0.0202605 -0.146663 0.00291752 -0.0202977 0.99979 1.14385 0 0 0 1 
25528382210001;2.11331;1.83959;0.999849 0.016942 -0.00387748 0.838715 -0.0160623 0.985966 0.166175 -0.530276 0.00663839 -0.166087 0.986089 -9.04976 0 0 0 1 
25528382210002;1.70145;1.6324;0.974074 0.00171549 0.226221 0.584058 0.053616 0.969731 -0.238216 -2.2595 -0.219783 0.244169 0.944498 13.6267 0 0 0 1 
25528382210003;1.37022;0.572382;0.999993 -0.00295952 0.00213335 -0.351008 0.00294566 0.999975 0.00647412 -0.058234 -0.00215246 -0.00646779 0.999977 0.821489 0 0 0 1 
25528382210004;1.75339;1.38037;0.967255 -0.0391827 0.250764 -1.65442 0.00834827 0.992389 0.122863 -0.260417 -0.253669 -0.116746 0.96022 -5.39066 0 0 0 1 
25528382210005;0.735848;0.436763;0.99376 -0.00385061 0.111475 0.0870799 0.0372576 0.953462 -0.299204 -3.01163 -0.105135 0.30149 0.947655 16.1667 0 0 0 1 
25528382210006;1.57164;0.56305;0.997723 0.00297015 -0.0673865 0.189971 -0.00454607 0.999719 -0.023245 0.13443 0.0672985 0.0234984 0.997456 -0.744735 0 0 0 1 
25528382210007;1.73822;1.60519;0.999933 -0.00493825 -0.0104323 -0.140901 0.00444835 0.99891 -0.0464722 -0.164689 0.0106504 0.0464227 0.998865 1.73389 0 0 0 1 
25528382210008;0.906109;0.915045;0.995264 -0.000225576 0.0972078 0.159413 -0.00133274 0.999872 0.0159656 0.0394048 -0.0971989 -0.0160195 0.995136 -0.287406 0 0 0 1 
25528382210009;0.490985;0.351745;0.972633 0.0259709 -0.230893 1.15307 -0.00167581 0.994492 0.104801 -0.0904422 0.232343 -0.101546 0.967319 -6.60234 0 0 0 1 
25528382210010;2.17163;1.54819;0.98851 -0.0227509 -0.149431 -0.915992 -0.0433163 0.904505 -0.424256 -3.93975 0.144813 0.425855 0.893128 18.0708 0 0 0 1 
25528382210011;2.42393;1.99624;0.999768 0.0207973 -0.00553217 1.18065 -0.0198751 0.990882 0.133259 -0.17078 0.00825315 -0.133118 0.991066 -8.15011 0 0 0 1 
25528382210012;1.04957;0.656222;0.997552 -0.00626572 -0.0696469 -0.373046 0.0021763 0.998277 -0.058638 -0.26562 0.0698943 0.0583429 0.995847 3.04625 0 0 0 1 
25528382210013;1.47687;1.27783;0.999994 -0.00221058 0.00269673 -0.12731 0.00219844 0.999987 0.00449499 -0.0222038 -0.00270663 -0.00448903 0.999986 0.423756 0 0 0 1 
25528382210014;2.77484;2.40708;0.983599 -0.0264471 0.17842 -0.861506 -0.0400982 0.932376 0.35926 -2.59228 -0.175856 -0.360522 0.916023 -16.0277 0 0 0 1 
25528382210015;1.8346;1.65152;0.996611 -0.00632213 0.082017 -0.19944 0.0114572 0.997992 -0.062291 -0.342749 -0.0814585 0.0630195 0.994682 4.38321 0 0 0 1 
25528382210016;0.567147;0.333939;0.993514 0.0218552 -0.111593 1.04415 -0.00292602 0.985945 0.167044 -0.536688 0.113676 -0.165634 0.979614 -9.54693 0 0 0 1 
25528382210017;2.04883;1.52351;0.949991 0.0571513 -0.307001 2.42542 0.0158023 0.973052 0.230042 -1.12825 0.311876 -0.223389 0.923488 -12.0888 0 0 0 1 
