#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/hauptgebaude_local.txt /home/point_clouds_registration_benchmark//eth/hauptgebaude -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 25 -i 40 
id;initial_error;final_error;transformation
3394309160000;0.248226;0.0236632;0.999259 -0.00407887 0.0382727 0.518245 0.00246869 0.999114 0.0420245 -0.057173 -0.0384102 -0.0418988 0.998383 0.00677748 0 0 0 1 
3394309160001;0.28369;0.0181978;0.993172 0.113794 -0.0256933 -0.40889 -0.112039 0.991787 0.0616995 0.829852 0.0325033 -0.0583996 0.997764 -0.612947 0 0 0 1 
3394309160002;0.278932;0.0248059;0.976968 -0.00739724 0.213256 -0.145634 0.00491939 0.999914 0.0121474 -0.0910024 -0.213327 -0.0108186 0.976921 0.76198 0 0 0 1 
3394309160003;0.0682056;0.0187917;0.995293 -0.0925352 0.0287841 0.0307675 0.092946 0.995583 -0.0132716 -0.609017 -0.0274289 0.0158845 0.999498 0.220112 0 0 0 1 
3394309160004;0.286924;0.0228742;0.999078 0.0386396 -0.0187116 0.539283 -0.0384148 0.999187 0.0122266 0.724334 0.0191689 -0.0114966 0.99975 -0.265306 0 0 0 1 
3394309160005;0.492031;0.0245512;0.907057 0.382364 0.1762 -0.26708 -0.407727 0.902101 0.141321 2.5622 -0.104914 -0.200027 0.974157 0.351478 0 0 0 1 
3394309160006;0.393899;0.022072;0.987936 0.0223803 0.15324 -0.25501 -0.0238589 0.999685 0.00781658 0.528398 -0.153017 -0.0113784 0.988158 1.93754 0 0 0 1 
3394309160007;0.411602;0.0182044;0.883901 -0.338696 0.322496 0.373936 0.344651 0.937863 0.0403522 -2.10047 -0.316125 0.0754812 0.94571 1.45349 0 0 0 1 
3394309160008;0.42721;0.0217673;0.954139 -0.296985 -0.0376554 0.477205 0.297703 0.95454 0.0150194 -1.90669 0.0314831 -0.0255407 0.999178 0.725397 0 0 0 1 
3394309160009;0.395375;0.0200796;0.97798 -0.201736 -0.0534611 0.421556 0.196659 0.976558 -0.0875218 -1.48165 0.0698642 0.075081 0.994727 0.455616 0 0 0 1 
3394309160010;0.216746;0.0175017;0.991912 -0.00705773 -0.126731 -0.113264 -0.0148178 0.985187 -0.170843 0.470905 0.12606 0.171339 0.977114 -0.550298 0 0 0 1 
3394309160011;0.228138;0.797885;0.949459 -0.221188 -0.22272 2.54788 0.244295 0.966241 0.0818395 -1.74786 0.197099 -0.132113 0.971441 -1.06852 0 0 0 1 
3394309160012;0.324315;0.828007;0.943807 -0.32844 -0.0368301 1.90751 0.330064 0.930983 0.155979 -2.34122 -0.0169414 -0.15937 0.987074 -0.139252 0 0 0 1 
3394309160013;0.268523;0.0222984;0.997818 0.0591702 -0.0292897 0.610128 -0.0592434 0.998242 -0.00163719 0.0840556 0.0291413 0.00336884 0.99957 -0.396082 0 0 0 1 
3394309160014;0.217364;0.0200232;0.999801 0.0165112 0.0112113 -0.0151839 -0.0184907 0.977736 0.209023 -0.3367 -0.00751049 -0.209189 0.977846 0.328732 0 0 0 1 
3394309160015;0.198549;0.0254123;0.972176 0.106477 0.208655 -0.28154 -0.101921 0.994262 -0.032496 0.704727 -0.210918 0.0103255 0.977449 1.495 0 0 0 1 
3394309160016;0.362241;0.022094;0.887955 -0.222158 0.402717 0.519509 0.218487 0.974249 0.0556988 -1.68344 -0.404721 0.0385303 0.913628 3.21878 0 0 0 1 
3394309160017;0.403444;0.0220664;0.924484 -0.273771 0.265291 -0.491205 0.266097 0.961739 0.0651876 -1.27761 -0.272987 0.0103283 0.961962 1.83787 0 0 0 1 
3394309160018;0.415951;0.027464;0.959121 0.266903 0.0940682 -0.664998 -0.271524 0.961596 0.0401004 1.93413 -0.0797527 -0.0640029 0.994758 0.431039 0 0 0 1 
3394309160019;0.389264;0.0261682;0.96738 0.253108 -0.0106346 0.0415706 -0.253054 0.967432 0.00618066 1.29688 0.0118527 -0.0032879 0.999924 -0.804375 0 0 0 1 
3394309160020;0.355901;0.0176876;0.944025 -0.159983 -0.288484 0.840972 0.0658141 0.948287 -0.310517 0.00315854 0.323243 0.274149 0.905735 -1.64316 0 0 0 1 
3394309160021;0.307009;0.0153152;0.991397 -0.119814 -0.0526862 0.632665 0.128721 0.965432 0.226655 -1.12505 0.0237086 -0.231487 0.972549 -0.270496 0 0 0 1 
3394309160022;0.159878;0.0249592;0.979298 -0.0370808 0.198999 -0.285724 0.0521609 0.996106 -0.0710787 -0.270553 -0.195589 0.0799872 0.977419 1.30456 0 0 0 1 
3394309160023;0.179015;0.0194216;0.99532 -0.044243 0.0859079 -0.177397 0.0460283 0.998761 -0.0189119 -0.338019 -0.0849647 0.0227776 0.996124 0.165406 0 0 0 1 
3394309160024;0.448507;0.826638;0.900689 -0.432596 0.0402621 2.56567 0.43101 0.901345 0.0425121 -2.74892 -0.0546806 -0.0209368 0.998284 1.14645 0 0 0 1 
3394309160025;0.259237;0.0250681;0.987177 0.15959 -0.00342146 -0.122069 -0.159268 0.986169 0.0458743 1.02296 0.0106952 -0.0447411 0.998941 -0.566776 0 0 0 1 
3394309160026;0.300277;0.0210605;0.994557 0.0812531 0.0652218 0.325474 -0.0775404 0.995326 -0.0575719 -0.0686191 -0.0695948 0.0522013 0.996209 0.79213 0 0 0 1 
3394309160027;0.421694;0.745453;0.956053 -0.226657 -0.185984 2.36847 0.264055 0.941325 0.210195 -2.62469 0.127429 -0.250068 0.959806 -0.276683 0 0 0 1 
3394309160028;0.443835;0.0218517;0.924986 0.106484 0.364776 -0.106347 0.00559514 0.956015 -0.293263 0.790096 -0.37996 0.273305 0.883705 2.34494 0 0 0 1 
