#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam3_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam3 -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -i 100 -n 100 
id;initial_error;final_error;transformation
39885980090000;0.518509;0.0218305;100;0.986863 0.134688 -0.0892236 -0.0294596 -0.121553 0.982787 0.139123 0.293538 0.106426 -0.12645 0.986247 -0.4327 0 0 0 1 
39885980090001;1.1366;0.0673859;100;0.997525 0.0400996 -0.0577595 0.587888 -0.0378018 0.998471 0.04034 -0.34632 0.0592887 -0.0380567 0.997515 0.270048 0 0 0 1 
39885980090002;0.639436;0.488164;100;0.999836 0.00601137 0.0170738 0.198346 -0.00240843 0.979038 -0.203665 -0.0693284 -0.0179402 0.20359 0.978892 -0.118984 0 0 0 1 
39885980090003;0.346141;0.163107;100;0.954644 -0.0407465 -0.294948 0.0931598 -0.0491207 0.955467 -0.290982 0.107904 0.29367 0.292272 0.910129 -0.839805 0 0 0 1 
39885980090004;1.0895;0.216682;100;0.970635 -0.0591851 -0.233161 -0.181949 0.00606285 0.974972 -0.222246 0.618243 0.240479 0.214306 0.946701 -1.09995 0 0 0 1 
39885980090005;0.90722;0.561036;100;0.991665 0.125601 -0.0287251 -0.0504152 -0.127402 0.989145 -0.0732234 0.68661 0.0192164 0.0762728 0.996902 -0.461664 0 0 0 1 
39885980090006;0.367469;0.0263221;100;0.978185 -0.014473 -0.207231 0.000274993 -0.0328587 0.974232 -0.223142 0.0860429 0.20512 0.225084 0.952504 -0.990996 0 0 0 1 
39885980090007;0.500039;0.256731;100;0.996515 -0.0798444 0.0241271 0.0322031 0.0833418 0.941429 -0.326749 -0.240924 0.00337518 0.327621 0.944803 -0.335278 0 0 0 1 
39885980090008;1.30544;0.0382421;100;0.977789 0.106496 -0.180522 0.147994 -0.118533 0.991299 -0.0572299 1.10322 0.172856 0.0773565 0.981905 -1.09419 0 0 0 1 
39885980090009;1.07285;0.637826;100;0.999594 -0.00195189 -0.0284355 -0.415277 0.00191372 0.999997 -0.00136965 -0.00917216 0.0284381 0.00131468 0.999595 -0.0222862 0 0 0 1 
39885980090010;0.993349;0.693541;100;0.993587 0.111952 -0.0158936 0.0476998 -0.112718 0.99177 -0.0607245 0.278778 0.0089646 0.0621266 0.998028 0.296222 0 0 0 1 
39885980090011;1.19076;0.128206;100;0.997969 0.0143242 0.0620711 -0.434445 0.00206522 0.966603 -0.256269 0.714293 -0.063669 0.255877 0.964611 -0.603554 0 0 0 1 
39885980090012;1.08018;0.0605423;100;0.94964 0.290053 -0.118545 0.153092 -0.302171 0.947836 -0.101491 0.608077 0.0829236 0.132201 0.987748 -0.985135 0 0 0 1 
39885980090013;0.734434;0.0805521;100;0.995858 0.0765485 -0.0490579 -0.297668 -0.0858587 0.969288 -0.230453 0.265864 0.0299103 0.233711 0.971846 0.130332 0 0 0 1 
39885980090014;1.32795;0.0937187;100;0.926166 0.0493043 -0.37388 0.877834 0.026061 0.980679 0.193882 0.1435 0.376215 -0.18931 0.906986 -1.1439 0 0 0 1 
39885980090015;0.724355;0.0435693;100;0.999702 0.00179141 0.024362 -0.00931337 -0.0017923 0.999998 1.46129e-05 0.100753 -0.0243619 -5.82724e-05 0.999703 -0.486862 0 0 0 1 
39885980090016;0.348273;0.0343056;100;0.98073 0.0103724 -0.195094 0.0707602 0.0318255 0.976769 0.211917 -0.0653374 0.19276 -0.214042 0.957617 -0.378401 0 0 0 1 
39885980090017;0.847163;0.407305;100;0.995491 -0.0766945 -0.0558238 0.280411 0.0632943 0.975367 -0.211314 0.11779 0.0706553 0.206828 0.975823 -0.855369 0 0 0 1 
39885980090018;0.98085;0.198865;100;0.98479 0.0653049 -0.161008 -0.289695 -0.0910762 0.983185 -0.158279 0.616311 0.147964 0.170535 0.974179 -0.00386672 0 0 0 1 
39885980090019;1.01873;0.0931773;100;0.971383 0.231333 0.0538481 -0.687386 -0.233749 0.971304 0.0439222 0.392499 -0.0421423 -0.0552523 0.997583 0.800241 0 0 0 1 
39885980090020;0.349842;0.0411094;100;0.952649 0.265533 0.148161 -0.251597 -0.233728 0.951133 -0.201785 0.69493 -0.194502 0.157601 0.968159 0.331681 0 0 0 1 
