#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/gazebo_summer_local.txt /home/point_clouds_registration_benchmark//eth/gazebo_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -i 100 
id;initial_error;final_error;transformation
36535719080000;0.0805842;0.101678;10;0.998842 -0.0171993 0.0449261 -0.153128 0.0127144 0.995078 0.0982717 -0.0657207 -0.0463952 -0.0975867 0.994145 0.0226267 0 0 0 1 
36535719080001;0.11249;0.0934012;10;0.986629 0.00244841 0.162961 -0.307634 0.00884464 0.997609 -0.0685375 0.0184469 -0.162739 0.0690624 0.984249 0.217451 0 0 0 1 
36535719080002;0.259114;0.114742;13;0.98888 0.0230186 0.146922 0.0165029 -0.0501409 0.981707 0.183675 -0.431313 -0.140006 -0.188999 0.971945 0.0996763 0 0 0 1 
36535719080003;0.441289;0.589322;12;0.980602 -0.0800236 0.178928 -0.832339 0.0924104 0.99379 -0.0619869 -0.179929 -0.172857 0.0773193 0.981907 -0.128625 0 0 0 1 
36535719080004;0.424931;0.548001;13;0.951208 -0.0719942 0.300033 -0.978723 0.0949556 0.993508 -0.0626454 -0.0561815 -0.293575 0.0880786 0.95187 -0.0949519 0 0 0 1 
36535719080005;0.508351;0.116252;14;0.98344 -0.122526 0.133539 0.339641 0.163959 0.915448 -0.367523 0.802407 -0.077217 0.383332 0.920377 -0.372073 0 0 0 1 
36535719080006;0.482532;0.35469;12;0.991988 0.000451608 -0.126328 -0.586739 -0.0191865 0.988932 -0.147126 0.309341 0.124863 0.148371 0.981017 -1.42172 0 0 0 1 
36535719080007;0.407429;0.101191;22;0.947959 -0.318282 0.0083672 0.077601 0.310928 0.919758 -0.23952 -0.715398 0.0685391 0.229656 0.970855 -1.13933 0 0 0 1 
36535719080008;0.494873;0.445162;17;0.978124 -0.0541285 0.200858 -1.03815 0.113567 0.947914 -0.297592 0.244122 -0.174288 0.313893 0.933325 -0.636203 0 0 0 1 
36535719080009;0.260051;0.0971885;13;0.985734 -0.0937464 0.139787 -0.245177 0.0874577 0.994888 0.0504849 -0.756693 -0.143805 -0.0375392 0.988894 -0.290952 0 0 0 1 
