#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/stairs_local.txt /home/point_clouds_registration_benchmark//eth/stairs -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -i 100 
id;initial_error;final_error;transformation
5494384560000;0.832403;0.0576422;22;0.992863 0.1184 -0.0142982 0.835844 -0.117527 0.99174 0.051372 0.436781 0.0202626 -0.049325 0.998577 0.351451 0 0 0 1 
5494384560001;0.315086;0.0825538;20;0.913724 0.235211 -0.331338 1.58548 -0.201641 0.970413 0.132817 1.25159 0.352775 -0.0545463 0.934117 -2.36121 0 0 0 1 
5494384560002;0.630491;0.0775496;14;0.999367 -0.0143423 -0.0325437 0.741111 0.0153165 0.999436 0.0298863 -0.324853 0.0320968 -0.0303658 0.999023 0.0493563 0 0 0 1 
5494384560003;0.317466;0.0257721;19;0.969722 -0.0550199 -0.237933 0.890937 0.128513 0.943447 0.305603 -1.80537 0.207663 -0.326927 0.921952 -1.40863 0 0 0 1 
5494384560004;0.657978;0.0320908;13;0.998178 0.0565498 0.021062 -0.192074 -0.0584851 0.992559 0.106802 0.661987 -0.0148657 -0.107839 0.994057 0.601556 0 0 0 1 
5494384560005;0.751618;0.0646483;14;0.994217 -0.0938661 -0.0521688 -0.397654 0.100069 0.986067 0.132882 -1.56771 0.0389688 -0.137334 0.989758 -0.41034 0 0 0 1 
5494384560006;0.696898;0.0858835;32;0.930197 0.309741 -0.196962 1.35288 -0.329535 0.941045 -0.0764209 2.2772 0.16168 0.135992 0.977428 -0.62297 0 0 0 1 
5494384560007;0.399045;0.0589984;29;0.930258 -0.363468 -0.0501174 0.827992 0.36616 0.928375 0.0636143 -3.14397 0.023406 -0.0775287 0.996715 -0.165831 0 0 0 1 
5494384560008;0.231215;0.0411757;18;0.975094 -0.192798 -0.109637 0.396011 0.180298 0.976936 -0.114405 -1.05559 0.129165 0.0917882 0.987366 -0.823726 0 0 0 1 
5494384560009;0.454804;0.0529354;14;0.988917 -0.0221407 -0.14681 0.710537 0.0320525 0.997338 0.0654961 -0.634535 0.144969 -0.0694759 0.986994 -0.700949 0 0 0 1 
5494384560010;0.83506;0.0516189;13;0.999827 0.0170463 -0.00746816 -0.0123661 -0.0166731 0.998734 0.0474628 0.135848 0.00826777 -0.04733 0.998845 0.826794 0 0 0 1 
5494384560011;0.300381;0.0759236;16;0.997049 0.0516079 0.0568384 -0.175183 -0.0328202 0.955815 -0.292131 0.929733 -0.0694032 0.289403 0.954688 0.587132 0 0 0 1 
5494384560012;0.513405;0.0504411;22;0.939489 0.0694276 -0.335471 1.17424 -0.131204 0.977505 -0.165137 1.33507 0.316459 0.19916 0.927464 -1.7225 0 0 0 1 
5494384560013;0.592232;0.0495041;15;0.99289 0.010943 -0.118529 0.492752 -0.0132173 0.999743 -0.0184189 0.764077 0.118297 0.0198545 0.99278 -0.835196 0 0 0 1 
5494384560014;0.784839;0.0405858;27;0.946601 0.211585 0.243265 0.491221 -0.25632 0.95157 0.16975 1.31628 -0.195567 -0.223039 0.954991 1.96118 0 0 0 1 
5494384560015;1.02961;0.0785682;27;0.942816 0.318984 -0.0966836 0.320211 -0.333284 0.898263 -0.286435 3.85883 -0.00452102 0.302279 0.953209 0.852373 0 0 0 1 
5494384560016;0.692498;0.0600038;21;0.989885 0.132131 -0.0516707 0.186335 -0.141408 0.889326 -0.43486 2.66463 -0.0115063 0.437767 0.899015 -0.035738 0 0 0 1 
5494384560017;0.125802;0.0530065;9;0.999925 0.00218697 -0.0120562 0.0808053 -0.00192878 0.999769 0.021386 -0.0983275 0.0121002 -0.0213612 0.999699 0.0289022 0 0 0 1 
5494384560018;0.697368;0.0453471;18;0.996411 0.0503305 -0.0680612 0.762842 -0.0635835 0.975787 -0.209275 1.13095 0.0558804 0.212851 0.975485 0.151122 0 0 0 1 
5494384560019;0.372102;0.0861656;22;0.957293 0.274203 0.0916671 0.173274 -0.283238 0.953061 0.107009 1.91449 -0.058022 -0.128403 0.990023 0.178031 0 0 0 1 
5494384560020;0.725979;0.0672927;19;0.944187 0.320775 0.0749307 0.197252 -0.328031 0.894792 0.302891 2.13392 0.0301126 -0.310566 0.950075 0.407407 0 0 0 1 
5494384560021;0.810082;0.0730469;14;0.996123 0.0780301 -0.0406337 -0.145262 -0.0772795 0.996814 0.0197276 0.579517 0.0420436 -0.016511 0.998979 0.500222 0 0 0 1 
5494384560022;1.01164;0.0496784;19;0.886035 -0.297048 -0.355955 1.56772 0.331164 0.942826 0.0375279 -3.53769 0.324456 -0.151131 0.933749 -1.98034 0 0 0 1 
5494384560023;0.527542;0.106332;13;0.979492 0.0772389 -0.186089 0.932875 -0.0710623 0.996684 0.0396463 0.393753 0.188535 -0.0256093 0.981733 -1.87603 0 0 0 1 
5494384560024;0.419936;0.0855334;25;0.937717 0.334272 -0.0946003 1.04943 -0.335679 0.941976 0.00109931 2.58005 0.0894787 0.0307245 0.995515 -0.886105 0 0 0 1 
5494384560025;0.495752;0.074825;22;0.940152 0.299405 -0.162701 0.979385 -0.296846 0.95407 0.0403988 2.25422 0.167324 0.010316 0.985848 -0.797766 0 0 0 1 
5494384560026;0.350666;0.0632505;18;0.975212 0.0990443 0.197869 -0.221497 -0.0409707 0.959591 -0.278401 0.98074 -0.217447 0.263393 0.939862 2.0602 0 0 0 1 
5494384560027;0.90423;0.0552022;18;0.990714 0.0785472 -0.110978 1.32736 -0.0583699 0.982908 0.1746 0.145917 0.122796 -0.166501 0.978365 -0.709652 0 0 0 1 
5494384560028;0.914969;0.0454899;17;0.995856 -0.0901624 -0.011872 -0.872681 0.0904795 0.995458 0.0296267 -0.619694 0.00914683 -0.0305781 0.999491 -0.293757 0 0 0 1 
5494384560029;0.844853;0.0808681;17;0.999652 0.0234818 0.0119794 0.0550848 -0.0237726 0.999411 0.0247418 -0.571911 -0.0113913 -0.025018 0.999622 -0.540064 0 0 0 1 
5494384560031;0.314572;0.0620908;24;0.918146 -0.348579 -0.188416 0.513188 0.356474 0.934265 0.00865258 -1.42153 0.173014 -0.0751097 0.982051 -0.696483 0 0 0 1 
5494384560032;0.143255;0.0499627;13;0.996343 0.0633933 0.0572804 0.0581068 -0.0591177 0.995543 -0.0734836 0.261071 -0.0616834 0.0698287 0.99565 0.23201 0 0 0 1 
5494384560033;0.256973;0.0596787;12;0.999595 0.0120293 0.0257743 0.199297 -0.00916664 0.994061 -0.108437 0.229694 -0.0269257 0.108157 0.993769 0.207433 0 0 0 1 
5494384560034;0.872658;0.0577889;17;0.969747 -0.219343 0.107143 0.0606424 0.198215 0.963702 0.178857 -1.76766 -0.142485 -0.152209 0.978024 -0.0395153 0 0 0 1 
5494384560035;0.383527;0.0452212;14;0.996642 -0.071779 0.0394107 0.0727099 0.06908 0.995423 0.0660364 0.0229454 -0.0439704 -0.0630921 0.997039 0.220258 0 0 0 1 
5494384560036;0.699819;0.0860466;24;0.955291 0.261685 -0.13762 0.526519 -0.291265 0.912926 -0.285886 0.893519 0.0508244 0.313189 0.94833 0.525048 0 0 0 1 
5494384560037;0.785083;0.0699418;23;0.969224 -0.0918246 0.228414 -0.334587 0.155643 0.947428 -0.279561 -0.211009 -0.190735 0.306509 0.932562 0.146087 0 0 0 1 
5494384560038;1.00964;0.050629;23;0.902486 -0.429045 0.0379334 -0.835921 0.429289 0.903165 0.00186265 -1.33366 -0.0350593 0.0146034 0.999279 -0.207873 0 0 0 1 
5494384560039;0.16472;0.0642348;23;0.983556 -0.0736366 -0.164912 0.206657 0.0773426 0.996874 0.0161568 -0.281604 0.163207 -0.0286459 0.986176 -0.66174 0 0 0 1 
5494384560040;0.656318;0.0333298;21;0.911049 0.343162 0.228537 0.596029 -0.335734 0.939209 -0.0718985 0.837748 -0.239317 -0.0112244 0.970877 1.11372 0 0 0 1 
5494384560041;0.496934;0.0498214;22;0.880305 -0.305003 0.363369 -0.146792 0.311927 0.949218 0.0410698 -1.13162 -0.357443 0.0771906 0.93074 1.89446 0 0 0 1 
5494384560042;0.516103;0.368002;15;0.994955 -0.0512592 -0.0862359 -0.207935 0.0643453 0.98557 0.15656 -0.660067 0.0769664 -0.161319 0.983896 -0.484879 0 0 0 1 
5494384560043;0.0787389;0.0511697;9;0.999981 -0.00609634 0.000588615 -0.0181038 0.00606832 0.999201 0.0395091 -0.200011 -0.000829006 -0.0395048 0.999219 0.0457986 0 0 0 1 
5494384560044;0.670233;0.0547541;15;0.999047 0.0398378 0.017831 0.222451 -0.040249 0.998917 0.0233233 0.255356 -0.0168826 -0.0240187 0.999569 0.840613 0 0 0 1 
5494384560045;0.454928;0.028843;22;0.913509 -0.26854 0.305595 -0.449529 0.177448 0.938976 0.294679 -1.14457 -0.366079 -0.214965 0.905415 1.45399 0 0 0 1 
5494384560046;0.663952;0.0980531;19;0.982673 0.13481 -0.127201 0.31817 -0.134045 0.990868 0.0145988 1.17669 0.128008 0.00270482 0.991769 -0.533481 0 0 0 1 
5494384560047;0.60701;0.179805;22;0.994016 0.0179104 -0.107754 -0.377603 -0.0377123 0.98208 -0.184652 0.721178 0.102516 0.187611 0.976879 -0.446227 0 0 0 1 
5494384560048;0.280379;0.0529012;11;0.999799 -0.0130701 0.015211 -0.063731 0.0128884 0.999845 0.0119815 -0.206239 -0.0153652 -0.011783 0.999813 0.409095 0 0 0 1 
5494384560049;0.480826;0.054546;20;0.925955 0.332424 0.179168 0.586778 -0.327041 0.943124 -0.0596745 1.38903 -0.188815 -0.0033395 0.982007 0.745978 0 0 0 1 
5494384560050;0.519994;0.0692451;18;0.977514 0.195992 0.0778007 -0.204161 -0.188985 0.977931 -0.089082 0.292015 -0.0935431 0.0723758 0.992981 0.475536 0 0 0 1 
5494384560051;0.245903;0.0502098;10;0.999981 -0.00595658 -0.00181701 0.0814815 0.00604918 0.998406 0.0561236 -0.308902 0.0014798 -0.0561335 0.998422 -0.203397 0 0 0 1 
5494384560052;0.581213;0.0408823;17;0.954066 0.152769 0.257719 -0.35567 -0.183199 0.978141 0.0983777 0.0319135 -0.237056 -0.141073 0.961199 0.687376 0 0 0 1 
5494384560053;0.543864;0.043665;18;0.962916 -0.217064 0.160234 -0.427094 0.200584 0.973149 0.112902 -1.26532 -0.180439 -0.0765745 0.980601 0.347569 0 0 0 1 
5494384560054;0.812423;0.450635;14;0.998237 -0.0416892 -0.0422486 -0.338513 0.043251 0.998388 0.036753 -0.464088 0.0406482 -0.0385155 0.998431 -0.586413 0 0 0 1 
5494384560055;0.804846;0.0526233;23;0.927233 0.0154378 0.374166 0.515844 -0.0615425 0.991847 0.111588 0.56115 -0.369393 -0.126495 0.920624 1.50169 0 0 0 1 
5494384560056;0.404608;0.0485832;17;0.981893 0.162755 0.0969425 -0.137301 -0.161747 0.986664 -0.0182257 0.215188 -0.098616 0.00221555 0.995123 0.324676 0 0 0 1 
5494384560057;0.241612;0.0625662;18;0.970086 0.213229 -0.116044 0.418667 -0.198764 0.972093 0.124612 0.454641 0.139377 -0.0978193 0.985396 -0.448141 0 0 0 1 
5494384560058;0.361634;0.0459169;14;0.990649 -0.121777 0.0615299 0.145652 0.129655 0.980662 -0.146598 -0.0602949 -0.0424878 0.153205 0.987281 0.29087 0 0 0 1 
5494384560059;0.672349;0.0770694;18;0.998842 -0.0157285 0.0454655 -0.0730146 0.0152369 0.999822 0.0111398 -0.0970554 -0.0456326 -0.0104342 0.998904 -0.536242 0 0 0 1 
5494384560060;0.435775;0.0554961;20;0.954926 -0.274789 -0.112283 -0.0508307 0.29614 0.907914 0.296638 -1.64176 0.0204303 -0.316518 0.948366 -0.260384 0 0 0 1 
5494384560062;0.821662;0.0517992;25;0.964482 -0.196409 -0.176628 0.38748 0.1927 0.980518 -0.0380852 -1.60309 0.180667 0.00269637 0.983541 -1.36415 0 0 0 1 
5494384560063;1.2461;0.0425704;23;0.941997 0.100305 -0.320281 1.76818 -0.107032 0.99425 -0.00342013 0.767226 0.318096 0.0375019 0.947317 -2.46609 0 0 0 1 
5494384560064;0.351118;0.0442104;46;0.916613 -0.399773 0.00147223 0.254719 0.399773 0.916614 0.0003398 -2.56987 -0.00148531 0.000277094 0.999999 0.011845 0 0 0 1 
5494384560065;1.02628;0.0387651;20;0.997049 0.0762923 0.00857499 -0.0648112 -0.0757663 0.995847 -0.0504747 0.336543 -0.0123902 0.0496761 0.998689 0.869126 0 0 0 1 
5494384560066;0.385602;0.0447169;50;0.895219 0.43818 -0.0811249 1.07197 -0.440073 0.897941 -0.006186 2.69018 0.0701348 0.0412387 0.996685 -0.340235 0 0 0 1 
5494384560067;1.09812;0.0484773;23;0.979638 -0.135267 0.148368 -0.363612 0.155315 0.97886 -0.133081 -1.00753 -0.12723 0.153415 0.979937 0.163141 0 0 0 1 
5494384560068;0.284277;0.0438459;18;0.987981 0.141181 -0.0629466 0.299059 -0.11902 0.954621 0.273006 0.0488842 0.0986333 -0.262233 0.959951 -0.624835 0 0 0 1 
5494384560069;0.305684;0.0296326;22;0.987846 0.152204 -0.031545 0.40263 -0.152218 0.988345 0.0019845 0.959818 0.0314794 0.00284132 0.9995 -0.116879 0 0 0 1 
5494384560070;1.06788;0.0468038;23;0.998746 0.0495841 -0.00684763 0.771846 -0.0481075 0.988656 0.142288 -0.0294631 0.0138251 -0.14178 0.989802 -0.408198 0 0 0 1 
5494384560071;0.199717;0.0391218;10;0.999981 -0.0060121 0.00136967 -0.0186923 0.00600977 0.99998 0.00170314 -0.095706 -0.00137988 -0.00169488 0.999998 0.174473 0 0 0 1 
5494384560072;1.02349;0.041265;24;0.96281 -0.0208176 -0.269378 1.10026 -0.0628305 0.952442 -0.298173 1.76885 0.262774 0.304009 0.915712 -1.31188 0 0 0 1 
5494384560073;0.123206;0.0367521;21;0.992969 -0.118369 0.00140858 -0.0439342 0.118313 0.992749 0.021224 -0.810313 -0.00391064 -0.0209081 0.999774 0.061078 0 0 0 1 
5494384560074;0.700296;0.0502518;44;0.938527 0.343488 0.0344004 0.107265 -0.342627 0.939037 -0.0285704 2.39352 -0.0421168 0.0150276 0.999 0.0246632 0 0 0 1 
