#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/p2at_met_local.txt /home/point_clouds_registration_benchmark//planetary/p2at_met -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
27844314100000;0.368279;0.343595;14;0.999467 -0.00348548 0.0324704 -0.154476 -0.00103449 0.99041 0.138156 0.0374997 -0.0326405 -0.138116 0.989878 -8.26765 0 0 0 1 
27844314100001;0.325629;0.150291;14;0.987597 0.0236821 -0.155214 0.535983 0.00534892 0.982911 0.184004 -0.159124 0.156919 -0.182552 0.970593 -7.75566 0 0 0 1 
27844314100002;0.342132;0.121158;15;0.931176 -0.0300212 0.363332 -2.05939 -0.0743421 0.960027 0.269855 -3.06574 -0.35691 -0.278293 0.891722 -24.6119 0 0 0 1 
27844314100003;0.135271;0.116721;14;0.995087 -0.0135223 0.0980802 -0.551171 -0.00379752 0.984687 0.174287 -0.265085 -0.0989351 -0.173804 0.979798 -12.5893 0 0 0 1 
27844314100004;0.89077;0.697861;15;0.985648 0.039052 -0.164236 1.4004 0.00416372 0.966955 0.254911 -0.896282 0.168763 -0.251937 0.952915 -12.184 0 0 0 1 
27844314100005;0.300669;0.248144;15;0.934362 0.0526321 -0.352415 0.317982 -0.00708408 0.991579 0.129307 -0.132109 0.356254 -0.118323 0.926867 1.12379 0 0 0 1 
27844314100006;0.461976;0.404062;14;0.999829 0.0180228 0.00418989 1.15953 -0.0181547 0.999259 0.0339434 -0.265185 -0.00357503 -0.0340137 0.999415 -1.92771 0 0 0 1 
27844314100007;1.17629;0.99149;15;0.999205 0.0242903 0.0316263 1.522 -0.0269907 0.995758 0.0879608 -0.45816 -0.0293555 -0.0887444 0.995622 -4.56903 0 0 0 1 
27844314100008;0.519074;0.413108;14;0.999856 0.0163235 0.0045752 0.994299 -0.016476 0.999232 0.0355518 -0.341246 -0.00399136 -0.0356221 0.999357 -1.5615 0 0 0 1 
27844314100009;0.482706;0.457114;15;0.992958 -0.0213377 0.116528 -1.12623 0.0268726 0.998574 -0.0461358 0.398865 -0.115377 0.0489423 0.992115 0.101055 0 0 0 1 
27844314100010;0.848926;0.0691652;14;0.998904 0.0313315 -0.0347673 1.89895 -0.0248816 0.984694 0.172507 -0.86307 0.0396401 -0.171453 0.984395 -11.265 0 0 0 1 
27844314100011;0.370547;0.273274;15;0.981037 0.00617424 -0.193721 -0.792243 -0.0177542 0.998153 -0.0580975 -0.799622 0.193005 0.0604352 0.979335 8.49697 0 0 0 1 
27844314100012;1.02719;0.395196;16;0.991423 0.0112931 -0.130206 -0.162359 -0.0169763 0.998947 -0.0426211 -0.586279 0.129588 0.0444659 0.99057 7.87856 0 0 0 1 
27844314100013;0.818365;0.719391;15;0.998714 0.0249637 -0.0441272 1.40629 -0.0204914 0.994872 0.0990458 -0.518422 0.0463734 -0.0980142 0.994104 -5.50285 0 0 0 1 
27844314100014;0.722224;0.259309;14;0.998376 0.00144597 -0.056948 -0.0436033 -0.00109639 0.99998 0.00616924 -0.0012342 0.0569558 -0.00609678 0.998358 -0.847557 0 0 0 1 
27844314100015;1.11358;0.606932;14;0.999542 -0.00155257 -0.0302274 0.0902141 0.000817156 0.999704 -0.0243267 -0.1832 0.0302562 0.0242909 0.999247 -0.350868 0 0 0 1 
27844314100016;0.370882;0.0736928;15;0.991895 -0.0261391 0.124343 -1.42984 0.0754597 0.908524 -0.410962 -4.73688 -0.102226 0.417014 0.903133 21.7872 0 0 0 1 
27844314100017;0.341055;0.219217;14;0.995504 -0.00369867 -0.0946429 -0.772416 0.00722609 0.999291 0.0369553 0.478213 0.0944391 -0.0374731 0.994825 0.117981 0 0 0 1 
27844314100018;0.853373;0.269085;15;0.999543 0.00876198 0.0289317 0.722905 -0.00881972 0.999959 0.00186869 -0.081346 -0.0289141 -0.00212301 0.99958 -2.94143 0 0 0 1 
