#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam3_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam3 -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
39885980090000;0.518509;0.135414;16;0.994127 0.0443256 -0.0987293 0.0159883 -0.0310833 0.990784 0.131839 0.0426376 0.103663 -0.127996 0.986342 -0.423175 0 0 0 1 
39885980090001;1.1366;0.627385;26;0.997768 0.043739 -0.0504527 0.152783 -0.0415891 0.998213 0.0429029 -0.249091 0.0522391 -0.0407089 0.997805 0.291578 0 0 0 1 
39885980090002;0.639436;0.528157;14;0.999557 0.0264454 0.0136341 0.0444749 -0.0231215 0.978812 -0.20345 0.0815363 -0.0187255 0.203045 0.97899 -0.119575 0 0 0 1 
39885980090003;0.346141;0.167221;14;0.954997 -0.0375551 -0.29423 0.0802443 -0.0513079 0.956084 -0.288566 0.148079 0.292146 0.290676 0.91113 -0.831649 0 0 0 1 
39885980090004;1.0895;0.666839;25;0.968716 -0.0821428 -0.234185 0.103482 0.0286695 0.974357 -0.223173 0.222495 0.246512 0.209477 0.94623 -1.12577 0 0 0 1 
39885980090005;0.90722;0.631567;14;0.998112 0.0575085 -0.021585 -0.010817 -0.0589593 0.995513 -0.0740118 0.317816 0.0172319 0.0751447 0.997024 -0.449793 0 0 0 1 
39885980090006;0.367469;0.11472;15;0.978259 -0.00376482 -0.207353 0.0278354 -0.0431241 0.974288 -0.221142 0.170741 0.202854 0.225276 0.952943 -0.979838 0 0 0 1 
39885980090007;0.500039;0.291786;14;0.997921 -0.0624634 0.0158974 0.0176168 0.0642184 0.942449 -0.328124 -0.163098 0.00551323 0.328463 0.944501 -0.346006 0 0 0 1 
39885980090008;1.30544;0.789392;15;0.985449 0.00271646 -0.169947 0.109942 -0.0144837 0.997578 -0.0680391 0.238693 0.16935 0.0695105 0.983102 -1.07194 0 0 0 1 
39885980090009;1.07285;0.969917;14;0.999236 0.0238407 -0.0309807 -0.149904 -0.0239213 0.999711 -0.00223258 0.109833 0.0309186 0.00297197 0.999517 -0.0323726 0 0 0 1 
39885980090010;0.993349;0.807203;14;0.999399 0.0335634 -0.00871255 0.00529467 -0.034033 0.997561 -0.0609385 0.0862796 0.006646 0.0611984 0.998103 0.303412 0 0 0 1 
39885980090011;1.19076;0.799963;17;0.996362 -0.0417284 0.074304 -0.152386 0.059014 0.966871 -0.248349 0.00713152 -0.0614792 0.251831 0.965817 -0.609408 0 0 0 1 
39885980090012;1.08018;0.474866;29;0.986968 0.12936 -0.0957042 0.118904 -0.1403 0.983035 -0.118141 0.00825329 0.0787978 0.130029 0.988374 -0.971174 0 0 0 1 
39885980090013;0.734434;0.277164;15;0.999256 0.0125572 -0.0364532 -0.0488483 -0.0207324 0.972151 -0.233436 0.0225223 0.0325067 0.234018 0.971689 0.115333 0 0 0 1 
39885980090014;1.32795;0.875703;16;0.927993 0.0744885 -0.365076 0.246243 0.00155549 0.97903 0.203711 0.0866442 0.372594 -0.18961 0.908417 -1.13726 0 0 0 1 
39885980090015;0.724355;0.0508816;16;0.999809 0.00394153 0.0191443 -0.00695083 -0.00389838 0.99999 -0.00229057 0.037586 -0.0191531 0.0022155 0.999814 -0.512952 0 0 0 1 
39885980090016;0.348273;0.0120661;16;0.980668 0.0164303 -0.194988 0.0689055 0.0259153 0.976786 0.212645 -0.0300559 0.193955 -0.213587 0.957477 -0.383143 0 0 0 1 
39885980090017;0.847163;0.393855;28;0.995744 -0.0733885 -0.055756 0.279776 0.0601685 0.975864 -0.209928 0.0910481 0.0698165 0.20568 0.976126 -0.850863 0 0 0 1 
39885980090018;0.98085;0.505998;15;0.987669 0.0110159 -0.156166 -0.10473 -0.0369519 0.98574 -0.164168 0.19654 0.152131 0.167914 0.973992 -0.0191222 0 0 0 1 
39885980090019;1.01873;0.122135;34;0.9864 0.157649 0.0464915 -0.52598 -0.159713 0.986154 0.0446272 0.178786 -0.0388123 -0.0514456 0.997921 0.774928 0 0 0 1 
39885980090020;0.349842;0.151843;24;0.973274 0.145444 0.177716 -0.176183 -0.114359 0.978056 -0.174151 0.365226 -0.199145 0.149174 0.96855 0.359903 0 0 0 1 
39885980090021;0.142777;0.0113645;15;0.977409 -0.00651181 -0.211258 0.074418 -0.0131601 0.995711 -0.0915787 0.0383381 0.210948 0.09229 0.973131 -0.552316 0 0 0 1 
39885980090022;0.343863;0.132236;15;0.990046 0.056306 0.12899 -0.020604 -0.0506076 0.99761 -0.0470393 0.142952 -0.13133 0.0400432 0.99053 0.448325 0 0 0 1 
39885980090023;0.973502;0.81481;16;0.950768 0.0239183 -0.30898 0.183585 0.0363907 0.981503 0.187957 -0.0934494 0.307761 -0.189947 0.932311 -0.546849 0 0 0 1 
39885980090024;1.13358;0.088039;20;0.997916 0.0585332 0.0271631 -0.125307 -0.0570638 0.997013 -0.0520396 0.0220909 -0.030128 0.0503811 0.998276 -0.851129 0 0 0 1 
39885980090025;0.64818;0.386381;16;0.998479 -0.0515043 -0.0196646 -0.00944039 0.0501137 0.996584 -0.065645 -0.232292 0.0229785 0.0645597 0.997649 0.112845 0 0 0 1 
39885980090026;1.25567;0.224455;14;0.990075 -0.0841498 0.112565 0.180296 0.0665226 0.986126 0.152089 -0.186675 -0.123802 -0.143092 0.981936 1.41801 0 0 0 1 
39885980090027;0.709211;0.19649;14;0.99798 0.0521566 0.0362696 -0.0939815 -0.0519701 0.99863 -0.00606616 0.322216 -0.0365363 0.00416897 0.999324 0.502784 0 0 0 1 
39885980090028;1.02062;0.543692;15;0.99905 0.0428906 0.00766276 0.0188955 -0.0428834 0.999079 -0.00109462 0.237542 -0.00770265 0.000764974 0.99997 0.565803 0 0 0 1 
39885980090029;0.737875;0.23825;27;0.976588 0.197632 -0.0849507 -0.139558 -0.178908 0.965468 0.189378 0.33616 0.119444 -0.169746 0.978223 0.405903 0 0 0 1 
39885980090031;0.500388;0.409926;18;0.958512 0.0569569 -0.279304 0.644046 -0.0396859 0.996956 0.0671102 0.576727 0.282276 -0.0532415 0.957855 -1.45968 0 0 0 1 
39885980090032;0.490152;0.713391;22;0.90904 -0.404051 -0.101921 0.296979 0.402618 0.914692 -0.0351902 -0.809664 0.107445 -0.00904598 0.99417 -0.330291 0 0 0 1 
39885980090033;0.259006;0.529208;21;0.937254 -0.269104 -0.221671 0.40372 0.267778 0.962785 -0.0366004 -0.295974 0.223271 -0.0250548 0.974434 -0.712454 0 0 0 1 
39885980090034;0.13399;0.518822;19;0.994431 -0.0771526 -0.0717988 0.408847 0.0681739 0.990424 -0.120052 0.209751 0.0803736 0.114489 0.990168 -0.145223 0 0 0 1 
39885980090035;0.310003;0.44052;34;0.985959 -0.165868 -0.0193066 0.205644 0.154336 0.949292 -0.273906 -0.0295115 0.0637597 0.26708 0.961563 0.302676 0 0 0 1 
39885980090036;0.791909;0.425401;23;0.887606 -0.0414884 -0.458731 1.6857 0.0974762 0.990297 0.0990441 -0.0766581 0.450171 -0.132628 0.883038 -1.89819 0 0 0 1 
39885980090037;0.326129;0.534964;16;0.999633 0.0224184 -0.0152068 0.24662 -0.0236909 0.995711 -0.0894337 0.440379 0.0131366 0.0897612 0.995877 0.311326 0 0 0 1 
39885980090038;0.582863;0.629641;15;0.999565 0.0270837 -0.0116432 0.107846 -0.0280364 0.995416 -0.0914425 0.138264 0.00911327 0.0917292 0.995742 -0.0205666 0 0 0 1 
39885980090039;0.172583;0.394446;18;0.996858 -0.0713514 -0.0343886 0.106413 0.067968 0.993515 -0.0911444 0.199656 0.0406689 0.0885208 0.995244 0.153567 0 0 0 1 
39885980090040;0.259945;0.368396;18;0.998742 -0.00847386 0.0494235 0.406535 0.00132728 0.98974 0.142874 0.537106 -0.0501271 -0.142628 0.988506 -0.128502 0 0 0 1 
