#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
1807261650000;0.252801;0.141637;24;0.995925 0.0233106 0.0871233 -0.199818 -0.0198014 0.998966 -0.0409274 0.139704 -0.0879872 0.0390354 0.995356 0.196207 0 0 0 1 
1807261650001;0.370505;0.144804;38;0.97262 0.115644 0.201584 -0.0943602 -0.154523 0.969692 0.189263 0.427789 -0.173587 -0.215231 0.961012 0.864649 0 0 0 1 
1807261650002;0.611698;0.202228;28;0.999971 0.00691968 -0.00302427 0.128246 -0.00698703 0.999714 -0.0228589 -0.678105 0.00286522 0.0228794 0.999734 0.565805 0 0 0 1 
1807261650003;0.65444;0.25823;43;0.961416 0.269388 -0.0557664 0.311437 -0.264883 0.961222 0.0767444 0.900345 0.074278 -0.0590117 0.99549 -0.995183 0 0 0 1 
1807261650004;0.70178;0.396121;25;0.934487 0.298051 0.194678 -0.0448257 -0.273374 0.951088 -0.14387 0.867173 -0.228036 0.0812249 0.970259 1.39497 0 0 0 1 
1807261650005;0.564667;0.121575;34;0.993345 -0.114608 0.0114399 0.105086 0.114752 0.993312 -0.0128018 -0.00162414 -0.00989615 0.0140293 0.999853 0.774834 0 0 0 1 
1807261650006;0.456118;0.125754;31;0.997471 -0.0297932 -0.0645299 -0.251614 0.0197383 0.988307 -0.151192 0.333381 0.0682799 0.149536 0.986396 -0.665942 0 0 0 1 
1807261650007;0.0911852;0.0415559;25;0.99738 0.0138487 0.070998 -0.123752 -0.0151181 0.999735 0.017374 0.042816 -0.0707386 -0.0184019 0.997325 0.286602 0 0 0 1 
1807261650008;0.628711;0.279187;32;0.957027 -0.0606137 0.283594 0.591977 0.024194 0.991192 0.130206 -0.390072 -0.288988 -0.117749 0.950064 0.741686 0 0 0 1 
1807261650009;0.268333;0.235214;31;0.984931 -0.172899 -0.00412571 -0.000389035 0.172886 0.984936 -0.00327718 -0.404942 0.00463019 0.00251452 0.999986 -0.0983573 0 0 0 1 
1807261650010;0.71038;0.241029;34;0.949386 0.313935 0.0105147 0.0647371 -0.313953 0.949439 1.71726e-05 0.955513 -0.00997769 -0.00331743 0.999945 -0.85909 0 0 0 1 
1807261650011;0.818748;0.245945;32;0.917727 0.397119 -0.00853697 0.0251047 -0.397153 0.917749 -0.00262379 1.42974 0.00679284 0.00579841 0.99996 -0.896506 0 0 0 1 
1807261650012;0.646177;0.0395647;35;0.999968 -0.00429391 0.00671581 0.174872 0.0045755 0.999086 -0.042493 -0.651595 -0.00652721 0.0425224 0.999074 -0.693414 0 0 0 1 
1807261650013;0.5425;0.0988816;20;0.989755 0.0256642 -0.140448 0.0946229 -0.0322665 0.998469 -0.0449352 -0.0955864 0.13908 0.0490067 0.989068 -1.18234 0 0 0 1 
1807261650014;0.402811;0.143487;34;0.947526 0.183962 -0.261442 0.314157 -0.153504 0.979201 0.132673 0.419191 0.280411 -0.0855788 0.956057 -1.39078 0 0 0 1 
1807261650015;0.62098;0.145358;35;0.914756 -0.353207 0.196126 0.326098 0.351015 0.935189 0.0470224 -0.829598 -0.200024 0.0258291 0.979451 1.2928 0 0 0 1 
1807261650016;0.314215;0.182426;26;0.993728 0.0996439 -0.0507456 -0.0360034 -0.0975106 0.994309 0.0429163 0.414398 0.0547331 -0.0376989 0.997789 -6.05212e-05 0 0 0 1 
1807261650017;0.544853;0.167425;37;0.952326 0.099548 -0.288383 0.194905 -0.196966 0.922484 -0.332006 0.797492 0.232978 0.37298 0.898113 -1.07494 0 0 0 1 
1807261650018;0.870541;0.272678;36;0.901348 0.414779 0.124622 0.0386191 -0.408023 0.909737 -0.0767808 1.71057 -0.145221 0.0183574 0.989229 1.20809 0 0 0 1 
1807261650019;0.408282;0.163066;48;0.968867 0.247368 -0.0102556 -0.273538 -0.247361 0.968921 0.00191147 0.647777 0.0104097 0.000684872 0.999946 0.285127 0 0 0 1 
1807261650020;0.378251;0.176452;35;0.966669 -0.00159217 -0.256024 0.0557083 -0.0908126 0.932831 -0.348682 0.231534 0.239382 0.36031 0.901594 -0.902626 0 0 0 1 
1807261650021;0.0584465;0.119599;26;0.99901 0.0341041 -0.028567 -0.0379513 -0.0338889 0.999394 0.00798359 -0.0652633 0.0288219 -0.00700758 0.99956 -0.0733183 0 0 0 1 
1807261650022;0.492617;0.169953;34;0.980109 -0.107858 -0.166593 0.171135 0.0946792 0.99186 -0.0851398 -0.134659 0.17442 0.0676734 0.982343 -1.16004 0 0 0 1 
1807261650023;0.436303;0.300525;29;0.95571 0.292668 0.0310584 -0.044963 -0.293512 0.955563 0.0273745 0.908813 -0.0216666 -0.0352781 0.999143 0.168615 0 0 0 1 
1807261650024;0.611538;0.20001;26;0.995855 -0.0148532 0.0897394 0.0701544 0.0216325 0.996945 -0.0750507 0.317105 -0.0883505 0.0766809 0.993134 -0.384789 0 0 0 1 
1807261650025;0.222007;0.151703;33;0.991264 -0.103737 -0.0814449 -0.170875 0.0918021 0.986076 -0.138656 -0.260462 0.0946948 0.129968 0.986986 -0.135764 0 0 0 1 
1807261650026;0.125003;0.0148237;26;0.99787 -0.0104907 -0.0643801 -0.135156 0.00373929 0.994559 -0.104105 0.0273005 0.065122 0.103643 0.99248 -0.10067 0 0 0 1 
1807261650027;0.446617;0.225314;33;0.928046 -0.367352 0.0615058 0.185809 0.361385 0.928054 0.0900895 -1.12174 -0.0901753 -0.0613799 0.994033 0.38591 0 0 0 1 
