#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_autumn_local.txt /home/point_clouds_registration_benchmark//eth/wood_autumn -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
26875431820000;0.498992;0.499432;18;0.984812 0.159085 -0.0695508 0.478959 -0.154993 0.986045 0.0607671 0.646866 0.0782474 -0.0490643 0.995726 -0.61045 0 0 0 1 
26875431820001;0.336145;0.0242592;40;0.910431 0.322272 -0.259338 0.717787 -0.289074 0.944111 0.1584 0.858246 0.295891 -0.069244 0.952709 -0.769712 0 0 0 1 
26875431820002;0.60541;0.0291226;50;0.890013 0.386183 -0.242363 0.928346 -0.38424 0.921457 0.0572399 0.991126 0.245432 0.0421812 0.968496 -1.40026 0 0 0 1 
26875431820003;0.366204;0.0244451;22;0.993343 0.10072 -0.0559113 -0.150047 -0.0980515 0.993995 0.0485794 -0.124537 0.0604684 -0.0427738 0.997253 -0.547884 0 0 0 1 
26875431820004;0.698046;0.031488;36;0.955667 -0.294426 -0.00361644 0.851485 0.294361 0.955016 0.035997 -1.27634 -0.00714468 -0.0354657 0.999345 0.403297 0 0 0 1 
26875431820005;0.325213;0.0198942;39;0.920167 -0.242453 0.307423 -0.358031 0.274176 0.959555 -0.0638896 -0.719538 -0.279499 0.143077 0.949426 0.977399 0 0 0 1 
26875431820006;0.554876;0.023306;22;0.999996 -0.00118355 0.0026829 -0.263272 0.00118367 0.999999 -4.33391e-05 0.70323 -0.00268285 4.65146e-05 0.999996 0.562985 0 0 0 1 
26875431820007;0.383756;0.0276899;46;0.987678 -0.0481261 -0.148917 0.201938 0.107495 0.900186 0.422032 -0.844684 0.113742 -0.432839 0.894267 -0.401725 0 0 0 1 
26875431820008;0.203498;0.0284362;29;0.965696 0.0508932 -0.25464 0.118067 -0.0270461 0.994986 0.0962917 0.0785889 0.258264 -0.0861015 0.96223 -0.989924 0 0 0 1 
26875431820009;0.180609;0.0300258;30;0.978402 -0.157685 -0.133657 0.113019 0.154666 0.987424 -0.0327482 -0.374818 0.13714 0.0113688 0.990486 -0.374826 0 0 0 1 
26875431820010;0.462102;0.0274257;32;0.959145 -0.141002 -0.245273 0.730155 0.147851 0.988963 0.00964193 -0.74584 0.241206 -0.0455119 0.969406 -0.947803 0 0 0 1 
26875431820011;0.575398;0.0278954;46;0.910139 0.0488714 0.41141 0.102876 -0.138412 0.97183 0.190757 0.323143 -0.390498 -0.230559 0.891265 1.88419 0 0 0 1 
26875431820012;0.688058;0.0227992;47;0.943968 0.318452 -0.0866782 0.303704 -0.269243 0.894941 0.355792 -0.389437 0.190875 -0.312519 0.930537 -0.698049 0 0 0 1 
26875431820013;0.421251;0.0336055;49;0.940614 -0.339463 0.00331073 -0.300306 0.339448 0.940615 0.00441987 -0.797477 -0.00461451 -0.00303357 0.999985 -0.32223 0 0 0 1 
26875431820014;0.330264;0.0184948;36;0.951035 -0.301816 0.0666359 -0.407724 0.302331 0.9532 0.00245644 -1.16464 -0.0642587 0.0178099 0.997774 0.169145 0 0 0 1 
26875431820015;0.226693;0.0262482;36;0.980806 0.192498 0.031047 0.0592411 -0.182564 0.962531 -0.200509 0.808121 -0.0684812 0.190992 0.9792 0.329007 0 0 0 1 
26875431820016;0.538469;0.0260621;52;0.901842 -0.0155245 0.431787 0.322793 -0.0397754 0.992128 0.118747 0.439536 -0.430231 -0.124266 0.894125 0.82945 0 0 0 1 
26875431820017;0.524419;0.0299273;34;0.983037 -0.159293 -0.090904 -0.0209583 0.142347 0.975194 -0.169514 -0.418846 0.115651 0.153698 0.981326 0.54445 0 0 0 1 
26875431820018;0.579586;0.0334567;29;0.979371 0.0411871 -0.197828 0.39196 -0.0634058 0.9922 -0.107325 -0.0411542 0.191864 0.117655 0.974344 0.354568 0 0 0 1 
26875431820019;0.351798;0.0256846;25;0.978554 0.0929965 -0.183806 0.265286 -0.0956774 0.995396 -0.00575182 0.582254 0.182425 0.0232145 0.982946 -0.954622 0 0 0 1 
26875431820020;0.0809749;0.0288925;21;0.994631 -0.103184 0.00789353 -0.0950367 0.103327 0.994434 -0.0206002 -0.317425 -0.00572399 0.0213052 0.999757 0.00218528 0 0 0 1 
26875431820021;0.644904;0.0287565;31;0.945855 0.0884245 -0.312315 1.18284 -0.00602072 0.966793 0.255491 0.0770761 0.324535 -0.239777 0.914978 -0.650002 0 0 0 1 
26875431820022;0.0317767;0.0258573;15;0.999526 0.0284662 0.0117137 -0.0181793 -0.0284151 0.999586 -0.00450484 0.106728 -0.0118371 0.00416985 0.999921 0.0806867 0 0 0 1 
