#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_summer_local.txt /home/point_clouds_registration_benchmark//eth/wood_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
2318808360000;0.0774618;0.0198579;15;0.998195 0.0421315 0.0427888 -0.453016 -0.0421856 0.99911 0.000363774 0.436481 -0.0427354 -0.00216819 0.999084 0.338307 0 0 0 1 
2318808360001;0.306883;0.0235176;19;0.997371 0.0707901 -0.0155041 -0.153204 -0.0710414 0.99734 -0.0163036 0.611347 0.0143087 0.0173622 0.999747 -0.430656 0 0 0 1 
2318808360002;0.495258;0.0223461;42;0.915901 -0.38671 -0.107616 4.80786 0.385488 0.92213 -0.0327834 -1.78282 0.111914 -0.0114583 0.993652 -0.155664 0 0 0 1 
2318808360003;0.524546;0.0294965;44;0.912093 -0.407141 -0.0481845 4.41317 0.409729 0.901079 0.142052 -2.6793 -0.0144171 -0.149307 0.988686 1.24021 0 0 0 1 
2318808360004;0.20511;0.0202092;17;0.997535 -0.0665213 0.0223528 0.643491 0.0664682 0.997784 0.00311049 -0.546504 -0.0225102 -0.00161707 0.999745 -0.20573 0 0 0 1 
2318808360005;0.440296;0.0325716;38;0.984555 0.0711385 -0.159969 -0.139467 -0.0239611 0.959879 0.279388 0.214396 0.173426 -0.27124 0.946759 0.848492 0 0 0 1 
2318808360006;0.169359;0.0249017;18;0.996099 -0.0848691 0.0241781 1.02569 0.0853395 0.996168 -0.0191393 -0.445246 -0.0224611 0.021128 0.999524 0.0844814 0 0 0 1 
2318808360007;0.299345;0.0210186;40;0.928667 -0.365495 0.0631827 4.25969 0.364447 0.930809 0.0277945 -2.25764 -0.0689698 -0.00278513 0.997615 0.492615 0 0 0 1 
2318808360008;0.34518;0.233488;20;0.975175 0.134153 0.176172 -1.39577 -0.146644 0.987377 0.0598508 0.924357 -0.165919 -0.0841996 0.982538 2.441 0 0 0 1 
2318808360009;0.553788;0.354939;15;0.984996 0.131111 0.112219 -1.34228 -0.131438 0.991314 -0.00451923 0.68502 -0.111837 -0.0102983 0.993673 1.19755 0 0 0 1 
2318808360010;0.296129;0.0185176;19;0.99201 -0.126132 0.00264608 1.22768 0.125933 0.991266 0.0391433 -1.25109 -0.00756018 -0.0384974 0.99923 0.00916537 0 0 0 1 
2318808360011;0.267088;0.0208065;27;0.973905 -0.190696 0.12306 2.14698 0.177433 0.977845 0.111072 -1.26299 -0.141514 -0.0863386 0.986164 2.3389 0 0 0 1 
2318808360012;0.117207;0.0258272;17;0.99702 -0.00434039 -0.0770267 0.0760281 0.00812331 0.998772 0.0488667 -0.19756 0.07672 -0.0493468 0.995831 -0.257784 0 0 0 1 
2318808360013;0.297157;0.0110267;18;0.996995 -0.0509153 0.0583841 0.00842003 0.052937 0.998032 -0.0336201 -0.620566 -0.0565575 0.0366097 0.997728 -0.0597369 0 0 0 1 
2318808360014;0.320442;0.0258355;18;0.999957 0.00795583 0.00486324 -0.0451199 -0.00796205 0.999968 0.00126049 0.0551694 -0.00485305 -0.00129916 0.999987 -0.604813 0 0 0 1 
2318808360015;0.329054;0.0251171;33;0.963883 0.237346 -0.120817 -2.09317 -0.249854 0.962934 -0.101647 2.45566 0.0922128 0.128163 0.987457 -2.50166 0 0 0 1 
2318808360016;0.335073;0.0143509;18;0.999443 0.0332887 0.00247616 -0.246633 -0.0333003 0.999434 0.00480323 -0.0579797 -0.00231486 -0.00488301 0.999985 -0.516162 0 0 0 1 
2318808360017;0.483715;0.0181812;28;0.9727 0.226959 -0.0484171 -2.53344 -0.227145 0.973859 0.00168587 1.77058 0.0475341 0.00935788 0.998826 0.238071 0 0 0 1 
2318808360018;0.313611;0.0293963;45;0.908165 -0.407461 -0.0959742 4.97783 0.398526 0.911726 -0.0996648 -2.09735 0.128112 0.0522639 0.990382 -1.52273 0 0 0 1 
2318808360019;0.502137;0.39644;11;0.998406 0.0475678 0.0303782 -0.513054 -0.0450002 0.995759 -0.0802412 0.257699 -0.0340663 0.0787463 0.996312 -0.80462 0 0 0 1 
2318808360020;0.421809;0.019154;26;0.965495 0.0238171 0.259332 -0.56953 -0.00116197 0.996193 -0.0871647 0.249108 -0.260421 0.0838557 0.961847 0.536852 0 0 0 1 
2318808360021;0.393879;0.0212766;43;0.910141 -0.295968 -0.289908 4.28925 0.201761 0.927808 -0.31379 -0.852674 0.361851 0.2271 0.904151 -5.05257 0 0 0 1 
2318808360022;0.404256;0.022713;24;0.995238 0.0385069 -0.0895488 -0.322575 -0.0447314 0.996643 -0.0685744 1.16416 0.0866076 0.0722535 0.993619 -1.76201 0 0 0 1 
