#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/gazebo_winter_local.txt /home/point_clouds_registration_benchmark//eth/gazebo_winter -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 20 -i 200 
id;initial_error;final_error;transformation
38591597440000;0.538033;0.0277966;33;0.993521 -0.0998582 -0.0542704 -0.397912 0.10158 0.994377 0.0299445 -0.435654 0.050975 -0.0352632 0.998077 0.547197 0 0 0 1 
38591597440001;0.518725;0.0389389;53;0.950984 0.250322 0.181573 0.0274249 -0.266339 0.961365 0.0695754 1.10475 -0.157141 -0.114525 0.980913 -0.0437677 0 0 0 1 
38591597440002;0.466312;0.0346965;37;0.983523 -0.135921 0.119196 0.0539277 0.139917 0.989828 -0.0257821 -0.316739 -0.114479 0.0420349 0.992536 -0.227144 0 0 0 1 
38591597440003;0.369171;0.0340586;43;0.979242 0.202681 -0.00224747 -0.183515 -0.202683 0.979244 -0.000625416 0.78604 0.00207406 0.00106796 0.999997 0.387894 0 0 0 1 
38591597440004;0.566929;0.0346581;63;0.876618 0.415192 -0.24322 1.05054 -0.398809 0.909724 0.11556 1.65785 0.269243 -0.0043038 0.963063 -1.665 0 0 0 1 
38591597440005;0.214626;0.0252353;31;0.994569 -0.0841399 -0.0612634 0.00188044 0.0837423 0.996446 -0.00903454 -0.301267 0.0618058 0.00385514 0.998081 -0.599397 0 0 0 1 
38591597440006;0.296525;0.0271966;45;0.96012 -0.219201 -0.173552 0.17086 0.240799 0.963749 0.114905 -1.00631 0.142073 -0.152114 0.978098 -0.356135 0 0 0 1 
38591597440007;0.55939;0.034617;37;0.98987 0.141954 -0.00251447 0.0720173 -0.14145 0.987568 0.0685642 0.190863 0.0122162 -0.067514 0.997644 -0.871832 0 0 0 1 
38591597440008;0.573696;0.0284055;42;0.909348 0.00808942 0.415958 0.320399 -0.111915 0.967714 0.225843 0.481331 -0.400701 -0.251921 0.880894 2.4523 0 0 0 1 
38591597440009;0.226381;0.0299147;29;0.999374 -0.030004 0.0187447 0.0601229 0.0292536 0.998807 0.0391021 0.0953172 -0.0198956 -0.0385293 0.999059 -0.245698 0 0 0 1 
38591597440010;0.405479;0.0281207;39;0.934213 -0.110829 0.339063 0.0858493 0.224847 0.920866 -0.318513 -0.773385 -0.276931 0.373796 0.885204 1.66952 0 0 0 1 
38591597440011;0.432428;0.0233462;56;0.931374 -0.348066 -0.106737 0.403951 0.363973 0.883657 0.294404 -1.77827 -0.00815292 -0.313049 0.949702 -0.268231 0 0 0 1 
38591597440012;0.493861;0.0379106;30;0.996251 -0.00175204 -0.0864965 0.34707 -0.00308693 0.998438 -0.0557787 -0.235201 0.0864591 0.0558365 0.994689 0.334426 0 0 0 1 
38591597440013;0.489902;0.020979;67;0.894818 0.406283 0.185027 0.255565 -0.410991 0.911533 -0.0139327 1.4659 -0.174319 -0.0635773 0.982635 0.37282 0 0 0 1 
38591597440014;0.265078;0.0287244;34;0.950831 -0.0572144 0.304378 -0.0530383 0.090438 0.991246 -0.0961889 -0.269794 -0.29621 0.118987 0.947682 1.44553 0 0 0 1 
38591597440015;0.50504;0.0248545;54;0.940785 -0.331088 0.0728275 0.403242 0.304689 0.919996 0.246521 -1.7005 -0.148621 -0.209734 0.966397 0.175392 0 0 0 1 
38591597440016;0.306367;0.0259798;37;0.96125 0.116023 -0.250076 0.26107 -0.0690188 0.979519 0.189151 0.000230169 0.2669 -0.164562 0.94957 -1.35449 0 0 0 1 
38591597440017;0.306001;0.0312507;36;0.991719 -0.127918 0.0114463 -0.205472 0.128411 0.989161 -0.0712179 -0.894238 -0.00221213 0.0720979 0.997395 0.104764 0 0 0 1 
38591597440018;0.310987;0.023449;47;0.975469 0.219648 -0.0146614 0.448158 -0.219863 0.975414 -0.0150866 1.02705 0.0109871 0.01794 0.999779 -0.294996 0 0 0 1 
38591597440019;0.565481;0.0299178;48;0.985527 -0.16237 0.0487029 -0.582729 0.146232 0.959634 0.240248 -0.226889 -0.085746 -0.229649 0.969489 -0.148014 0 0 0 1 
